"","earn","height1","height2","sex","race","hisp","ed","yearbn","height","age","age_category","eth","male"
"171",33000,5,7,2,1,2,13,47,67,43,2,3,0
"172",18000,5,8,2,1,2,12,60,68,30,1,3,0
"173",15000,5,3,2,1,2,12,53,63,37,2,3,0
"174",21000,5,11,1,1,2,12,68,71,22,1,3,1
"175",21000,5,4,2,2,2,17,47,64,43,2,1,0
"176",37000,5,8,1,1,2,11,53,68,37,2,3,1
"177",38000,5,8,2,1,2,17,46,68,44,2,3,0
"178",17000,5,6,2,1,1,14,47,66,43,2,2,0
"179",0,5,6,2,1,2,12,61,66,29,1,3,0
"180",0,5,6,2,3,2,16,58,66,32,1,4,0
"182",32000,6,5,1,1,2,16,60,77,30,1,3,1
"184",27500,5,7,2,1,2,12,32,67,58,3,3,0
"186",16500,5,2,2,1,2,12,46,62,44,2,3,0
"188",0,5,4,2,1,2,17,60,64,30,1,3,0
"189",0,6,0,2,1,2,12,39,72,51,3,3,0
"190",25000,5,7,2,1,2,18,55,67,35,2,3,0
"191",27000,5,1,2,1,2,18,47,61,43,2,3,0
"192",5000,5,4,2,1,2,12,62,64,28,1,3,0
"194",70000,5,2,2,1,2,16,52,62,38,2,3,0
"195",5000,5,3,2,1,2,12,50,63,40,2,3,0
"196",5000,5,8,1,1,2,16,66,68,24,1,3,1
"199",20000,5,4,2,1,2,15,64,64,26,1,3,0
"200",4000,6,0,1,1,2,15,69,72,21,1,3,1
"202",60000,5,4,2,1,2,16,55,64,35,2,3,0
"203",5000,5,1,2,1,2,13,59,61,31,1,3,0
"204",30000,6,2,1,1,2,12,52,74,38,2,3,1
"205",70000,5,10,1,1,2,14,55,70,35,2,3,1
"207",50000,5,11,1,1,2,16,49,71,41,2,3,1
"208",44000,5,3,2,1,2,12,51,63,39,2,3,0
"212",30000,5,4,2,1,2,14,47,64,43,2,3,0
"216",0,5,2,2,1,2,16,58,62,32,1,3,0
"217",10000,5,2,2,1,2,16,50,62,40,2,3,0
"218",23000,5,10,2,1,2,17,48,70,42,2,3,0
"219",0,5,2,2,1,2,12,51,62,39,2,3,0
"220",45000,5,11,1,1,2,17,28,71,62,3,3,1
"221",15000,5,11,1,1,2,14,59,71,31,1,3,1
"223",4000,5,10,2,1,2,14,19,70,71,3,3,0
"224",17000,5,7,1,1,2,14,59,67,31,1,3,1
"225",30000,5,4,2,1,2,12,58,64,32,1,3,0
"226",27500,5,7,2,1,2,12,60,67,30,1,3,0
"227",5688,5,2,2,1,2,8,21,62,69,3,3,0
"228",18000,5,2,2,1,1,13,34,62,56,3,2,0
"232",43000,5,8,1,2,2,13,46,68,44,2,1,1
"233",32000,5,2,2,2,2,14,46,62,44,2,1,0
"235",0,5,6,2,2,2,5,39,66,51,3,1,0
"236",10000,5,8,2,2,2,18,34,68,56,3,1,0
"240",60000,6,2,1,1,2,13,45,74,45,2,3,1
"244",21000,5,8,2,4,2,12,40,68,50,3,4,0
"245",2400,5,2,2,1,2,16,68,62,22,1,3,0
"248",1000,5,6,2,1,2,15,62,66,28,1,3,0
"249",27000,5,8,1,1,2,12,63,68,27,1,3,1
"250",6600,5,0,2,1,1,14,62,60,28,1,2,0
"252",16000,5,8,1,1,2,8,47,68,43,2,3,1
"253",90000,6,0,1,1,2,12,64,72,26,1,3,1
"254",8000,5,6,2,1,2,12,48,66,42,2,3,0
"255",20000,5,8,1,1,2,10,58,68,32,1,3,1
"256",15000,5,8,2,1,2,12,72,68,18,1,3,0
"257",12000,5,9,2,1,2,12,30,69,60,3,3,0
"259",24000,5,4,2,1,2,16,44,64,46,2,3,0
"260",20000,5,5,2,1,2,14,51,65,39,2,3,0
"262",19000,5,1,2,1,2,12,44,61,46,2,3,0
"264",10000,6,0,1,1,2,12,41,72,49,2,3,1
"265",40000,5,6,2,1,2,16,56,66,34,1,3,0
"270",0,5,2,2,1,2,10,33,62,57,3,3,0
"271",0,5,0,2,1,1,10,42,60,48,2,2,0
"273",25000,5,8,1,1,2,14,26,68,64,3,3,1
"274",25000,5,10,1,1,2,12,66,70,24,1,3,1
"275",25000,5,11,1,1,2,14,58,71,32,1,3,1
"276",19000,5,11,1,1,2,16,29,71,61,3,3,1
"277",44000,5,8,1,1,2,16,42,68,48,2,3,1
"278",0,5,6,2,1,2,12,71,66,19,1,3,0
"279",0,5,3,2,1,2,18,35,63,55,3,3,0
"280",15000,5,0,2,1,2,14,41,60,49,2,3,0
"281",17000,5,3,2,1,2,12,54,63,36,2,3,0
"282",24000,5,8,1,1,2,12,34,68,56,3,3,1
"284",23000,5,4,2,1,2,12,53,64,37,2,3,0
"285",13000,5,10,1,1,2,12,16,70,74,3,3,1
"288",65000,5,8,1,1,2,16,44,68,46,2,3,1
"289",7000,5,1,2,1,2,12,27,61,63,3,3,0
"291",40000,5,8,1,1,2,18,27,68,63,3,3,1
"292",15000,5,6,2,1,2,17,47,66,43,2,3,0
"293",20000,5,10,1,1,2,16,65,70,25,1,3,1
"296",20000,5,11,1,1,2,12,40,71,50,3,3,1
"298",20000,5,5,2,1,2,12,48,65,42,2,3,0
"299",25000,5,6,2,1,2,12,41,66,49,2,3,0
"301",49000,5,10,1,1,2,13,53,70,37,2,3,1
"303",0,5,4,2,1,2,12,54,64,36,2,3,0
"305",0,5,3,2,1,2,16,55,63,35,2,3,0
"306",25000,5,2,2,1,2,12,25,62,65,3,3,0
"311",11000,5,6,2,1,2,14,33,66,57,3,3,0
"312",16000,5,1,2,1,2,15,52,61,38,2,3,0
"313",35000,6,0,1,1,2,14,47,72,43,2,3,1
"314",125000,6,2,1,1,2,18,45,74,45,2,3,1
"315",23000,5,7,2,1,2,12,43,67,47,2,3,0
"316",17000,5,6,2,1,2,16,62,66,28,1,3,0
"317",0,5,2,2,1,2,13,59,62,31,1,3,0
"318",27000,5,2,2,1,2,12,49,62,41,2,3,0
"319",70000,6,0,1,1,2,14,58,72,32,1,3,1
"320",35000,5,5,2,1,2,15,43,65,47,2,3,0
"321",10000,5,0,2,1,2,12,28,60,62,3,3,0
"323",35000,5,2,2,1,2,15,51,62,39,2,3,0
"324",15000,5,6,2,1,2,12,52,66,38,2,3,0
"325",12000,5,4,2,1,2,12,51,64,39,2,3,0
"326",8000,5,11,1,1,2,12,22,71,68,3,3,1
"327",8000,5,5,2,1,2,12,40,65,50,3,3,0
"328",35000,6,1,1,1,2,18,40,73,50,3,3,1
"329",45000,5,9,1,1,2,11,39,69,51,3,3,1
"331",0,5,4,2,1,2,12,32,64,58,3,3,0
"334",15000,5,4,2,1,2,14,68,64,22,1,3,0
"335",15000,5,1,2,1,2,12,13,61,77,3,3,0
"337",24000,5,7,2,1,2,18,39,67,51,3,3,0
"338",25000,5,2,2,1,2,13,58,62,32,1,3,0
"340",25000,5,3,2,2,2,14,36,63,54,3,1,0
"341",20000,5,7,1,3,2,10,62,67,28,1,4,1
"342",24000,5,8,2,1,2,12,66,68,24,1,3,0
"343",44000,6,0,1,1,2,16,44,72,46,2,3,1
"344",69000,5,10,1,1,2,12,52,70,38,2,3,1
"345",62000,5,10,1,1,2,18,46,70,44,2,3,1
"347",32000,5,7,1,2,2,14,58,67,32,1,1,1
"348",20000,5,3,2,2,2,12,57,63,33,1,1,0
"349",32000,5,6,2,3,2,18,55,66,35,2,4,0
"350",25000,5,6,2,1,2,17,40,66,50,3,3,0
"351",170000,5,11,1,1,2,18,45,71,45,2,3,1
"353",0,5,6,2,2,2,11,61,66,29,1,1,0
"354",35000,5,7,1,1,2,16,57,67,33,1,3,1
"355",40000,6,4,1,2,2,16,52,76,38,2,1,1
"356",33000,5,9,1,1,2,14,60,69,30,1,3,1
"357",18000,5,5,2,1,2,12,68,65,22,1,3,0
"360",30000,5,2,2,1,2,13,47,62,43,2,3,0
"361",26000,5,2,2,1,2,12,59,62,31,1,3,0
"362",5000,5,2,2,1,2,12,69,62,21,1,3,0
"364",20000,5,2,2,1,2,16,17,62,73,3,3,0
"367",17000,5,1,2,1,2,12,60,61,30,1,3,0
"368",32000,5,5,2,1,2,14,62,65,28,1,3,0
"369",15000,6,0,1,1,2,14,68,72,22,1,3,1
"370",0,5,6,2,1,2,17,49,66,41,2,3,0
"371",50000,6,0,1,1,2,14,35,72,55,3,3,1
"372",8000,5,4,2,1,2,12,51,64,39,2,3,0
"373",40000,5,11,1,1,2,14,39,71,51,3,3,1
"374",40000,6,0,1,1,2,15,49,72,41,2,3,1
"375",32750,5,6,1,1,2,12,56,66,34,1,3,1
"377",20000,5,5,2,1,2,14,21,65,69,3,3,0
"378",36000,5,5,2,2,2,15,51,65,39,2,1,0
"379",6000,5,2,2,1,2,12,26,62,64,3,3,0
"380",12000,5,6,2,2,1,14,56,66,34,1,1,0
"382",60000,5,7,1,1,2,14,27,67,63,3,3,1
"383",40000,5,4,2,1,2,13,46,64,44,2,3,0
"385",43000,5,3,2,1,2,12,52,63,38,2,3,0
"386",45000,5,7,2,1,2,16,56,67,34,1,3,0
"387",6000,5,8,2,1,2,18,51,68,39,2,3,0
"388",8000,5,4,2,4,2,10,8,64,82,3,4,0
"389",20000,5,4,2,2,2,13,51,64,39,2,1,0
"391",17000,5,6,1,2,2,12,67,66,23,1,1,1
"392",2000,5,5,2,1,2,12,58,65,32,1,3,0
"393",65000,5,5,1,1,2,12,62,65,28,1,3,1
"394",50000,6,0,1,1,2,12,49,72,41,2,3,1
"395",0,5,8,2,1,2,11,36,68,54,3,3,0
"396",0,5,3,2,1,2,11,61,63,29,1,3,0
"398",11000,5,8,2,1,2,12,52,68,38,2,3,0
"399",35000,6,2,1,1,2,18,60,74,30,1,3,1
"400",27000,5,3,1,1,2,12,57,63,33,1,3,1
"401",3500,5,4,2,1,2,12,29,64,61,3,3,0
"403",42000,5,8,1,1,2,12,53,68,37,2,3,1
"405",20000,5,7,2,1,2,18,61,67,29,1,3,0
"406",15000,5,7,2,1,2,12,61,67,29,1,3,0
"407",10000,6,1,1,1,2,12,69,73,21,1,3,1
"408",0,5,2,2,1,2,12,42,62,48,2,3,0
"409",6000,5,10,1,1,2,8,12,70,78,3,3,1
"412",17000,5,5,2,1,1,16,67,65,23,1,2,0
"414",35000,5,9,1,1,1,16,25,69,65,3,2,1
"415",28000,6,5,1,1,2,14,62,77,28,1,3,1
"416",15000,5,8,2,1,2,12,57,68,33,1,3,0
"417",20000,5,2,2,1,2,17,66,62,24,1,3,0
"418",20000,5,4,2,1,2,12,61,64,29,1,3,0
"420",10500,5,7,1,3,1,12,48,67,42,2,2,1
"421",13000,5,10,1,1,2,16,68,70,22,1,3,1
"422",10000,5,2,2,1,2,12,38,62,52,3,3,0
"423",3000,5,3,2,1,2,12,53,63,37,2,3,0
"424",24000,5,2,2,1,2,14,61,62,29,1,3,0
"425",0,5,3,2,1,2,17,49,63,41,2,3,0
"426",17000,5,9,2,1,2,13,55,69,35,2,3,0
"427",11000,5,4,2,1,2,12,42,64,48,2,3,0
"428",0,5,4,2,1,2,14,53,64,37,2,3,0
"429",32000,5,9,2,1,2,14,50,69,40,2,3,0
"430",17000,4,11,2,1,2,15,64,59,26,1,3,0
"435",3000,5,6,2,4,2,12,55,66,35,2,4,0
"437",0,5,5,2,1,2,12,49,65,41,2,3,0
"440",2100,5,2,2,2,2,12,69,62,21,1,1,0
"447",3192,6,3,1,2,2,11,56,75,34,1,1,1
"449",17000,5,3,2,1,2,17,64,63,26,1,3,0
"450",30000,5,5,2,1,2,13,62,65,28,1,3,0
"451",15000,5,10,1,1,2,12,58,70,32,1,3,1
"454",24000,5,8,2,1,2,16,48,68,42,2,3,0
"455",10000,5,5,2,1,2,14,23,65,67,3,3,0
"456",50000,5,9,1,1,2,8,37,69,53,3,3,1
"458",50000,6,0,1,1,2,16,37,72,53,3,3,1
"460",20000,5,4,2,1,2,17,41,64,49,2,3,0
"461",30000,5,3,2,1,1,18,36,63,54,3,2,0
"464",0,5,4,2,1,2,12,27,64,63,3,3,0
"465",0,5,6,2,1,2,10,42,66,48,2,3,0
"467",0,5,3,2,1,2,5,32,63,58,3,3,0
"468",22000,6,1,2,1,2,14,45,73,45,2,3,0
"470",27000,6,3,1,1,2,12,66,75,24,1,3,1
"471",4000,5,5,2,1,2,12,52,65,38,2,3,0
"473",17500,5,6,2,1,2,17,64,66,26,1,3,0
"474",16500,5,6,2,1,2,14,62,66,28,1,3,0
"476",28000,5,4,2,1,2,16,51,64,39,2,3,0
"477",52000,5,6,2,1,2,18,40,66,50,3,3,0
"478",15000,5,4,2,1,2,16,61,64,29,1,3,0
"479",19000,5,3,2,1,2,13,58,63,32,1,3,0
"480",0,5,3,2,1,2,13,46,63,44,2,3,0
"483",27000,6,1,1,1,2,12,67,73,23,1,3,1
"484",15000,6,0,1,1,2,8,32,72,58,3,3,1
"486",0,5,6,2,1,2,12,66,66,24,1,3,0
"487",15000,6,0,1,1,2,14,57,72,33,1,3,1
"488",14500,5,4,2,1,2,12,35,64,55,3,3,0
"491",24000,5,4,2,1,2,13,60,64,30,1,3,0
"495",18000,5,8,1,1,2,15,54,68,36,2,3,1
"496",4000,5,2,2,1,2,12,22,62,68,3,3,0
"498",4000,5,9,2,1,2,13,33,69,57,3,3,0
"500",700,5,0,2,1,2,12,54,60,36,2,3,0
"504",27000,6,4,1,1,2,12,51,76,39,2,3,1
"505",12000,6,0,2,1,2,12,55,72,35,2,3,0
"506",22000,5,2,2,1,2,18,43,62,47,2,3,0
"507",30000,5,2,2,1,2,13,54,62,36,2,3,0
"509",35000,5,11,1,1,2,12,29,71,61,3,3,1
"510",20000,6,2,1,1,2,12,48,74,42,2,3,1
"511",32000,5,5,2,1,2,16,58,65,32,1,3,0
"512",6000,5,3,2,4,2,12,59,63,31,1,4,0
"513",12000,5,7,2,1,2,12,51,67,39,2,3,0
"514",0,5,5,2,1,2,16,46,65,44,2,3,0
"515",10000,5,3,2,1,2,12,59,63,31,1,3,0
"516",1000,5,5,2,1,2,12,72,65,18,1,3,0
"517",12000,5,4,2,1,2,15,19,64,71,3,3,0
"518",16000,5,5,2,1,2,12,54,65,36,2,3,0
"520",0,5,8,2,1,2,16,49,68,41,2,3,0
"521",25000,5,3,2,1,2,16,57,63,33,1,3,0
"522",25000,5,10,2,1,2,12,63,70,27,1,3,0
"523",32000,5,8,1,1,2,12,60,68,30,1,3,1
"525",35000,5,7,1,1,2,14,47,67,43,2,3,1
"528",6000,5,5,2,1,2,12,62,65,28,1,3,0
"529",80000,5,9,1,1,2,14,46,69,44,2,3,1
"530",20000,5,8,2,1,2,14,65,68,25,1,3,0
"531",1000,5,6,2,1,2,17,52,66,38,2,3,0
"532",28000,5,11,1,1,1,13,52,71,38,2,2,1
"533",26000,5,4,1,1,1,16,67,64,23,1,2,1
"534",27000,6,2,1,1,2,12,66,74,24,1,3,1
"535",18000,5,2,2,1,2,13,49,62,41,2,3,0
"536",2000,5,5,2,1,2,12,31,65,59,3,3,0
"537",20000,5,9,1,1,2,12,24,69,66,3,3,1
"541",6000,5,6,2,1,2,16,42,66,48,2,3,0
"544",0,5,0,2,1,2,10,22,60,68,3,3,0
"549",25000,5,7,1,1,2,11,27,67,63,3,3,1
"550",12000,6,1,1,1,2,12,61,73,29,1,3,1
"551",0,5,5,2,1,2,18,64,65,26,1,3,0
"553",12000,6,4,1,1,2,12,33,76,57,3,3,1
"554",30000,5,10,1,1,2,14,14,70,76,3,3,1
"555",0,5,4,2,1,2,12,60,64,30,1,3,0
"556",4000,5,3,2,2,2,15,68,63,22,1,1,0
"558",26000,5,3,2,2,2,13,53,63,37,2,1,0
"563",23000,5,10,1,2,2,12,55,70,35,2,1,1
"564",21000,5,11,1,1,2,12,57,71,33,1,3,1
"565",25000,5,5,2,1,2,12,28,65,62,3,3,0
"566",18000,5,10,1,1,2,16,15,70,75,3,3,1
"567",4000,5,3,2,1,2,13,46,63,44,2,3,0
"568",23900,5,4,2,1,2,12,68,64,22,1,3,0
"570",35000,5,4,2,1,2,18,50,64,40,2,3,0
"571",26000,5,7,1,1,2,14,60,67,30,1,3,1
"572",25000,5,6,1,1,2,16,54,66,36,2,3,1
"573",23500,5,8,2,1,2,13,63,68,27,1,3,0
"574",12000,5,5,2,1,2,12,68,65,22,1,3,0
"575",15000,5,7,2,1,2,12,70,67,20,1,3,0
"577",3000,6,1,1,1,2,17,67,73,23,1,3,1
"580",6000,5,4,2,1,2,12,23,64,67,3,3,0
"581",14000,5,11,1,1,2,12,21,71,69,3,3,1
"582",15000,5,3,2,1,2,16,59,63,31,1,3,0
"583",175000,5,11,1,1,2,16,42,71,48,2,3,1
"584",0,5,3,2,1,2,12,39,63,51,3,3,0
"586",1000,6,1,1,1,2,18,65,73,25,1,3,1
"587",10000,5,5,2,1,2,14,27,65,63,3,3,0
"588",45000,5,6,1,1,2,13,8,66,82,3,3,1
"589",15000,5,6,2,1,2,12,9,66,81,3,3,0
"592",20000,4,11,2,1,2,13,49,59,41,2,3,0
"595",35000,5,10,1,1,2,16,60,70,30,1,3,1
"596",40000,6,0,1,1,2,16,62,72,28,1,3,1
"597",35000,5,4,2,1,2,12,18,64,72,3,3,0
"599",50000,5,6,2,1,2,16,36,66,54,3,3,0
"600",1e+05,5,10,1,1,2,18,33,70,57,3,3,1
"602",35000,5,9,1,1,2,13,62,69,28,1,3,1
"603",0,5,6,2,1,2,12,39,66,51,3,3,0
"604",24000,5,8,2,1,2,12,55,68,35,2,3,0
"605",0,5,4,2,1,2,12,60,64,30,1,3,0
"608",0,5,3,2,1,2,12,30,63,60,3,3,0
"609",35000,6,2,1,1,2,17,47,74,43,2,3,1
"611",38000,6,1,1,1,2,16,16,73,74,3,3,1
"616",30000,5,7,1,1,2,12,38,67,52,3,3,1
"617",5000,5,4,2,1,1,12,51,64,39,2,2,0
"618",148000,5,7,1,1,2,18,52,67,38,2,3,1
"619",30000,5,10,1,1,2,12,58,70,32,1,3,1
"620",6500,5,4,2,1,2,15,59,64,31,1,3,0
"621",3000,5,2,2,1,2,16,53,62,37,2,3,0
"623",0,5,6,2,1,2,8,37,66,53,3,3,0
"624",23000,5,9,1,1,2,18,21,69,69,3,3,1
"629",40000,5,8,1,1,2,17,49,68,41,2,3,1
"630",30000,6,0,1,1,2,14,51,72,39,2,3,1
"631",0,5,3,2,1,2,14,61,63,29,1,3,0
"632",14000,5,3,2,1,2,12,53,63,37,2,3,0
"633",15000,5,9,2,1,2,12,56,69,34,1,3,0
"634",26000,5,4,2,1,2,18,54,64,36,2,3,0
"635",8000,5,11,2,1,2,12,65,71,25,1,3,0
"636",24000,5,4,2,2,2,16,63,64,27,1,1,0
"637",0,6,0,1,1,2,8,70,72,20,1,3,1
"638",0,5,2,2,1,2,12,65,62,25,1,3,0
"639",0,5,6,2,1,2,10,52,66,38,2,3,0
"641",5124,5,6,1,1,2,8,23,66,67,3,3,1
"642",10000,5,1,2,1,2,15,65,61,25,1,3,0
"645",0,5,9,2,1,2,13,71,69,19,1,3,0
"646",12000,5,8,2,1,2,16,58,68,32,1,3,0
"648",0,5,6,2,1,2,12,67,66,23,1,3,0
"650",50000,5,8,1,1,2,17,56,68,34,1,3,1
"652",23000,5,4,2,1,2,13,64,64,26,1,3,0
"653",0,5,1,2,1,2,16,50,61,40,2,3,0
"660",40000,5,6,1,2,2,14,56,66,34,1,1,1
"661",6000,5,2,2,2,2,13,64,62,26,1,1,0
"663",5000,5,5,2,2,2,16,60,65,30,1,1,0
"667",110000,5,6,1,1,2,18,53,66,37,2,3,1
"669",41000,6,0,1,1,1,13,58,72,32,1,2,1
"671",23000,5,3,2,1,2,13,12,63,78,3,3,0
"673",0,5,3,2,1,2,12,58,63,32,1,3,0
"674",21000,5,10,1,1,2,12,67,70,23,1,3,1
"675",4000,5,2,2,1,2,12,61,62,29,1,3,0
"676",25000,5,11,1,1,2,12,54,71,36,2,3,1
"677",30000,5,10,1,1,2,18,44,70,46,2,3,1
"678",14000,5,4,2,1,2,11,39,64,51,3,3,0
"679",6000,5,3,2,1,2,12,55,63,35,2,3,0
"680",14000,5,5,2,1,2,12,44,65,46,2,3,0
"681",43000,5,11,1,1,2,12,63,71,27,1,3,1
"682",25000,5,2,2,1,2,15,57,62,33,1,3,0
"683",40000,6,1,1,1,2,12,24,73,66,3,3,1
"685",65000,5,8,1,1,2,17,50,68,40,2,3,1
"686",16000,6,4,1,1,2,15,58,76,32,1,3,1
"690",8000,5,6,2,1,2,12,19,66,71,3,3,0
"691",20000,5,4,2,1,2,15,51,64,39,2,3,0
"692",14000,5,0,2,1,2,14,18,60,72,3,3,0
"693",45000,5,8,1,1,2,12,16,68,74,3,3,1
"694",8000,5,1,2,1,2,11,18,61,72,3,3,0
"696",12000,5,6,1,1,2,12,62,66,28,1,3,1
"697",8000,5,3,2,1,2,14,59,63,31,1,3,0
"698",16000,5,3,2,1,2,15,58,63,32,1,3,0
"700",6000,6,2,1,1,2,15,17,74,73,3,3,1
"703",19000,5,10,1,1,2,12,58,70,32,1,3,1
"704",21000,5,8,2,1,2,13,51,68,39,2,3,0
"705",43000,5,10,2,1,2,18,44,70,46,2,3,0
"706",35000,5,9,1,1,2,15,69,69,21,1,3,1
"707",8000,5,10,1,1,2,10,15,70,75,3,3,1
"708",21000,5,3,2,1,2,14,49,63,41,2,3,0
"709",5800,5,5,2,1,2,12,60,65,30,1,3,0
