"rownames","id","site","sex","age","viewcat","setting","viewenc","prebody","prelet","preform","prenumb","prerelat","preclasf","postbody","postlet","postform","postnumb","postrelat","postclasf","peabody","agecat","encour","_Isite_2","_Isite_3","_Isite_4","_Isite_5","regular","watched","encouraged","y","pretest"
141,141,3,2,52,3,1,1,29,20,8,37,13,13,28,46,12,42,13,15,47,1,1,0,1,0,0,1,1,1,46,20
142,142,3,1,60,3,1,1,29,13,12,17,12,16,29,25,17,32,13,19,90,1,1,0,1,0,0,1,1,1,25,13
143,143,3,2,56,2,1,1,21,12,12,17,9,14,23,26,16,34,10,20,61,1,1,0,1,0,0,1,1,1,26,12
144,144,3,2,54,2,2,2,18,28,9,14,12,16,27,42,18,37,11,15,36,1,0,0,1,0,0,1,1,0,42,28
145,145,3,2,61,3,1,1,13,12,8,16,7,11,28,15,15,18,7,15,35,1,1,0,1,0,0,1,1,1,15,12
146,146,3,2,61,3,1,1,29,18,12,22,11,14,30,25,17,39,13,19,48,1,1,0,1,0,0,1,1,1,25,18
147,147,3,2,51,3,1,1,17,15,5,11,10,11,32,43,14,44,15,21,35,0,1,0,1,0,0,1,1,1,43,15
148,148,3,1,49,4,2,1,19,17,7,16,3,6,27,27,18,43,15,20,35,0,1,0,1,0,0,1,1,1,27,17
149,149,3,1,52,2,1,1,22,13,10,20,11,14,22,14,9,21,9,7,35,1,1,0,1,0,0,1,1,1,14,13
150,150,3,2,55,3,2,1,25,13,12,16,10,14,26,17,6,31,13,9,35,1,1,0,1,0,0,1,1,1,17,13
151,151,3,2,60,4,2,1,28,10,10,22,12,15,28,15,15,30,11,17,45,1,1,0,1,0,0,1,1,1,15,10
152,152,3,2,43,1,2,2,14,9,5,15,5,6,16,16,12,14,10,14,33,0,0,0,1,0,0,0,0,0,16,9
153,153,3,1,55,3,2,1,14,7,9,15,9,12,18,15,16,22,11,16,42,1,1,0,1,0,0,1,1,1,15,7
154,154,3,2,52,4,2,1,18,11,9,15,8,12,23,23,15,40,13,18,32,1,1,0,1,0,0,1,1,1,23,11
155,155,3,2,56,1,2,1,26,24,13,25,9,10,17,7,3,13,6,5,40,1,1,0,1,0,0,0,0,1,7,24
156,156,3,1,56,4,1,1,24,11,11,28,14,17,27,14,15,40,12,21,42,1,1,0,1,0,0,1,1,1,14,11
157,157,3,2,47,2,1,1,20,19,9,25,12,8,26,24,13,35,11,17,46,0,1,0,1,0,0,1,1,1,24,19
158,158,3,2,56,2,1,1,17,18,8,17,5,9,24,17,10,19,10,15,39,1,1,0,1,0,0,1,1,1,17,18
159,159,3,2,52,3,1,1,28,15,13,27,9,15,31,16,16,22,12,18,69,1,1,0,1,0,0,1,1,1,16,15
160,160,3,2,51,4,1,1,23,14,11,23,8,11,31,37,17,42,14,18,36,0,1,0,1,0,0,1,1,1,37,14
161,161,3,1,51,1,1,1,7,13,6,11,7,6,12,8,14,22,10,16,35,0,1,0,1,0,0,0,0,1,8,13
162,162,3,2,53,3,1,1,15,15,8,18,8,11,29,32,12,28,10,14,34,1,1,0,1,0,0,1,1,1,32,15
163,163,3,1,50,4,1,1,26,11,14,23,10,11,39,22,16,40,14,17,32,0,1,0,1,0,0,1,1,1,22,11
164,164,3,2,59,4,1,1,16,10,8,21,9,12,25,22,14,31,10,18,38,1,1,0,1,0,0,1,1,1,22,10
165,165,3,1,53,3,1,1,14,12,7,9,9,5,22,28,9,30,9,10,32,1,1,0,1,0,0,1,1,1,28,12
166,166,3,1,55,3,1,1,15,10,7,9,6,11,24,20,14,27,9,9,34,1,1,0,1,0,0,1,1,1,20,10
167,167,3,1,57,1,1,1,6,13,2,8,7,7,18,6,4,0,1,4,35,1,1,0,1,0,0,0,0,1,6,13
168,168,3,1,58,2,1,1,16,5,5,8,6,9,13,14,11,11,9,16,34,1,1,0,1,0,0,1,1,1,14,5
169,169,3,1,44,3,1,1,10,12,4,9,10,11,13,15,3,8,3,5,28,0,1,0,1,0,0,1,1,1,15,12
170,170,3,1,39,1,1,2,14,12,4,5,7,5,13,11,8,19,10,8,29,0,0,0,1,0,0,0,0,0,11,12
171,171,3,1,53,4,2,1,21,17,12,16,10,13,27,20,14,29,15,16,37,1,1,0,1,0,0,1,1,1,20,17
172,172,3,2,52,4,1,1,23,10,9,9,7,6,21,16,11,20,9,9,32,1,1,0,1,0,0,1,1,1,16,10
173,173,3,1,57,3,1,2,25,11,10,19,11,13,28,29,20,25,16,19,35,1,0,0,1,0,0,1,1,0,29,11
174,174,3,2,40,3,1,1,11,10,7,14,4,8,16,22,11,21,9,9,35,0,1,0,1,0,0,1,1,1,22,10
175,175,3,2,47,2,1,1,16,13,7,7,6,9,22,13,4,18,11,9,32,0,1,0,1,0,0,1,1,1,13,13
176,176,3,1,51,2,1,1,25,19,11,24,12,8,26,20,15,24,11,13,47,0,1,0,1,0,0,1,1,1,20,19
177,177,3,1,48,2,1,1,11,7,4,14,3,13,11,12,8,27,11,10,35,0,1,0,1,0,0,1,1,1,12,7
178,178,3,2,49,1,1,2,15,16,6,9,4,7,20,16,7,17,10,5,35,0,0,0,1,0,0,0,0,0,16,16
179,179,3,1,50,2,1,1,12,8,5,17,8,10,18,19,12,13,12,17,30,0,1,0,1,0,0,1,1,1,19,8
180,180,4,2,53,1,2,2,10,13,4,13,7,8,19,16,9,16,7,11,35,1,0,0,0,1,0,0,0,0,16,13
181,181,4,2,52,1,2,2,13,15,8,19,8,9,21,11,8,16,7,11,39,1,0,0,0,1,0,0,0,0,11,15
182,182,4,1,51,1,2,2,19,12,9,17,8,12,27,16,12,27,11,16,39,0,0,0,0,1,0,0,0,0,16,12
183,183,4,1,52,1,2,2,20,16,12,22,11,17,25,19,14,26,11,15,36,1,0,0,0,1,0,0,0,0,19,16
184,184,4,1,46,1,2,2,13,3,3,1,4,4,24,11,10,13,11,13,27,0,0,0,0,1,0,0,0,0,11,3
185,185,4,2,51,1,2,2,21,19,12,25,13,14,24,15,11,25,8,14,45,0,0,0,0,1,0,0,0,0,15,19
186,186,4,2,47,1,2,2,19,12,13,27,8,11,24,14,15,21,7,13,28,0,0,0,0,1,0,0,0,0,14,12
187,187,4,2,51,3,2,1,25,13,12,21,12,16,31,16,15,25,11,18,40,0,1,0,0,1,0,1,1,1,16,13
188,188,4,2,54,1,2,1,8,20,5,8,7,6,14,13,11,11,8,10,47,1,1,0,0,1,0,0,0,1,13,20
189,189,4,2,54,2,2,1,12,4,9,4,7,6,17,13,10,12,9,8,36,1,1,0,0,1,0,1,1,1,13,4
190,190,4,1,57,2,2,1,24,11,10,28,12,11,30,24,18,26,14,16,39,1,1,0,0,1,0,1,1,1,24,11
191,191,4,1,53,2,2,1,17,12,8,9,5,11,26,13,11,20,10,15,39,1,1,0,0,1,0,1,1,1,13,12
192,192,4,2,50,2,2,1,20,16,8,18,9,13,28,25,15,15,9,12,43,0,1,0,0,1,0,1,1,1,25,16
193,193,4,2,57,1,2,2,28,23,16,33,14,11,26,25,16,42,14,11,69,1,0,0,0,1,0,0,0,0,25,23
194,194,4,2,58,1,2,2,31,30,12,44,14,17,32,43,16,44,11,13,69,1,0,0,0,1,0,0,0,0,43,30
195,195,4,2,58,1,2,2,28,29,9,33,14,8,29,44,9,44,15,10,38,1,0,0,0,1,0,0,0,0,44,29
196,196,4,2,53,1,2,2,19,19,14,24,11,16,21,13,9,31,10,16,39,1,0,0,0,1,0,0,0,0,13,19
197,197,4,2,49,1,2,2,20,17,7,13,9,10,30,15,6,21,10,9,30,0,0,0,0,1,0,0,0,0,15,17
198,198,4,2,51,1,2,2,10,1,2,2,4,0,13,0,0,0,0,0,34,0,0,0,0,1,0,0,0,0,0,1
199,199,4,1,58,1,2,2,22,13,9,13,10,9,18,18,11,13,11,8,36,1,0,0,0,1,0,0,0,0,18,13
200,200,4,2,51,1,2,2,18,12,4,10,5,9,17,10,8,14,5,10,48,0,0,0,0,1,0,0,0,0,10,12
201,201,4,2,53,1,2,2,21,17,9,18,9,11,28,15,9,19,12,9,49,1,0,0,0,1,0,0,0,0,15,17
202,202,4,2,56,3,2,1,29,17,17,32,10,20,30,33,17,38,12,20,49,1,1,0,0,1,0,1,1,1,33,17
203,203,4,2,51,3,1,1,19,11,10,19,8,7,22,19,11,39,11,21,37,0,1,0,0,1,0,1,1,1,19,11
204,204,4,1,47,1,1,1,23,12,11,14,11,13,29,15,13,22,14,16,45,0,1,0,0,1,0,0,0,1,15,12
205,205,4,2,54,4,1,1,23,14,12,23,8,15,28,41,16,35,16,22,46,1,1,0,0,1,0,1,1,1,41,14
206,206,4,1,54,4,1,1,17,15,6,15,4,11,24,30,13,42,17,20,32,1,1,0,0,1,0,1,1,1,30,15
207,207,4,2,46,1,1,1,22,14,7,15,3,14,29,24,18,36,13,23,30,0,1,0,0,1,0,0,0,1,24,14
208,208,4,2,52,2,1,1,20,15,14,19,5,13,27,45,16,38,17,22,35,1,1,0,0,1,0,1,1,1,45,15
209,209,4,2,48,1,1,1,24,18,5,21,9,11,23,17,10,16,15,9,36,0,1,0,0,1,0,0,0,1,17,18
210,210,4,1,49,2,1,2,17,21,7,23,9,4,13,14,13,35,15,13,45,0,0,0,0,1,0,1,1,0,14,21
211,211,4,1,58,1,1,2,14,7,3,17,13,6,22,15,11,23,13,9,59,1,0,0,0,1,0,0,0,0,15,7
212,212,4,1,46,3,1,2,18,13,10,11,7,9,22,14,13,23,10,13,42,0,0,0,0,1,0,1,1,0,14,13
213,213,4,1,57,1,1,2,27,19,11,20,10,15,27,19,8,29,23,11,41,1,0,0,0,1,0,0,0,0,19,19
214,214,4,1,48,4,1,2,27,12,15,23,11,16,27,17,13,27,13,10,39,0,0,0,0,1,0,1,1,0,17,12
