"height","weight","male","earn","earnk","ethnicity","education","mother_education","father_education","walk","exercise","smokenow","tense","angry","age"
71,135,1,8000,8,"White",12,NA,NA,1,1,1,0,0,68
65,130,0,8000,8,"White",12,12,12,7,1,1,0,0,50
73,225,1,35000,35,"White",18,18,18,5,2,2,0,0,50
69,175,1,45000,45,"White",11,NA,NA,8,1,1,0,0,51
64,175,0,0,0,"White",12,12,12,8,7,2,0,0,58
64,118,0,5000,5,"White",12,12,12,7,7,2,4,4,27
64,123,0,15000,15,"White",14,14,14,4,2,2,0,0,22
61,136,0,15000,15,"White",12,12,12,6,1,2,3,3,77
67,240,0,24000,24,"White",18,18,18,7,2,2,3,3,51
62,189,0,25000,25,"White",13,13,13,5,1,1,5,5,32
63,165,0,25000,25,"Black",14,14,14,4,2,2,0,0,54
67,105,1,20000,20,"Other",10,10,NA,1,1,1,0,0,28
68,140,0,24000,24,"White",12,12,12,8,4,2,0,0,24
72,165,1,44000,44,"White",16,16,16,8,4,2,1,1,46
70,187,1,69000,69,"White",12,12,12,7,1,1,0,0,38
70,188,1,62000,62,"White",18,18,18,8,4,2,0,0,44
60,145,0,25000,25,"Black",15,15,15,2,1,2,1,1,65
67,170,1,32000,32,"Black",14,14,14,6,6,2,0,0,32
63,125,0,20000,20,"Black",12,12,12,8,1,1,0,0,33
66,112,0,32000,32,"Other",18,18,18,5,2,2,0,0,35
66,135,0,25000,25,"White",17,17,17,8,5,2,1,1,50
71,185,1,170000,170,"White",18,18,18,5,4,2,0,0,45
66,185,0,0,0,"Black",11,11,11,8,5,2,2,2,29
67,170,1,35000,35,"White",16,16,16,1,7,2,0,0,33
76,194,1,40000,40,"Black",16,16,16,5,6,2,1,1,38
69,155,1,33000,33,"White",14,14,14,5,7,2,3,3,30
65,145,0,18000,18,"White",12,12,12,2,3,2,0,0,22
62,120,0,30000,30,"White",13,13,13,2,1,1,1,1,43
62,112,0,26000,26,"White",12,12,12,2,1,1,7,7,31
62,120,0,5000,5,"White",12,12,12,2,2,1,4,4,21
69,163,0,5000,5,"White",12,12,12,2,1,1,7,7,18
62,130,0,20000,20,"White",16,16,16,8,1,2,0,0,73
61,105,0,17000,17,"White",12,12,12,5,6,1,0,0,30
65,138,0,32000,32,"White",14,14,14,2,1,1,2,2,28
72,170,1,15000,15,"White",14,14,14,7,6,2,0,0,22
66,120,0,0,0,"White",17,17,17,8,6,2,3,3,41
72,248,1,50000,50,"White",14,14,14,8,1,2,0,0,55
64,138,0,8000,8,"White",12,NA,NA,3,2,2,2,2,39
71,190,1,40000,40,"White",14,14,14,8,3,2,0,0,51
72,185,1,40000,40,"White",15,15,15,8,6,2,3,3,41
66,130,1,32750,32.75,"White",12,12,NA,7,5,1,0,0,34
68,170,1,5000,5,"White",12,12,12,8,3,1,5,5,20
65,185,0,20000,20,"White",14,14,14,3,1,2,0,0,69
65,128,0,36000,36,"Black",15,15,15,8,7,2,0,0,39
62,170,0,6000,6,"White",12,NA,NA,3,7,2,0,0,64
66,160,0,12000,12,"Hispanic",14,14,14,7,7,2,2,2,34
67,150,1,60000,60,"White",14,14,14,8,7,2,0,0,63
64,135,0,40000,40,"White",13,13,13,8,2,1,0,0,44
74,185,1,5000,5,"Hispanic",13,13,13,5,7,2,0,0,19
63,117,0,43000,43,"White",12,12,12,5,6,2,0,0,38
67,150,0,45000,45,"White",16,16,16,8,1,2,3,3,34
68,190,0,6000,6,"White",18,18,18,3,1,2,5,5,39
64,154,0,8000,8,"Other",10,NA,10,7,1,2,0,0,82
64,170,0,20000,20,"Black",13,13,13,8,1,2,5,5,39
66,165,1,17000,17,"Black",12,12,12,8,6,2,0,0,23
65,112,0,2000,2,"White",12,NA,NA,6,1,1,7,7,32
65,180,1,65000,65,"White",12,12,12,8,3,2,0,0,28
72,180,1,50000,50,"White",12,12,12,4,4,2,1,1,41
68,128,0,0,0,"White",11,11,11,6,5,1,1,1,54
63,170,0,0,0,"White",11,11,11,5,3,2,0,0,29
70,220,1,15000,15,"White",13,NA,NA,1,1,2,0,0,21
68,140,0,11000,11,"White",12,12,12,8,1,2,1,1,38
74,190,1,35000,35,"White",18,18,18,5,7,2,0,0,30
63,185,1,27000,27,"White",12,12,12,1,2,2,1,1,33
64,135,0,3500,3.5,"White",12,12,12,8,1,2,0,0,61
65,132,0,15000,15,"White",7,7,7,1,1,1,0,0,77
68,180,1,42000,42,"White",12,12,12,8,4,1,2,2,37
61,200,0,15000,15,"White",12,12,NA,5,1,2,0,0,61
67,130,0,20000,20,"White",18,18,18,3,3,2,0,0,29
67,125,0,15000,15,"White",12,12,12,8,1,1,3,3,29
73,207,1,10000,10,"White",12,12,12,2,7,2,1,1,21
62,105,0,0,0,"White",12,NA,NA,1,1,1,2,2,48
70,176,1,6000,6,"White",8,8,8,8,7,2,0,0,78
71,200,1,25000,25,"White",12,NA,NA,5,1,2,2,2,80
65,200,0,17000,17,"Hispanic",16,NA,NA,8,1,2,3,3,23
69,148,1,35000,35,"Hispanic",16,16,16,8,1,2,0,0,65
77,203,1,28000,28,"White",14,14,14,8,7,2,0,0,28
68,165,0,15000,15,"White",12,NA,NA,6,3,1,1,1,33
62,110,0,20000,20,"White",17,17,17,6,1,1,0,0,24
64,128,0,20000,20,"White",12,12,12,4,1,2,3,3,29
67,150,1,10500,10.5,"Hispanic",12,12,NA,7,4,2,1,1,42
70,165,1,13000,13,"White",16,16,16,7,7,2,2,2,22
62,123,0,10000,10,"White",12,12,12,1,4,2,7,7,52
63,170,0,3000,3,"White",12,12,NA,8,3,2,5,5,37
62,116,0,24000,24,"White",14,14,14,1,4,1,7,7,29
63,117,0,0,0,"White",17,17,17,1,1,2,4,4,41
69,160,0,17000,17,"White",13,13,13,1,1,1,7,7,35
64,122,0,11000,11,"White",12,12,NA,1,1,1,0,0,48
64,154,0,0,0,"White",14,14,14,6,1,2,7,7,37
69,185,0,32000,32,"White",14,14,14,1,4,1,4,4,40
59,95,0,17000,17,"White",15,15,15,2,1,2,5,5,26
61,115,0,15000,15,"White",16,16,16,5,6,2,0,0,47
60,125,0,25000,25,"White",12,12,12,4,1,2,0,0,75
72,225,1,136500,136.5,"White",12,12,12,4,4,2,0,0,49
66,NA,0,3000,3,"Other",12,12,NA,7,7,2,7,7,35
63,160,0,15000,15,"White",8,NA,NA,8,6,2,0,0,60
65,150,0,0,0,"White",12,12,12,1,1,1,0,0,41
70,200,1,25000,25,"White",18,18,18,8,1,2,1,1,58
72,250,1,5000,5,"White",14,14,14,2,1,2,0,0,48
62,125,0,2100,2.1,"Black",12,12,12,6,1,1,6,6,21
70,148,1,15000,15,"Black",10,10,10,8,1,1,0,0,82
60,120,0,15000,15,"White",13,NA,13,8,1,2,0,0,76
66,140,0,15000,15,"Black",12,12,12,2,1,2,3,3,29
64,160,1,15000,15,"Hispanic",12,12,12,8,6,1,0,0,34
71,180,1,15000,15,"White",16,16,16,2,6,2,2,2,23
73,250,1,5000,5,"Black",12,12,12,7,5,1,0,0,27
75,180,1,3192,3.192,"Black",11,11,11,8,7,1,0,0,34
62,110,0,15000,15,"Other",12,12,12,6,1,2,0,0,25
63,123,0,17000,17,"White",17,17,17,5,5,2,1,1,26
65,150,0,30000,30,"White",13,13,13,7,7,2,7,7,28
70,135,1,15000,15,"White",12,12,12,1,1,2,0,0,32
64,110,0,5000,5,"White",16,16,16,7,6,2,0,0,26
68,170,0,24000,24,"White",16,16,16,6,4,2,1,1,42
65,154,0,10000,10,"White",14,14,14,8,1,2,0,0,67
69,150,1,50000,50,"White",8,8,8,2,7,1,0,0,53
64,170,0,15000,15,"White",11,NA,NA,1,1,2,0,0,77
72,168,1,50000,50,"White",16,16,16,3,2,2,0,0,53
69,160,1,136500,136.5,"White",12,12,12,8,2,1,0,0,38
64,150,0,20000,20,"White",17,17,17,4,2,2,0,0,49
63,108,0,30000,30,"Hispanic",18,18,18,7,2,2,0,0,54
68,122,0,5000,5,"White",18,18,18,2,1,2,2,2,41
64,135,0,0,0,"White",12,12,12,1,1,1,1,1,63
66,130,0,0,0,"White",10,10,10,6,1,2,0,0,48
70,165,1,25000,25,"White",12,12,12,1,1,2,0,0,37
63,134,0,0,0,"White",5,NA,5,7,1,2,0,0,58
73,180,0,22000,22,"White",14,14,14,5,1,2,0,0,45
75,200,1,27000,27,"White",12,12,12,1,7,2,0,0,24
65,210,0,4000,4,"White",12,12,12,4,2,2,1,1,38
64,140,0,35000,35,"White",16,16,16,8,4,2,0,0,41
66,160,0,17500,17.5,"White",17,17,17,4,1,2,0,0,26
66,112,0,16500,16.5,"White",14,14,14,7,6,2,3,3,28
64,190,0,28000,28,"White",16,16,16,3,1,2,5,5,39
66,140,0,52000,52,"White",18,18,18,2,5,2,0,0,50
64,108,0,15000,15,"White",16,16,16,2,6,2,0,0,29
63,140,0,19000,19,"White",13,13,13,8,7,2,2,2,32
63,125,0,0,0,"White",13,13,13,8,4,2,0,0,44
67,132,0,5000,5,"Black",12,12,NA,3,1,2,2,2,19
69,135,0,15000,15,"White",12,12,NA,5,1,2,1,1,34
73,170,1,27000,27,"White",12,12,12,6,6,1,2,2,23
72,171,1,15000,15,"White",8,8,8,1,7,1,6,6,58
66,196,0,0,0,"White",12,12,12,1,2,2,5,5,24
