"","height","weight","female","income","ethnicity","education","mother_education","father_education","walk","exercise","smokenow","tense","angry"
"250","60","115","1","6600","hispanic","14","14","14","8","6","1","2","2"
"251","64","210","1",NA,"black","11",NA,NA,"5","5","2","1","1"
"252","68","164","0","16000","white","8","8","8","4","1","2","2","2"
"253","72","185","0","90000","white","12","12","12","8","7","2","6","6"
"254","66","185","1","8000","white","12","12",NA,"5","2","1","0","0"
"255","68","150","0","20000","white","10",NA,NA,"1","1","2","0","0"
"256","68","130","1","15000","white","12","12","12","6","7","1","5","5"
"257","69","180","1","12000","white","12","12","12","8","1","2","0","0"
"258","63","170","1","25000","white","9","9",NA,"8","2","2","2","2"
"259","64","128","1","24000","white","16","16","16","7","3","2","0","0"
"260","65","175","1","20000","white","14","14","14","8","3","2","0","0"
"261","59","147","1",NA,"white","8",NA,NA,"8","1","2","0","0"
"262","61","128","1","19000","white","12","12","12","8","1","2","0","0"
"263","71","180","0","25000","white","8",NA,"8","3","1","1","0","0"
"264","72","172","0","10000","white","12","12","12","8","1","2","0","0"
"265","66","125","1","40000","white","16","16","16","8","1","1","1","1"
"266","69","166","0",NA,"white","18","18","18","1","2","2","1","1"
"267","69","175","0","62000","black","8",NA,NA,"1","1","2","0","0"
"268","63","105","1","25000","black","13","13","13","7","6","2","3","3"
"269","64","125","1",NA,"hispanic","12","12","12","5","1","2","4","4"
"270","62","999","1","0","white","10","10",NA,"8","1","1","6","6"
"271","60","145","1","0","hispanic","10","10",NA,"8","1","2","0","0"
"272","62","138","1",NA,"white","8",NA,NA,"2","1","2","0","0"
"273","68","160","0","25000","white","14","14","14","8","1","2","0","0"
"274","70","150","0","25000","white","12","12",NA,"4","6","2","0","0"
"275","71","165","0","25000","white","14","14","14","4","5","1","0","0"
"276","71","209","0","19000","white","16","16","16","8","4","2","4","4"
"277","68","210","0","44000","white","16","16","16","4","4","2","2","2"
"278","66","145","1","0","white","12","12","12","8","6","2","0","0"
"279","63","140","1","0","white","18","18","18","8","1","1","0","0"
"280","60","105","1","15000","white","14","14","14","8","2","1","0","0"
"281","63","137","1","17000","white","12","12",NA,"5","1","2","5","5"
"282","68","150","0","24000","white","12","12","12","1","1","2","0","0"
"283","70","150","0",NA,"white","16","16","16","8","6","2","0","0"
"284","64","170","1","23000","white","12","12","12","8","1","2","7","7"
"285","70","143","0","13000","white","12","12","12","8","7","2","0","0"
"286","66","178","1",NA,"black",NA,NA,NA,"8","1","2","0","0"
"287","66","999","1","35000","white","12","12","12","4","7","1","7","7"
"288","68","180","0","65000","white","16","16","16","1","6","2","1","1"
"289","61","135","1","7000","white","12","12",NA,"4","1","2","3","3"
"290","67","122","1",NA,"white","16","16","16","8","6","1","3","3"
"291","68","180","0","40000","white","18","18","18","8","2","2","0","0"
"292","66","145","1","15000","white","17","17","17","7","1","2","3","3"
"293","70","164","0","20000","white","16","16","16","5","5","2","0","0"
"294","68","150","0","25000","white","6",NA,NA,"1","1","1","0","0"
"295","66","142","1",NA,"white","14","14","14","8","7","1","0","0"
"296","71","175","0","20000","white","12","12","12","8","2","2","7","7"
"297","63","175","0","5000","white","9",NA,"9","2","1","2","0","0"
"298","65","195","1","20000","white","12","12","12","8","1","2","0","0"
"299","66","150","1","25000","white","12","12","12","3","1","2","0","0"
"300","64","110","1","15000","white","14","14","14","8","6","2","0","0"
"301","70","195","0","49000","white","13","13","13","7","7","1","0","0"
"302","70","165","0","25000","white","8","8","8","8","7","1","0","0"
"303","64","102","1","0","white","12",NA,"12","3","1","2","3","3"
"304","64","135","1",NA,"white","16","16","16","8","6","2","1","1"
"305","63","150","1","0","white","16","16","16","6","4","2","7","7"
"306","62","158","1","25000","white","12","12","12","5","1","2","0","0"
"307","65","160","1","30000","white","12","12","12","5","1","2","0","0"
"308","66","142","1","25000","white","12","12","12","8","1","2","1","1"
"309","65","200","1",NA,"white","14","14","14","3","1","2","0","0"
"310","60","125","1","45000","white","16","16","16","8","1","2","0","0"
"311","66","128","1","11000","white","14","14","14","7","1","2","0","0"
"312","61","160","1","16000","white","15","15","15","3","7","2","1","1"
"313","72","145","0","35000","white","14","14","14","1","7","2","2","2"
"314","74","240","0","125000","white","18","18","18","4","1","2","7","7"
"315","67","185","1","23000","white","12","12","12","3","1","1","2","2"
"316","66","170","1","17000","white","16","16","16","1","1","2","1","1"
"317","62","125","1","0","white","13","13","13","2","2","1","7","7"
"318","62","115","1","27000","white","12","12","12","2","1","2","3","3"
"319","72","180","0","70000","white","14","14","14","8","7","2","0","0"
"320","65","170","1","35000","white","15","15","15","8","1","2","0","0"
"321","60","150","1","10000","white","12","12","12","1","1","1","3","3"
"322","64","107","1","15000","white","13",NA,"13","8","4","1","4","4"
"323","62","135","1","35000","white","15","15","15","6","6","2","0","0"
"324","66","130","1","15000","white","12","12","12","8","5","2","1","1"
"325","64","250","1","12000","white","12","12","12","7","6","2","0","0"
"326","71","135","0","8000","white","12",NA,NA,"1","1","1","0","0"
"327","65","130","1","8000","white","12","12","12","7","1","1","0","0"
"328","73","225","0","35000","white","18","18","18","5","2","2","0","0"
"329","69","175","0","45000","white","11",NA,NA,"8","1","1","0","0"
"330","65","175","1",NA,"white","12","12","12","5","1","2","2","2"
"331","64","175","1","0","white","12","12","12","8","7","2","0","0"
"332","64","118","1","5000","white","12","12","12","7","7","2","4","4"
"333","68","999","1",NA,"white","12",NA,NA,"1","1","1","0","0"
"334","64","123","1","15000","white","14","14","14","4","2","2","0","0"
"335","61","136","1","15000","white","12","12","12","6","1","2","3","3"
"336","73","228","0",NA,"white","15","15","15","8","2","1","1","1"
"337","67","240","1","24000","white","18","18","18","7","2","2","3","3"
"338","62","189","1","25000","white","13","13","13","5","1","1","5","5"
"339","73","180","0",NA,"white","12","12","12","7","4","1","4","4"
"340","63","165","1","25000","black","14","14","14","4","2","2","0","0"
"341","67","105","0","20000","other","10","10",NA,"1","1","1","0","0"
"342","68","140","1","24000","white","12","12","12","8","4","2","0","0"
"343","72","165","0","44000","white","16","16","16","8","4","2","1","1"
"344","70","187","0","69000","white","12","12","12","7","1","1","0","0"
"345","70","188","0","62000","white","18","18","18","8","4","2","0","0"
"346","60","145","1","25000","black","15","15","15","2","1","2","1","1"
"347","67","170","0","32000","black","14","14","14","6","6","2","0","0"
"348","63","125","1","20000","black","12","12","12","8","1","1","0","0"
"349","66","112","1","32000","other","18","18","18","5","2","2","0","0"
"350","66","135","1","25000","white","17","17","17","8","5","2","1","1"
"351","71","185","0","170000","white","18","18","18","5","4","2","0","0"
"352","69","175","0",NA,"black","14","14","14","8","1","2","0","0"
"353","66","185","1","0","black","11","11","11","8","5","2","2","2"
"354","67","170","0","35000","white","16","16","16","1","7","2","0","0"
"355","76","194","0","40000","black","16","16","16","5","6","2","1","1"
"356","69","155","0","33000","white","14","14","14","5","7","2","3","3"
"357","65","145","1","18000","white","12","12","12","2","3","2","0","0"
"358","68","153","0",NA,"white","12","12","12","2","2","1","0","0"
"359","61","155","1",NA,"white","9",NA,NA,"8","1","2","1","1"
"360","62","120","1","30000","white","13","13","13","2","1","1","1","1"
"361","62","112","1","26000","white","12","12","12","2","1","1","7","7"
"362","62","120","1","5000","white","12","12","12","2","2","1","4","4"
"363","69","163","1","5000","white","12","12","12","2","1","1","7","7"
"364","62","130","1","20000","white","16","16","16","8","1","2","0","0"
"365","72","170","0",NA,"white","11","11","11","3","2","1","2","2"
"366","67","122","1",NA,"white","12",NA,"12","2","3","2","3","3"
"367","61","105","1","17000","white","12","12","12","5","6","1","0","0"
"368","65","138","1","32000","white","14","14","14","2","1","1","2","2"
"369","72","170","0","15000","white","14","14","14","7","6","2","0","0"
"370","66","120","1","0","white","17","17","17","8","6","2","3","3"
"371","72","248","0","50000","white","14","14","14","8","1","2","0","0"
"372","64","138","1","8000","white","12",NA,NA,"3","2","2","2","2"
"373","71","190","0","40000","white","14","14","14","8","3","2","0","0"
"374","72","185","0","40000","white","15","15","15","8","6","2","3","3"
"375","66","130","0","32750","white","12","12",NA,"7","5","1","0","0"
"376","68","170","0","5000","white","12","12","12","8","3","1","5","5"
"377","65","185","1","20000","white","14","14","14","3","1","2","0","0"
"378","65","128","1","36000","black","15","15","15","8","7","2","0","0"
"379","62","170","1","6000","white","12",NA,NA,"3","7","2","0","0"
"380","66","160","1","12000","hispanic","14","14","14","7","7","2","2","2"
"381","67","135","0",NA,"white","18","18","18","4","4","2","1","1"
"382","67","150","0","60000","white","14","14","14","8","7","2","0","0"
"383","64","135","1","40000","white","13","13","13","8","2","1","0","0"
"384","74","185","0","5000","hispanic","13","13","13","5","7","2","0","0"
"385","63","117","1","43000","white","12","12","12","5","6","2","0","0"
"386","67","150","1","45000","white","16","16","16","8","1","2","3","3"
"387","68","190","1","6000","white","18","18","18","3","1","2","5","5"
"388","64","154","1","8000","other","10",NA,"10","7","1","2","0","0"
"389","64","170","1","20000","black","13","13","13","8","1","2","5","5"
"390","66","140","1",NA,"white","7",NA,NA,"8","1","1","7","7"
"391","66","165","0","17000","black","12","12","12","8","6","2","0","0"
"392","65","112","1","2000","white","12",NA,NA,"6","1","1","7","7"
"393","65","180","0","65000","white","12","12","12","8","3","2","0","0"
"394","72","180","0","50000","white","12","12","12","4","4","2","1","1"
"395","68","128","1","0","white","11","11","11","6","5","1","1","1"
"396","63","170","1","0","white","11","11","11","5","3","2","0","0"
"397","70","220","0","15000","white","13",NA,NA,"1","1","2","0","0"
"398","68","140","1","11000","white","12","12","12","8","1","2","1","1"
"399","74","190","0","35000","white","18","18","18","5","7","2","0","0"
"400","63","185","0","27000","white","12","12","12","1","2","2","1","1"
"401","64","135","1","3500","white","12","12","12","8","1","2","0","0"
"402","65","132","1","15000","white","7","7","7","1","1","1","0","0"
"403","68","180","0","42000","white","12","12","12","8","4","1","2","2"
"404","61","200","1","15000","white","12","12",NA,"5","1","2","0","0"
"405","67","130","1","20000","white","18","18","18","3","3","2","0","0"
"406","67","125","1","15000","white","12","12","12","8","1","1","3","3"
"407","73","207","0","10000","white","12","12","12","2","7","2","1","1"
"408","62","105","1","0","white","12",NA,NA,"1","1","1","2","2"
"409","70","176","0","6000","white","8","8","8","8","7","2","0","0"
"410","69","255","1",NA,"white","14","14","14","2","1","2","0","0"
"411","71","200","0","25000","white","12",NA,NA,"5","1","2","2","2"
"412","65","200","1","17000","hispanic","16",NA,NA,"8","1","2","3","3"
"413","62","110","1",NA,"hispanic","8","8",NA,"5","1","1","0","0"
"414","69","148","0","35000","hispanic","16","16","16","8","1","2","0","0"
"415","77","203","0","28000","white","14","14","14","8","7","2","0","0"
"416","68","165","1","15000","white","12",NA,NA,"6","3","1","1","1"
"417","62","110","1","20000","white","17","17","17","6","1","1","0","0"
"418","64","128","1","20000","white","12","12","12","4","1","2","3","3"
"419","70","150","0",NA,"hispanic","18","18","18","3","5","2","0","0"
"420","67","150","0","10500","hispanic","12","12",NA,"7","4","2","1","1"
"421","70","165","0","13000","white","16","16","16","7","7","2","2","2"
"422","62","123","1","10000","white","12","12","12","1","4","2","7","7"
"423","63","170","1","3000","white","12","12",NA,"8","3","2","5","5"
"424","62","116","1","24000","white","14","14","14","1","4","1","7","7"
"425","63","117","1","0","white","17","17","17","1","1","2","4","4"
"426","69","160","1","17000","white","13","13","13","1","1","1","7","7"
"427","64","122","1","11000","white","12","12",NA,"1","1","1","0","0"
"428","64","154","1","0","white","14","14","14","6","1","2","7","7"
"429","69","185","1","32000","white","14","14","14","1","4","1","4","4"
"430","59","95","1","17000","white","15","15","15","2","1","2","5","5"
"431","61","115","1","15000","white","16","16","16","5","6","2","0","0"
"432","60","125","1","25000","white","12","12","12","4","1","2","0","0"
"433","72","225","0","150000","white","12","12","12","4","4","2","0","0"
"434","68","180","0",NA,"white","14","14","14","8","7","2","0","0"
"435","66","999","1","3000","other","12","12",NA,"7","7","2","7","7"
"436","63","160","1","15000","white","8",NA,NA,"8","6","2","0","0"
"437","65","150","1","0","white","12","12","12","1","1","1","0","0"
"438","70","200","0","25000","white","18","18","18","8","1","2","1","1"
