"G1mat","G2mat","G3mat","G1por","G2por","G3por","school","sex","age","address","famsize","Pstatus","Medu","Fedu","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences"
11,0,0,13,14,15,0,0,15,1,0,1,4,4,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,0
8,10,11,13,12,12,0,0,15,1,0,1,4,4,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0
7,9,8,12,11,12,0,0,15,1,0,1,4,4,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6
7,7,7,13,12,12,0,0,15,1,0,1,4,4,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2
10,8,9,14,14,14,0,0,15,1,0,1,4,4,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0
9,11,11,13,13,13,0,0,15,1,0,1,4,4,1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2
16,16,15,13,14,14,0,0,15,1,0,1,4,4,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0
NA,NA,NA,11,10,10,0,0,15,1,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
10,13,13,13,12,13,0,0,15,1,1,0,3,3,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6
7,10,11,10,11,11,0,0,15,1,1,0,3,4,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0
8,8,6,10,11,11,0,0,15,1,1,0,4,3,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8
7,8,10,12,13,12,0,0,15,1,1,1,1,1,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10
7,6,6,12,11,11,0,0,15,1,1,1,3,2,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10
11,13,13,16,14,16,0,0,15,1,1,1,4,2,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2
10,10,10,13,12,12,0,0,15,1,1,1,4,3,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0
NA,NA,NA,14,13,13,0,0,16,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,12,11,11,0,0,16,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10,10,11,13,13,13,0,0,16,0,0,1,2,2,2,4,0,0,1,1,1,0,1,1,0,5,3,5,1,1,5,6
7,10,10,11,11,11,0,0,16,0,0,1,3,3,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0
10,11,11,17,16,16,0,0,16,0,0,1,4,4,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6
8,9,10,12,13,12,0,0,16,1,0,0,2,1,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8
NA,NA,NA,13,11,11,0,0,16,1,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
12,13,14,13,13,13,0,0,16,1,0,0,2,2,1,2,0,1,1,1,0,1,1,1,0,3,3,4,1,1,4,0
7,7,7,11,11,12,0,0,16,1,0,0,3,1,1,2,3,0,1,1,0,1,1,1,0,2,3,3,2,2,4,5
4,0,0,9,9,10,0,0,16,1,0,0,3,3,2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0
12,11,11,15,13,14,0,0,16,1,0,0,3,4,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16
NA,NA,NA,14,13,13,0,0,16,1,0,0,4,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
9,9,10,12,13,13,0,0,16,1,0,1,1,1,2,1,0,0,1,1,0,1,1,0,0,4,3,2,1,4,5,6
10,8,11,10,10,16,0,0,16,1,0,1,1,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6
NA,NA,NA,12,11,11,0,0,16,1,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
8,7,0,14,13,13,0,0,16,1,0,1,1,3,1,2,3,0,0,0,1,0,1,1,1,4,3,5,1,1,3,0
8,9,10,13,12,12,0,0,16,1,0,1,2,1,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2
13,12,12,9,10,10,0,0,16,1,0,1,2,1,1,1,0,0,0,0,0,1,1,1,1,4,5,2,1,1,5,20
10,13,13,8,10,10,0,0,16,1,0,1,2,2,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6
6,7,0,12,12,13,0,0,16,1,0,1,2,2,1,2,0,0,1,1,0,0,1,1,0,5,1,5,1,1,4,0
8,7,8,12,11,11,0,0,16,1,0,1,2,2,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0
11,11,11,13,13,13,0,0,16,1,0,1,2,2,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0
13,13,11,13,12,14,0,0,16,1,0,1,2,2,2,2,0,0,0,1,1,0,1,1,0,3,4,4,1,4,5,2
6,9,8,10,11,12,0,0,16,1,0,1,2,2,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14
8,10,10,11,12,12,0,0,16,1,0,1,2,3,1,2,0,1,1,1,1,1,1,0,0,4,4,3,1,3,4,6
11,12,13,12,12,13,0,0,16,1,0,1,2,3,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,10
16,16,17,13,13,14,0,0,16,1,0,1,2,3,1,2,0,1,0,0,0,1,1,1,0,2,3,1,1,1,3,2
7,7,6,10,9,10,0,0,16,1,0,1,3,1,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4
12,13,12,14,15,16,0,0,16,1,0,1,3,2,1,2,0,0,1,1,0,1,1,1,0,1,2,2,1,2,1,14
6,10,10,11,13,13,0,0,16,1,0,1,3,3,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4
7,7,8,9,11,11,0,0,16,1,0,1,3,3,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0
8,10,10,13,14,14,0,0,16,1,0,1,3,3,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4
11,12,11,11,11,11,0,0,16,1,0,1,3,3,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54
5,5,5,12,11,11,0,0,16,1,0,1,3,4,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12
14,15,16,17,17,18,0,0,16,1,0,1,4,2,1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0
15,16,16,16,15,16,0,0,16,1,0,1,4,2,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2
11,10,10,13,14,14,0,0,16,1,0,1,4,2,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0
16,16,16,14,14,15,0,0,16,1,0,1,4,3,1,2,0,0,1,0,1,1,1,1,0,4,3,5,1,5,2,2
7,9,8,12,13,13,0,0,16,1,0,1,4,3,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0
10,9,9,14,13,13,0,0,16,1,0,1,4,3,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2
11,12,13,14,15,15,0,0,16,1,0,1,4,3,1,2,0,0,0,1,1,1,1,1,1,1,3,2,1,1,1,10
14,14,14,16,16,17,0,0,16,1,0,1,4,4,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0
14,14,14,17,17,17,0,0,16,1,0,1,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4
11,14,14,12,13,13,0,0,16,1,0,1,4,4,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6
13,14,14,13,13,14,0,0,16,1,0,1,4,4,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6
13,13,14,15,16,16,0,0,16,1,0,1,4,4,1,3,0,0,1,0,1,0,1,1,0,5,3,2,1,1,5,0
11,12,11,13,12,13,0,0,16,1,1,0,3,3,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12
14,14,13,10,11,11,0,0,16,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2
8,10,9,13,13,10,0,0,16,1,1,1,1,2,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4
8,7,6,13,11,11,0,0,16,1,1,1,2,2,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4
10,10,9,10,11,11,0,0,16,1,1,1,2,2,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14
7,10,11,11,11,10,0,0,16,1,1,1,2,2,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25
12,13,13,14,13,13,0,0,16,1,1,1,2,2,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2
13,13,13,14,12,13,0,0,16,1,1,1,2,4,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2
7,6,6,12,13,12,0,0,16,1,1,1,3,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4
10,11,9,14,14,15,0,0,16,1,1,1,3,3,2,2,0,0,1,1,1,1,1,1,0,4,4,5,1,1,4,4
16,15,15,16,15,16,0,0,16,1,1,1,4,3,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2
14,15,16,15,15,14,0,0,16,1,1,1,4,4,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4
9,9,10,11,10,11,0,0,16,1,1,1,4,4,1,2,0,0,1,1,0,1,1,1,0,4,5,2,1,2,3,0
9,10,10,14,14,16,0,0,17,0,0,0,3,2,1,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,2,4
13,11,11,13,13,13,0,0,17,0,0,1,2,1,3,2,0,0,0,0,1,1,1,0,0,2,1,1,1,1,3,2
6,6,6,11,10,11,0,0,17,0,0,1,2,1,2,2,0,0,1,0,1,1,1,1,0,4,2,5,1,2,5,2
7,6,6,13,13,13,0,0,17,0,0,1,2,2,1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,18
12,14,14,15,15,15,0,0,17,0,0,1,2,4,1,3,0,0,1,0,0,1,1,1,1,4,4,3,1,1,5,7
11,11,10,15,15,17,0,0,17,0,0,1,3,4,1,3,0,0,1,1,1,0,1,1,0,4,3,4,2,5,5,0
NA,NA,NA,11,12,14,0,0,17,0,0,1,4,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
7,7,7,11,12,12,0,0,17,0,0,1,4,3,2,3,0,0,1,1,1,1,1,1,1,4,4,2,1,1,4,6
NA,NA,NA,7,7,8,0,0,17,0,0,1,4,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,15,16,17,0,0,17,0,0,1,4,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,9,9,8,0,0,17,0,1,0,1,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,15,14,15,0,0,17,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
11,11,11,11,11,10,0,0,17,0,1,1,2,2,1,3,0,0,1,1,1,1,1,1,0,3,3,2,2,2,3,3
18,18,18,18,19,19,0,0,17,0,1,1,3,1,2,4,0,0,1,1,0,1,1,0,0,3,1,2,1,1,3,6
8,10,10,12,11,11,0,0,17,0,1,1,4,4,1,1,0,0,1,1,0,1,1,0,0,5,2,1,1,2,3,12
12,10,12,15,15,16,0,0,17,1,0,0,2,1,2,3,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,10
9,8,0,10,12,14,0,0,17,1,0,0,2,2,1,2,1,0,1,0,0,1,1,1,1,3,3,1,1,2,4,0
8,7,9,12,13,14,0,0,17,1,0,0,3,3,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,6
13,13,13,15,14,17,0,0,17,1,0,0,4,3,1,2,0,0,1,1,0,1,1,1,1,5,2,2,1,2,5,23
6,5,6,10,13,13,0,0,17,1,0,0,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6
NA,NA,NA,10,9,10,0,0,17,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
5,5,6,9,11,11,0,0,17,1,0,1,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4
6,5,0,12,12,12,0,0,17,1,0,1,1,1,1,3,1,0,1,0,1,1,1,0,1,4,3,4,1,1,5,0
8,8,9,12,11,12,0,0,17,1,0,1,1,1,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0
9,9,10,14,15,15,0,0,17,1,0,1,1,1,1,2,0,0,1,1,0,0,1,0,0,4,4,4,1,3,1,4
NA,NA,NA,11,10,11,0,0,17,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
13,12,12,13,13,14,0,0,17,1,0,1,1,1,1,3,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,6
NA,NA,NA,12,15,15,0,0,17,1,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,12,16,16,0,0,17,1,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
9,10,10,12,12,13,0,0,17,1,0,1,2,2,1,3,0,0,1,1,1,1,1,1,0,4,3,3,1,1,4,4
10,9,11,12,12,14,0,0,17,1,0,1,2,2,1,2,0,0,1,0,0,0,1,1,0,5,4,5,1,2,5,4
11,9,9,14,13,13,0,0,17,1,0,1,2,2,1,2,0,0,1,0,0,1,1,0,1,4,2,2,1,1,3,12
NA,NA,NA,13,15,15,0,0,17,1,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,13,17,17,0,0,17,1,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
7,7,8,12,13,13,0,0,17,1,0,1,2,3,2,1,0,0,1,1,0,1,1,0,0,3,3,3,1,4,3,3
NA,NA,NA,11,12,14,0,0,17,1,0,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
10,10,10,15,16,16,0,0,17,1,0,1,2,4,2,2,0,0,1,1,0,1,1,1,1,4,3,3,1,1,1,2
16,17,17,17,18,17,0,0,17,1,0,1,2,4,1,2,0,0,1,0,1,1,1,0,0,5,4,2,2,3,5,0
NA,NA,NA,10,13,13,0,0,17,1,0,1,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
12,14,15,17,18,17,0,0,17,1,0,1,3,1,1,3,0,0,1,0,0,0,1,1,0,3,4,3,2,3,5,1
17,17,18,18,18,18,0,0,17,1,0,1,3,2,1,4,0,0,1,1,1,0,1,1,0,5,2,2,1,2,5,0
16,15,15,17,18,17,0,0,17,1,0,1,3,2,1,2,0,0,0,0,1,0,1,1,0,5,3,4,1,3,3,10
NA,NA,NA,14,14,15,0,0,17,1,0,1,3,2,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
7,8,0,12,13,15,0,0,17,1,0,1,3,2,1,2,0,0,1,1,0,1,1,1,1,4,3,2,2,3,2,0
NA,NA,NA,11,12,11,0,0,17,1,0,1,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
10,9,9,15,12,13,0,0,17,1,0,1,3,3,1,3,0,0,0,0,1,0,1,0,0,3,2,3,1,1,4,4
NA,NA,NA,11,11,11,0,0,17,1,0,1,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
10,9,9,8,9,8,0,0,17,1,0,1,3,4,1,3,1,0,1,1,0,1,1,1,1,4,4,3,3,4,5,28
16,15,15,11,13,14,0,0,17,1,0,1,3,4,1,3,0,0,0,0,0,1,1,1,0,4,4,5,1,3,5,16
15,12,14,16,16,16,0,0,17,1,0,1,4,2,2,3,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,0
13,15,15,11,12,13,0,0,17,1,0,1,4,3,1,3,0,0,1,1,1,1,1,1,1,4,4,3,1,3,4,0
15,15,15,17,18,18,0,0,17,1,0,1,4,3,1,3,0,0,1,1,0,1,1,1,0,4,2,2,1,2,3,0
6,6,4,11,9,10,0,0,17,1,0,1,4,3,1,2,2,0,0,1,0,1,1,1,1,3,4,5,2,4,1,22
NA,NA,NA,14,15,17,0,0,17,1,0,1,4,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
11,11,12,13,13,13,0,0,17,1,0,1,4,4,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0
18,18,18,14,15,16,0,0,17,1,0,1,4,4,2,1,1,0,1,0,0,1,1,1,0,4,2,4,2,3,2,24
10,9,9,11,11,12,0,0,17,1,0,1,4,4,1,3,0,0,1,1,1,1,1,1,0,5,4,4,1,3,4,7
10,9,9,13,12,13,0,0,17,1,0,1,4,4,1,3,0,0,1,1,1,1,1,1,0,5,4,4,1,3,4,7
14,14,14,15,14,15,0,0,17,1,0,1,4,4,2,3,0,0,1,1,0,0,1,1,1,4,3,3,1,2,4,4
NA,NA,NA,11,10,11,0,0,17,1,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11,9,10,0,0,17,1,1,0,2,2,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,12,12,13,0,0,17,1,1,0,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,15,14,14,0,0,17,1,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
16,15,15,14,14,15,0,0,17,1,1,1,0,2,2,3,0,0,0,0,0,1,1,1,0,3,3,3,2,3,2,0
NA,NA,NA,11,10,10,0,0,17,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11,12,14,0,0,17,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
10,13,12,13,12,12,0,0,17,1,1,1,2,2,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12
12,12,12,12,12,12,0,0,17,1,1,1,2,2,2,2,0,1,1,1,0,1,1,1,1,4,4,4,2,3,5,6
10,9,0,10,11,12,0,0,17,1,1,1,2,2,1,4,0,0,0,1,1,1,1,1,1,3,4,1,1,1,2,0
14,15,15,14,15,16,0,0,17,1,1,1,2,4,1,2,0,0,0,0,1,1,1,1,1,4,3,2,1,1,5,0
14,15,15,14,16,15,0,0,17,1,1,1,3,2,2,2,0,0,0,1,0,1,1,1,0,4,4,4,1,3,1,2
9,9,8,14,13,14,0,0,17,1,1,1,3,3,1,2,0,0,1,0,1,1,1,1,1,5,3,3,2,3,1,56
14,12,13,14,15,17,0,0,17,1,1,1,4,2,1,4,0,0,1,1,1,1,1,1,0,4,2,3,1,1,4,6
13,13,14,14,12,12,0,0,17,1,1,1,4,3,1,2,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,14
10,9,9,12,9,10,0,0,18,0,0,0,3,2,2,2,0,0,0,0,0,0,0,1,1,4,1,1,1,1,5,75
9,8,10,11,10,11,0,0,18,0,0,1,1,1,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6
6,0,0,8,9,10,0,0,18,0,0,1,2,1,2,2,0,0,1,0,0,1,0,1,1,4,3,5,1,2,3,0
10,9,0,14,13,14,0,0,18,0,0,1,2,2,2,4,0,0,0,0,1,1,1,0,0,4,4,4,1,1,4,0
NA,NA,NA,11,11,13,0,0,18,0,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
9,8,7,8,8,8,0,0,18,0,0,1,3,1,1,2,1,0,0,0,1,1,1,1,1,5,3,3,1,1,4,16
12,10,11,10,11,12,0,0,18,0,0,1,4,4,2,2,0,0,0,1,1,1,1,1,0,4,3,4,2,2,4,8
12,12,12,17,17,18,0,0,18,0,1,1,1,1,2,4,0,0,1,1,1,1,1,0,0,5,2,2,1,1,3,1
NA,NA,NA,12,11,11,0,0,18,1,0,0,3,2,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
5,6,6,0,11,11,0,0,18,1,0,0,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6
8,9,10,12,13,13,0,0,18,1,0,1,1,1,2,2,0,1,0,0,1,1,1,1,0,5,4,4,1,1,4,4
8,9,10,14,14,14,0,0,18,1,0,1,1,1,2,2,0,1,0,0,1,1,1,1,0,5,4,4,1,1,4,4
NA,NA,NA,10,10,11,0,0,18,1,0,1,1,4,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
7,0,0,12,10,11,0,0,18,1,0,1,2,1,2,3,0,0,1,1,0,0,1,1,1,4,4,4,1,1,3,0
NA,NA,NA,14,14,15,0,0,18,1,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,12,13,14,0,0,18,1,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
8,8,0,12,12,15,0,0,18,1,0,1,2,1,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,2,1,0
NA,NA,NA,10,9,8,0,0,18,1,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
18,18,19,18,18,18,0,0,18,1,0,1,2,2,1,3,0,0,1,1,0,1,1,1,0,4,3,3,1,2,2,5
NA,NA,NA,10,9,10,0,0,18,1,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
9,10,0,11,12,13,0,0,18,1,0,1,2,2,1,3,0,0,1,1,1,1,1,1,1,4,3,3,1,1,3,0
NA,NA,NA,10,10,10,0,0,18,1,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
11,10,10,11,12,14,0,0,18,1,0,1,2,3,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,2,3,4
15,14,14,16,16,16,0,0,18,1,0,1,2,3,1,4,0,0,1,1,1,1,1,1,1,4,5,5,1,3,2,4
14,12,12,NA,NA,NA,0,0,18,1,0,1,2,4,1,2,1,0,1,1,1,1,1,1,0,4,4,3,1,1,3,8
NA,NA,NA,14,17,17,0,0,18,1,0,1,3,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
13,13,14,14,16,17,0,0,18,1,0,1,3,2,1,3,0,0,0,0,0,1,1,1,1,5,4,3,2,3,1,7
