"","age","gender","race","gayFavorFederalMarriage","gayFavorStateMarriage","gayKnowSomeone"
"128",83,"Female","White","Yes",NA,NA
"129",41,"Female","White","Yes","No","No"
"130",55,"Female","White","Yes",NA,NA
"131",48,"Male","White","No",NA,NA
"132",58,"Male","White","Yes",NA,NA
"133",39,"Male","White","Yes",NA,NA
"134",18,"Male","Hispanic","No","Yes","Yes"
"135",41,"Female","White","Yes",NA,NA
"136",44,"Male","White","Yes",NA,NA
"137",39,"Male","White","Yes",NA,NA
"138",49,"Male","White","Yes",NA,NA
"139",42,"Female","Hispanic","No","Yes","Yes"
"140",29,"Female","Hispanic","Yes","No","No"
"141",53,"Male","White","No",NA,NA
"142",76,"Female","White","Yes",NA,NA
"143",19,"Female","Other","No","Yes","Yes"
"144",75,"Female","White","No",NA,NA
"145",86,"Female","White","No","No","No"
"146",31,"Female","Black","No","Yes","No"
"147",71,"Male","White","Yes",NA,NA
"148",38,"Male","White","Yes",NA,NA
"149",50,"Female","White","Yes","Yes","Yes"
"150",53,"Male","White","No","Yes","Yes"
"151",75,"Female","Other","No",NA,NA
"152",39,"Female","White","No",NA,NA
"153",74,"Female","White","No",NA,NA
"154",50,"Female","White","Yes",NA,NA
"155",53,"Female","White","No",NA,NA
"156",55,"Male","White","No",NA,NA
"157",47,"Female","White","No","Yes","Yes"
"158",42,"Male","White","Yes",NA,NA
"159",31,"Female","White","No","No","No"
"160",36,"Male","White","No","Yes","Yes"
"161",29,"Male","White","Yes",NA,NA
"162",38,"Female","White","No","Yes","Yes"
"163",78,"Male","White","Yes",NA,NA
"164",22,"Female","White","No",NA,NA
"165",55,"Female","White","No",NA,NA
"166",33,"Male","Other","Yes","No","No"
"167",45,"Male","Hispanic","No","No","No"
"168",31,"Female","White","Yes",NA,NA
"169",30,"Male","Hispanic","No","Yes","Yes"
"170",43,"Male","Hispanic","No","No","No"
"171",60,"Female","White","No",NA,NA
"172",35,"Female","White","Yes","No","No"
"173",40,"Female","Other","Yes","No","No"
"174",34,"Female","White","No",NA,NA
"175",46,"Female","White","No","Yes","Yes"
"176",33,"Male","White","No",NA,NA
"177",35,"Female","White","Yes",NA,NA
"178",67,"Male","White","Yes",NA,NA
"179",37,"Female","White","No",NA,NA
"180",58,"Male","White","No",NA,NA
"181",44,"Female","White","No",NA,NA
"182",28,"Female","Black","No",NA,NA
"183",72,"Female","White","Yes","No","No"
"184",49,"Male","White","No",NA,NA
"185",51,"Male","White","No",NA,NA
"186",70,"Female","Black","No",NA,NA
"187",37,"Male","White","No","No","Yes"
"188",71,"Female","White","No",NA,NA
"189",40,"Male","Black","No",NA,NA
"190",60,"Female","White","No",NA,NA
"191",33,"Female","Black","Yes",NA,NA
"192",28,"Female","Hispanic","No",NA,NA
"193",27,"Female","White","No",NA,NA
"194",NA,"Male","White","Yes",NA,NA
"195",47,"Female","Black","No","Yes","No"
"196",28,"Male","White","Yes",NA,NA
"197",76,"Female","White","No",NA,NA
"198",40,"Female","Black","No",NA,NA
"199",65,"Female","White","No","Yes","Yes"
"200",80,"Female","White","No","Yes","No"
"201",33,"Male","White","Yes",NA,NA
"202",18,"Male","Black","Yes",NA,NA
"203",37,"Female","White","Yes",NA,NA
"204",80,"Female","White","No",NA,NA
"205",59,"Female","White","Yes","No","No"
"206",40,"Male","White","Yes",NA,NA
"207",72,"Male","White","No",NA,NA
"208",48,"Female","White","No",NA,NA
"209",76,"Female","White","Yes",NA,NA
"210",46,"Female","Hispanic","No",NA,NA
"211",36,"Male","Other","Yes","No","Yes"
"212",39,"Female","Hispanic","Yes",NA,NA
"213",25,"Female","White","Yes",NA,NA
"214",25,"Male","White","Yes",NA,NA
"215",80,"Female","White","No","No","No"
"216",43,"Female","White","No",NA,NA
"217",40,"Female","White","Yes",NA,NA
"218",32,"Female","White","No",NA,NA
"219",43,"Male","White","Yes",NA,NA
"220",40,"Male","White","No",NA,NA
"221",50,"Male","Other","Yes",NA,NA
"222",34,"Female","White","Yes","No","Yes"
"223",80,"Female","White","Yes",NA,NA
"224",43,"Female","White","No","Yes","Yes"
"225",53,"Male","White","No",NA,NA
"226",38,"Male","White","No",NA,NA
"227",56,"Female","White","Yes",NA,NA
"228",30,"Male","White","Yes",NA,NA
"229",56,"Male","White","Yes",NA,NA
"230",51,"Male","Other","No",NA,NA
"231",20,"Male","Other","No","Yes","No"
"232",31,"Female","White","Yes",NA,NA
"233",28,"Female","Black","Yes","No","No"
"234",66,"Female","White","Yes","No","No"
"235",27,"Female","White","No","Yes","Yes"
"236",30,"Male","White","Yes",NA,NA
"237",41,"Male","White","No","Yes","No"
"238",61,"Male","White","No","No","Yes"
"239",31,"Male","White","No",NA,NA
"240",27,"Female","Hispanic","No",NA,NA
"241",48,"Male","White","No",NA,NA
"242",27,"Male","Hispanic","No",NA,NA
"243",53,"Male","White","Yes",NA,NA
"244",36,"Female",NA,"No",NA,NA
"245",57,"Male",NA,"No","No","Yes"
"246",27,"Female","Other","No","Yes","Yes"
"247",57,"Male","White","No",NA,NA
"248",56,"Male","White","No",NA,NA
"249",67,"Female","White","No",NA,NA
"250",55,"Male","White","Yes",NA,NA
"251",80,"Female","White","No",NA,NA
"252",60,"Male","White","Yes","No","Yes"
"253",40,"Female","White","Yes",NA,NA
"254",56,"Male","White","Yes",NA,NA
"255",44,"Male","White","Yes",NA,NA
"256",25,"Male","White","No",NA,NA
"257",52,"Male","White","Yes","No","No"
"258",34,"Male","Other","No",NA,NA
"259",65,"Female","White","Yes",NA,NA
"260",46,"Female","White","Yes","No","No"
"261",30,"Male","Hispanic","No",NA,NA
"262",38,"Male","White","Yes",NA,NA
"263",57,"Female","White","Yes","Yes","No"
"264",41,"Male","White","Yes","No","No"
"265",70,"Female","White","Yes",NA,NA
"266",35,"Male","White","No",NA,NA
"267",25,"Female","White","Yes",NA,NA
"268",34,"Male","White","No",NA,NA
"269",54,"Female","White","Yes",NA,NA
"270",23,"Male","Other","No",NA,NA
"271",60,"Male","White","No","No","No"
"272",46,"Male","White","No",NA,NA
"273",28,"Male","White","Yes",NA,NA
"274",43,"Female","Other","No","No","Yes"
"275",73,"Female","Hispanic","No","No","No"
"276",34,"Male","White","No","Yes","Yes"
"277",77,"Male","White","No","No","No"
"278",37,"Male","White","No",NA,NA
"279",48,"Female","Other","No",NA,NA
"280",NA,"Female","Other","No",NA,NA
"281",NA,"Female","White","Yes",NA,NA
"282",33,"Male","White","No",NA,NA
"283",73,"Male","White","No",NA,NA
"284",78,"Female","White","Yes",NA,NA
"285",23,"Female","White","No",NA,NA
"286",48,"Female","Black","No","Yes","No"
"287",24,"Male","White","No","Yes","Yes"
"288",53,"Female","White","Yes",NA,NA
"289",66,"Male","White","No","No","No"
"290",69,"Female","White","Yes",NA,NA
"291",29,"Male","White","Yes",NA,NA
"292",63,"Female","White","Yes",NA,NA
"293",72,"Female","Black","No",NA,NA
"294",52,"Female","White","No",NA,NA
"295",48,"Female","White","Yes","No","No"
"296",32,"Female","White","No",NA,NA
"297",56,"Female","White","No",NA,NA
"298",81,"Male","White","Yes","No","No"
"299",27,"Female","White","No",NA,NA
"300",45,"Female","White","No",NA,NA
"301",49,"Female","White","No",NA,NA
"302",43,"Male","White","No",NA,NA
"303",38,"Female","White","No",NA,NA
"304",67,"Male","White","No",NA,NA
"305",53,"Female","White","No",NA,NA
"306",76,"Female","White","No",NA,NA
"307",39,"Male","White","Yes",NA,NA
"308",63,"Female","White","No",NA,NA
"309",39,"Male","White","Yes","No","Yes"
"310",76,"Male","White","Yes",NA,NA
"311",50,"Male","White","Yes",NA,NA
"312",44,"Female","White","No",NA,NA
"313",54,"Female","White","Yes",NA,NA
"314",54,"Female","White","No","No","Yes"
"315",81,"Male","White","No",NA,NA
"316",32,"Male","White","No","No","No"
"317",40,"Male","White","Yes",NA,NA
"318",32,"Male","White","No",NA,NA
"319",41,"Female","White","No","No","Yes"
"320",53,"Female","Hispanic","No",NA,NA
"321",32,"Male","Hispanic","No",NA,NA
"322",51,"Female","White","No","No","Yes"
"323",18,"Female","White","Yes",NA,NA
"324",47,"Male","White","Yes",NA,NA
"325",39,"Female","White","Yes",NA,NA
"326",38,"Female","Black","No",NA,NA
"327",73,"Female","White","No","Yes","Yes"
"328",45,"Male","White","Yes",NA,NA
"329",42,"Male","White","Yes",NA,NA
"330",32,"Female","White","No","Yes","Yes"
"331",43,"Male","White","No","No","Yes"
"332",83,"Male","White","Yes",NA,NA
"333",60,"Female","White","No",NA,NA
"334",69,"Male","White","No",NA,NA
"335",82,"Male","White","No",NA,NA
"336",42,"Female","White","No",NA,NA
"337",35,"Male","White","No",NA,NA
"338",80,"Male","White","Yes",NA,NA
"339",43,"Male","Black","Yes",NA,NA
"340",40,"Male","White","No",NA,NA
"341",25,"Female","White","Yes","Yes","No"
"342",57,"Male","White","No",NA,NA
"343",72,"Male","White","No","No","No"
"344",39,"Female","White","No",NA,NA
"345",36,"Male","Other","Yes",NA,NA
"346",18,"Male","Hispanic","No",NA,NA
"347",47,"Male","White","Yes",NA,NA
"348",86,"Female","White","No",NA,NA
"349",25,"Female","White","No","Yes","Yes"
"350",57,"Female","White","Yes",NA,NA
"351",40,"Female","Black","No",NA,NA
"352",53,"Female","Hispanic","No",NA,NA
"353",38,"Female","White","No","Yes","Yes"
"354",79,"Male","White","Yes","No","No"
"355",48,"Male","White","No",NA,NA
"356",74,"Female","White","Yes","No","No"
"357",70,"Female","White","No",NA,NA
"358",26,"Male","White","No","Yes","Yes"
"359",30,"Male","Hispanic","No",NA,NA
"360",70,"Female","White","Yes","No","No"
"361",58,"Male","White","No",NA,NA
"362",32,"Male","Black","No","No","No"
"363",55,"Female","White","No",NA,NA
"364",22,"Male","White","No",NA,NA
"365",44,"Male","White","Yes",NA,NA
"366",42,"Female","White","Yes","No","Yes"
"367",22,"Male",NA,"Yes",NA,NA
"368",56,"Male","Other","No",NA,NA
"369",40,"Female","White","No","No","No"
"370",32,"Male","White","No",NA,NA
"371",34,"Male","White","Yes",NA,NA
"372",45,"Male","White","Yes",NA,NA
"373",45,"Male","White","No","Yes","Yes"
"374",20,"Female","White","No",NA,NA
"375",60,"Female","Hispanic","No",NA,NA
"376",49,"Female","Hispanic","No","No","Yes"
"377",49,"Male","Hispanic","No",NA,NA
"378",37,"Female","White","No",NA,NA
"379",NA,"Male",NA,"No","Yes","No"
"380",53,"Male","White","No","Yes","No"
"381",61,"Male","White","No","No","Yes"
"382",40,"Female","Hispanic","Yes","Yes","No"
"383",25,"Male","Hispanic","Yes",NA,NA
"384",30,"Female","White","No",NA,NA
"385",71,"Female","White","No",NA,NA
"386",75,"Female","White","No","Yes","No"
"387",54,"Female","White","No",NA,NA
"388",32,"Female","White","Yes",NA,NA
"389",46,"Female","White","No","Yes","Yes"
"390",31,"Female","White","No",NA,NA
"391",62,"Female","White","No","No","Yes"
"392",74,"Female","White","No",NA,NA
"393",36,"Male","Hispanic","No","No","No"
"394",61,"Female","White","No",NA,NA
"395",60,"Male","White","Yes",NA,NA
"396",32,"Female","White","Yes",NA,NA
"397",48,"Female","White","Yes","No","Yes"
"398",37,"Male","Hispanic","Yes",NA,NA
"399",63,"Female","White","No",NA,NA
"400",46,"Male","White","No",NA,NA
"401",68,"Female","White","Yes",NA,NA
"402",47,"Male","Hispanic","No",NA,NA
"403",90,"Female","White","No","No","No"
"404",37,"Female","White","Yes",NA,NA
"405",51,"Female","White","No",NA,NA
"406",42,"Female","White","Yes",NA,NA
"407",48,"Female","White","Yes",NA,NA
"408",65,"Female","White","No","No","No"
"409",80,"Female","White","No","No","No"
"410",NA,"Female",NA,"No",NA,NA
"411",37,"Female","White","Yes",NA,NA
"412",NA,"Male","White","Yes",NA,NA
"413",50,"Female","White","No",NA,NA
"414",40,"Female","Other","No",NA,NA
"415",42,"Female","White","No","No","Yes"
"416",43,"Female","Black","No",NA,NA
"417",70,"Male","White","Yes",NA,NA
"418",48,"Female","White","No",NA,NA
"419",28,"Male","White","No",NA,NA
"420",40,"Female","White","Yes",NA,NA
"421",55,"Female","White","Yes",NA,NA
"422",34,"Male","White","No",NA,NA
"423",26,"Female","White","Yes","No","No"
"424",48,"Female","White","Yes","No","No"
"425",53,"Female","White","No","No","No"
"426",52,"Male","White","No",NA,NA
"427",42,"Male","White","No",NA,NA
"428",53,"Female","White","Yes",NA,NA
"429",57,"Male","Other","Yes","Yes","Yes"
"430",69,"Female","White","No",NA,NA
"431",65,"Female","White","No","Yes","Yes"
"432",71,"Male","White","Yes",NA,NA
"433",41,"Female","White","Yes",NA,NA
"434",57,"Male","White","No",NA,NA
"435",31,"Female","White","Yes","No","No"
"436",65,"Female","White","No",NA,NA
"437",74,"Female","White","Yes","No","No"
"438",35,"Male","White","Yes",NA,NA
"439",47,"Female","White","No",NA,NA
"440",59,"Male","White","Yes",NA,NA
"441",28,"Male","White","No","Yes","Yes"
"442",32,"Female","White","No",NA,NA
"443",57,"Female","White","No",NA,NA
"444",32,"Female","Hispanic","Yes","No","No"
"445",37,"Female","Hispanic","No",NA,NA
"446",51,"Male","Hispanic","No",NA,NA
"447",72,"Female","White","Yes",NA,NA
"448",40,"Male","Hispanic","Yes",NA,NA
"449",37,"Female","Hispanic","No",NA,NA
"450",90,"Female","White","Yes","No","No"
"451",21,"Female","White","No",NA,NA
"452",69,"Male","White","Yes",NA,NA
"453",46,"Male","White","Yes","No","No"
"454",43,"Male","White","No",NA,NA
"455",56,"Female","White","Yes",NA,NA
"456",50,"Female","White","No",NA,NA
"457",47,"Female","White","Yes",NA,NA
"458",57,"Female","White","Yes","No","Yes"
"459",74,"Male","White","Yes","No","No"
"460",70,"Female","White","No",NA,NA
"461",46,"Female","White","Yes",NA,NA
"462",34,"Female","White","No","No","Yes"
"463",36,"Male","Black","No",NA,NA
"464",45,"Male","White","No",NA,NA
"465",44,"Male","White","No",NA,NA
"466",27,"Female","White","Yes",NA,NA
"467",34,"Male","Black","No",NA,NA
"468",55,"Female","White","No",NA,NA
"469",49,"Male","White","Yes",NA,NA
"470",52,"Female","White","Yes",NA,NA
"471",43,"Male","Hispanic","No","No","No"
"472",24,"Female","White","No",NA,NA
"473",49,"Female","White","No",NA,NA
"474",28,"Male","White","Yes",NA,NA
"475",62,"Male","White","No",NA,NA
"476",43,"Female","White","No",NA,NA
"477",40,"Female","White","No","No","Yes"
"478",46,"Female","White","Yes","Yes","Yes"
"479",46,"Male","Other","No",NA,NA
"480",38,"Male","Black","No","No","No"
"481",34,"Female","White","No",NA,NA
"482",21,"Male","White","No",NA,NA
"483",24,"Male","White","No",NA,NA
"484",51,"Female","White","Yes",NA,NA
"485",59,"Female","White","Yes",NA,NA
"486",18,"Female","Hispanic","No",NA,NA
"487",41,"Male","Other","No",NA,NA
"488",20,"Female","White","Yes",NA,NA
"489",77,"Male","White","No",NA,NA
"490",44,"Female","White","No",NA,NA
"491",37,"Female","White","Yes","No","Yes"
"492",43,"Male","White","No","No","Yes"
"493",45,"Female","White","Yes",NA,NA
"494",23,"Female","White","Yes",NA,NA
"495",56,"Female","Other","Yes",NA,NA
"496",65,"Female","White","No",NA,NA
"497",61,"Male","White","Yes","No","No"
"498",27,"Male","White","Yes",NA,NA
"499",88,"Male","White","No","No","No"
"500",35,"Female","White","No",NA,NA
"501",27,"Female","White","Yes",NA,NA
"502",41,"Female","White","No",NA,NA
"503",39,"Male","White","No",NA,NA
"504",45,"Female","White","No","Yes","Yes"
"505",28,"Male","White","No","Yes","Yes"
"506",47,"Female","Black","No","No","No"
"507",50,"Male","White","Yes",NA,NA
"508",54,"Male","White","Yes",NA,NA
"509",67,"Male","White","Yes",NA,NA
"510",48,"Female",NA,"No",NA,NA
"511",26,"Female","Black","No",NA,NA
"512",63,"Female","White","Yes",NA,NA
"513",55,"Female","White","No",NA,NA
"514",60,"Female","White","No",NA,NA
"515",45,"Female","White","No","Yes","Yes"
"516",62,"Male","White","Yes","No","Yes"
"517",33,"Female","White","Yes","No","No"
"518",35,"Female","White","No",NA,NA
"519",63,"Male","White","Yes",NA,NA
"520",40,"Female","White","Yes","No","Yes"
"521",18,"Male","Hispanic","No",NA,NA
"522",22,"Female","Hispanic","Yes",NA,NA
"523",50,"Female","Black","No",NA,NA
"524",57,"Male","White","Yes","No","Yes"
"525",65,"Male","White","No",NA,NA
"526",61,"Male","White","No","No","No"
"527",57,"Male","White","No",NA,NA
"528",29,"Female","White","Yes","No","No"
"529",60,"Male","White","No",NA,NA
"530",30,"Male","Hispanic","No",NA,NA
"531",28,"Female","White","No",NA,NA
"532",23,"Female","Hispanic","No",NA,NA
"533",37,"Female","Other","No",NA,NA
"534",55,"Female","White","Yes",NA,NA
"535",29,"Female","White","No",NA,NA
"536",40,"Male","White","Yes",NA,NA
"537",43,"Female","White","No",NA,NA
"538",34,"Male","White","Yes",NA,NA
"539",43,"Male","Black","Yes","No","No"
"540",55,"Male","White","No","Yes","Yes"
"541",19,"Female","White","No",NA,NA
"542",36,"Female","Black","Yes",NA,NA
"543",61,"Female","White","Yes",NA,NA
"544",36,"Female","White","No",NA,NA
"545",28,"Male","Other","No",NA,NA
"546",27,"Female","White","Yes",NA,NA
"547",50,"Male","White","Yes",NA,NA
"548",40,"Female","White","Yes","No","Yes"
"549",45,"Female","White","Yes",NA,NA
"550",84,"Female","White","No",NA,NA
"551",62,"Male","White","Yes",NA,NA
"552",74,"Female","White","No",NA,NA
"553",42,"Female","White","No",NA,NA
"554",53,"Male","White","Yes",NA,NA
"555",48,"Female","White","Yes","No","Yes"
"556",35,"Female","White","Yes",NA,NA
"557",67,"Female","Hispanic","Yes","Yes","No"
"558",49,"Male","White","No",NA,NA
"559",40,"Male","Black","No","No","No"
"560",33,"Female","White","No",NA,NA
"561",NA,"Female",NA,"No",NA,NA
"562",45,"Male","White","Yes","No","Yes"
"563",54,"Female","White","Yes",NA,NA
"564",65,"Female","White","Yes",NA,NA
"565",60,"Female","White","No",NA,NA
"566",38,"Male","White","No",NA,NA
"567",50,"Female","White","Yes",NA,NA
"568",59,"Female","White","Yes",NA,NA
"569",64,"Male","White","No",NA,NA
"570",41,"Male","White","No",NA,NA
"571",72,"Male","Other","Yes",NA,NA
"572",52,"Female","White","Yes",NA,NA
"573",44,"Female","White","No",NA,NA
"574",38,"Male","Other","No","No","No"
"575",27,"Male","White","Yes","No","No"
"576",27,"Female","White","Yes","Yes","No"
"577",54,"Female","White","No",NA,NA
"578",43,"Female","White","No",NA,NA
"579",32,"Male","White","No",NA,NA
"580",42,"Male","White","Yes",NA,NA
"581",31,"Male","White","Yes",NA,NA
"582",40,"Female","White","No","Yes","Yes"
"583",49,"Female","White","No",NA,NA
"584",40,"Male","Hispanic","No",NA,NA
"585",30,"Female","White","No",NA,NA
"586",40,"Female","White","No",NA,NA
"587",65,"Female","Black","No","No","Yes"
"588",36,"Male","White","No",NA,NA
"589",79,"Male","Other","No",NA,NA
"590",55,"Female","White","Yes",NA,NA
"591",32,"Male","Other","Yes",NA,NA
"592",25,"Female","White","Yes",NA,NA
"593",51,"Female","Hispanic","Yes",NA,NA
"594",43,"Male","White","No",NA,NA
"595",71,"Male","White","No","No","Yes"
"596",35,"Female","Other","No",NA,NA
"597",32,"Female","White","No",NA,NA
"598",23,"Female","White","No",NA,NA
"599",22,"Male","White","No",NA,NA
"600",41,"Male","White","No",NA,NA
"601",55,"Male","White","No",NA,NA
"602",57,"Male","White","No",NA,NA
"603",56,"Female","White","No","Yes","Yes"
"604",46,"Male","White","No","No","No"
"605",58,"Male","White","No",NA,NA
"606",49,"Female","White","No",NA,NA
"607",73,"Male","White","No",NA,NA
"608",49,"Male","White","Yes","No","No"
"609",55,"Female","Other","Yes",NA,NA
"610",19,"Female","White","No","No","Yes"
"611",63,"Male","White","Yes",NA,NA
"612",30,"Female","White","No","Yes","Yes"
"613",50,"Male","White","Yes",NA,NA
"614",41,"Female","White","No",NA,NA
"615",52,"Male","White","No",NA,NA
"616",81,"Male","White","Yes",NA,NA
"617",21,"Male","Hispanic","No",NA,NA
"618",27,"Female","White","No",NA,NA
"619",60,"Male","White","No","Yes","No"
"620",37,"Male","White","Yes",NA,NA
"621",21,"Female","White","No","Yes","No"
"622",50,"Female","White","No",NA,NA
"623",68,"Female","White","No","Yes","No"
"624",67,"Female","White","Yes",NA,NA
"625",52,"Male","Other","No",NA,NA
"626",50,"Male","White","No","No","No"
"627",87,"Female","White","Yes",NA,NA
"628",55,"Female","White","Yes","No","No"
"629",43,"Male","Other","No",NA,NA
"630",37,"Male","White","Yes","No","Yes"
"631",26,"Male","White","No",NA,NA
"632",47,"Female","White","Yes",NA,NA
"633",34,"Female","White","No","Yes","Yes"
"634",42,"Female","White","Yes",NA,NA
"635",48,"Male","Black","No",NA,NA
"636",68,"Female","White","No","No","No"
"637",38,"Female","White","No",NA,NA
"638",76,"Female","White","No",NA,NA
"639",28,"Female","Hispanic","No","Yes","Yes"
"640",50,"Female","White","Yes","No","Yes"
"641",20,"Male","Black","No","Yes","Yes"
"642",33,"Male","Hispanic","Yes",NA,NA
"643",32,"Male","White","No",NA,NA
"644",43,"Female","Black","Yes","No","No"
"645",59,"Male","White","No",NA,NA
"646",43,"Male","White","No",NA,NA
"647",50,"Male","Hispanic","Yes",NA,NA
"648",40,"Female","White","No",NA,NA
"649",45,"Female","White","No",NA,NA
"650",30,"Male","White","No",NA,NA
"651",43,"Male","White","No","Yes","Yes"
"652",43,"Male","White","No",NA,NA
"653",58,"Female","White","No",NA,NA
"654",39,"Female","Black","No",NA,NA
"655",52,"Male","White","Yes",NA,NA
"656",22,"Male","Hispanic","Yes",NA,NA
"657",80,"Female","White","No",NA,NA
"658",71,"Female","White","No",NA,NA
"659",57,"Male","White","Yes",NA,NA
"660",18,"Male","White","Yes",NA,NA
"661",28,"Male","Black","No",NA,NA
"662",43,"Female","White","Yes",NA,NA
"663",51,"Female","Hispanic","No",NA,NA
"664",52,"Male","Other","No",NA,NA
"665",37,"Female","Other","Yes",NA,NA
"666",51,"Female","Other","Yes",NA,NA
"667",55,"Female","White","Yes",NA,NA
"668",50,"Male","White","No",NA,NA
"669",75,"Female","Other","Yes",NA,NA
"670",59,"Female","White","No",NA,NA
"671",47,"Female","White","Yes","No","No"
"672",64,"Female","White","No",NA,NA
"673",40,"Male","White","No",NA,NA
"674",52,"Male",NA,"No",NA,NA
"675",49,"Female","Other","Yes",NA,NA
"676",24,"Male","White","No",NA,NA
"677",64,"Female","White","No","No","No"
"678",51,"Female","White","No",NA,NA
