HEALTH CARE ACTIVITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctors' consultations, Number per capita",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,,1998,1999,2000,2001,2002,2003,,2004,2005,2006,2007
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,10.4,10.6,11.5,,10.6,10.9,11.1,11.3,11.9,12.2,,12.6,12.9,12.9,10.8
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.1,5.2,4.9,4.9,4.9,5.1,5.2,5.2,,5.1,5.6,5.8,5.9,6.1,6.2,,6.3,6.5,6.3,6.5
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,6.6,,,,,,6.0,6.1,,,,,,7.0,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,13.6,13.8,13.9,13.8,13.8,14.2,14.5,14.4,14.7,14.6,14.8,14.3,,14.5,14.5,14.4,14.5,14.1,13.8,,13.8,13.7,13.6,
Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,10.6,,,,11.8,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,6.1,,6.3,6.2,6.1,6.2,6.2,6.3,,6.1,6.1,6.0,6.1
Mexico,,,,,,,,,,,,,,,,,,,,,1.3,1.3,1.5,1.6,1.7,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.8,1.9,2.0,2.1,2.2,2.3,,2.3,2.5,2.5,2.5,2.6,2.5,,2.5,,,
Netherlands,,,,,,,4.2,4.2,4.2,,,,,,,,,,,,4.9,5.3,5.0,5.2,5.1,5.2,5.1,5.5,5.2,5.5,5.5,5.4,5.9,5.7,5.7,5.7,5.4,5.9,,5.6,5.8,5.9,5.8,5.6,5.5,,5.3,5.4,5.6,5.7
New Zealand,,,,,,,,,,,,,,,,,,3.7,3.7,3.8,3.7,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,3.3,,,,,3.7,4.0,4.1,4.1,4.5,4.9,5.4,5.7,6.0,6.1,6.2,6.1,6.3,6.4,6.2,6.5,5.9,6.0,6.1,6.3,6.4,6.4,6.3,6.2,6.0,5.8,5.8,5.4,5.3,5.4,5.4,5.2,5.3,,5.4,5.3,5.4,5.5,5.6,6.1,b,6.2,6.3,6.6,6.8
Portugal,1.0,1.1,1.1,1.2,1.4,1.4,1.5,1.6,1.7,1.6,2.0,2.6,2.5,2.9,2.9,3.1,3.3,3.3,3.5,3.5,3.7,3.6,3.3,3.0,3.0,2.8,2.4,2.4,2.7,2.8,3.0,3.1,3.1,3.1,3.2,3.2,3.2,3.4,,3.4,3.5,3.5,3.6,3.7,3.7,,3.8,3.9,3.9,4.1
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,12.0,,15.0,15.0,15.0,13.0,13.0,12.4,,11.9,11.3,,11.2
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,8.3,,7.8,,8.2,,,,,8.7,,9.5,,,,8.1,
Sweden,,,,,,,,,,,,1.9,1.9,1.9,2.5,2.6,2.5,2.5,2.5,2.6,2.6,2.6,2.7,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.8,2.7,2.9,2.9,3.0,3.0,2.9,2.8,,2.9,2.9,2.8,2.9,3.0,2.8,,2.8,2.8,2.8,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,4.0
Turkey,,,,,,,,,,,,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,,,,,,,,,,,1.5,1.6,1.7,1.8,2.0,,2.1,2.1,2.5,2.6,2.6,2.8,,3.1,4.1,4.6,5.6
United Kingdom,,,,,,,,,,,,,5.0,4.5,4.6,4.5,4.3,4.7,5.0,5.0,5.2,4.8,5.3,5.6,5.1,5.1,6.1,6.6,5.1,5.6,6.1,5.6,6.1,6.6,6.1,6.1,6.1,,,5.4,,5.3,5.1,5.7,5.2,,5.3,5.0,5.1,5.0
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,3.7,,3.8,3.5,3.7,4.1,4.1,3.9,,3.8,4.0,3.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b : Breakÿinÿseries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD Health Data 2009 - Version: November 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
