"eval","beauty","female","age","minority","nonenglish","lower","course_id"
4.6,0.1233448,0,52,1,1,0,18
4.6,0.1233448,0,52,1,1,0,17
3.7,0.1233448,0,52,1,1,0,14
3.5,0.1233448,0,52,1,1,0,14
3.6,0.1233448,0,52,1,1,0,18
3.9,0.1233448,0,52,1,1,0,0
4.2,-0.8059942,0,73,0,0,0,13
3.2,-0.8059942,0,73,0,0,0,0
4.9,-0.8059942,0,73,0,0,0,17
4,-0.8210418,0,70,0,0,0,19
3.5,-0.8210418,0,70,0,0,0,19
3.4,-0.8210418,0,70,0,0,0,19
4.2,-0.0985568,0,63,0,0,0,0
3.5,-0.0985568,0,63,0,0,0,5
4.4,-0.0985568,0,63,0,0,0,0
3.7,-0.0985568,0,63,0,0,0,0
3.4,-0.0985568,0,63,0,0,0,0
3,-0.0985568,0,63,0,0,0,0
3.9,-1.012306,0,47,0,0,0,0
2.8,-1.012306,0,47,0,0,0,15
3.7,0.4883314,0,39,0,0,1,0
4.6,0.4883314,0,39,0,0,0,0
4.2,0.4883314,0,39,0,0,0,0
4.4,0.4883314,0,39,0,0,0,5
3.8,-0.1719505,1,47,1,0,0,0
4.1,-0.1719505,1,47,1,0,1,20
3.7,-0.1719505,1,47,1,0,1,21
4.1,-0.1719505,1,47,1,0,0,0
3,-0.1719505,1,47,1,0,1,21
3.2,-0.1719505,1,47,1,0,1,21
2.8,-0.1719505,1,47,1,0,1,21
4.7,-0.1719505,1,47,1,0,1,20
4.2,-0.1719505,1,47,1,0,1,21
3.2,-0.1719505,1,47,1,0,1,21
3.1,-0.1719505,1,47,1,0,1,21
4,-0.1719505,1,47,1,0,1,21
4.2,-1.167907,0,54,0,0,0,18
4.3,-1.167907,0,54,0,0,0,16
3.3,0.9525534,1,44,1,0,0,19
4.1,0.9525534,1,44,1,0,0,0
3.7,0.9525534,1,44,1,0,0,0
3.3,-1.140457,0,47,1,0,0,17
3.8,-1.140457,0,47,1,0,0,16
3.4,-1.140457,0,47,1,0,0,0
4.2,-1.140457,0,47,1,0,0,0
3.8,-1.140457,0,47,1,0,0,0
3.5,-1.140457,0,47,1,0,0,5
3.3,-1.140457,0,47,1,0,0,0
4.3,-0.8161172,0,62,0,0,0,17
4.1,-0.8161172,0,62,0,0,0,0
4.5,-0.4837456,0,60,0,0,0,17
4.5,-0.4837456,0,60,0,0,0,17
4.6,-0.4837456,0,60,0,0,0,18
4.4,-0.4837456,0,60,0,0,0,12
4.1,-0.4837456,0,60,0,0,0,12
4.5,-0.4837456,0,60,0,0,0,0
4.3,-0.4837456,0,60,0,0,1,0
4.4,-0.3261277,0,42,0,0,0,0
4.9,-0.3261277,0,42,0,0,0,0
4.7,-0.3261277,0,42,0,0,0,0
4.6,-0.3261277,0,42,0,0,0,0
4.8,0.1865589,0,35,0,0,1,0
4.2,0.1865589,0,35,0,0,0,22
4.6,0.1865589,0,35,0,0,1,0
4.7,1.881674,1,39,0,0,0,0
4.6,1.881674,1,39,0,0,0,0
3.6,1.881674,1,39,0,0,1,21
3.9,0.9626006,0,49,0,0,0,22
4,0.9626006,0,49,0,0,0,22
4.4,0.1534694,0,61,0,0,0,0
4.5,0.1534694,0,61,0,0,1,21
4.4,0.1534694,0,61,0,0,0,0
3,1.261046,0,33,0,0,0,22
3.7,1.261046,0,33,0,0,0,22
3.6,-0.3460746,1,56,0,0,0,22
3.1,-0.3460746,1,56,0,0,0,22
3.8,-0.744618,1,50,0,0,1,20
4.7,-0.744618,1,50,0,0,1,20
3.8,-0.744618,1,50,0,0,0,0
3.8,-0.744618,1,50,0,0,0,0
2.8,-0.744618,1,50,0,0,0,0
4,-0.744618,1,50,0,0,0,0
4,-0.7447439,0,52,0,0,0,0
3.5,-0.7447439,0,52,0,0,0,0
3.4,-0.7447439,0,52,0,0,0,0
4,-0.7447439,0,52,0,0,0,0
3.5,-0.7447439,0,52,0,0,0,0
3.8,-0.7447439,0,52,0,0,0,0
4.7,-0.7447439,0,52,0,0,0,23
3.9,-0.7447439,0,52,0,0,0,0
4.5,-0.7447439,0,52,0,0,0,23
4.2,-0.7447439,0,52,0,0,0,23
4.7,-0.7447439,0,52,0,0,0,23
4,-0.7447439,0,52,0,0,0,0
4.8,0.6361284,1,33,0,0,0,0
4.8,0.6361284,1,33,0,0,0,0
4.4,0.6361284,1,33,0,0,0,0
4.7,0.6361284,1,33,0,0,0,0
4.5,0.6361284,1,33,0,0,0,0
4.2,0.5434852,0,57,0,0,0,1
4.4,0.5434852,0,57,0,0,0,0
4.1,0.5434852,0,57,0,0,0,0
4.2,0.9825948,1,38,0,0,1,0
4.8,0.9825948,1,38,0,0,0,1
4.4,0.9825948,1,38,0,0,0,1
4.7,0.9825948,1,38,0,0,0,1
4.2,0.9825948,1,38,0,0,1,0
4.5,0.9825948,1,38,0,0,0,0
3.4,-1.538843,1,34,0,0,1,0
3.7,-1.538843,1,34,0,0,1,0
3.6,-1.538843,1,34,0,0,0,0
3.9,-1.538843,1,34,0,0,0,0
3.9,-1.538843,1,34,0,0,0,0
3.7,1.067531,0,34,0,0,0,11
3,1.067531,0,34,0,0,1,0
3.6,-0.4143639,0,32,0,0,1,0
3.6,-0.4143639,0,32,0,0,1,0
4.3,-0.4143639,0,32,0,0,0,11
4.5,-0.4143639,0,32,0,0,0,0
3.9,0.7962944,1,42,0,0,0,0
4.6,-0.6466943,1,43,0,0,0,0
4.1,-0.6466943,1,43,0,0,1,0
4.2,-0.6466943,1,43,0,0,1,0
4.1,-0.6466943,1,43,0,0,1,0
3.1,-0.6466943,1,43,0,0,1,0
3.6,-0.6466943,1,43,0,0,1,0
4.2,-0.6466943,1,43,0,0,0,0
3,-0.6466943,1,43,0,0,1,0
4.2,-0.6466943,1,43,0,0,0,0
3.4,-0.4299034,0,35,0,1,1,0
3.1,-0.5924066,1,62,0,0,0,0
2.7,-0.5924066,1,62,0,0,0,0
3.9,0.6851749,1,52,0,0,0,0
3.9,0.9755885,1,52,0,0,0,0
3.6,0.9755885,1,52,0,0,0,0
3.7,-1.178738,1,52,0,0,0,0
3.6,-1.178738,1,52,0,0,0,0
4.4,-1.178738,1,52,0,0,0,0
4.3,-1.178738,1,52,0,0,0,0
4.1,-1.178738,1,52,0,0,0,0
3.7,-1.178738,1,52,0,0,0,0
3.6,-1.157511,0,64,0,0,0,0
2.8,-1.157511,0,64,0,0,0,0
4,-1.157511,0,64,0,0,0,0
4.4,-1.157511,0,64,0,0,0,0
3.6,-1.157511,0,64,0,0,0,0
3.7,1.327346,0,50,0,0,0,0
2.9,-1.511268,0,60,0,0,0,0
2.6,-1.511268,0,60,0,0,0,0
4.8,-0.5783117,0,43,0,0,1,0
4.9,-0.5783117,0,43,0,0,1,0
4.3,-0.5783117,0,43,0,0,1,0
4.4,-0.5783117,0,43,0,0,1,0
4.3,-0.5783117,0,43,0,0,1,0
4.7,-0.5783117,0,43,0,0,1,0
4.3,-0.5783117,0,43,0,0,1,0
4.6,-0.5783117,0,43,0,0,1,0
4.9,-0.671936,0,50,1,0,1,0
4.8,-0.671936,0,50,1,0,1,0
4.7,-0.671936,0,50,1,0,1,0
4.8,-0.671936,0,50,1,0,1,0
4.9,-0.671936,0,50,1,0,1,0
4.8,-0.671936,0,50,1,0,1,0
4.8,-0.671936,0,50,1,0,1,0
5,-0.671936,0,50,1,0,1,0
4.5,-0.671936,0,50,1,0,1,0
3.8,0.6683338,0,52,0,0,0,0
3.8,0.6683338,0,52,0,0,0,0
3.8,0.6683338,0,52,0,0,0,0
4,0.6683338,0,52,0,0,0,0
4.2,0.6683338,0,52,0,0,0,0
4.5,0.7924695,0,51,0,0,1,0
4.5,0.7924695,0,51,0,0,1,0
4.6,0.7924695,0,51,0,0,1,0
4.7,0.7924695,0,51,0,0,1,0
4.1,-0.6548505,0,38,0,0,1,0
3.6,-0.6548505,0,38,0,0,1,0
4,-0.6548505,0,38,0,0,1,0
3.4,0.2510546,1,47,0,0,1,7
2.8,-0.2397178,1,43,1,0,1,0
4.1,-1.113346,1,38,0,0,1,7
3.5,-1.113346,1,38,0,0,1,7
3.4,-1.113346,1,38,0,0,1,7
4.1,-1.113346,1,38,0,0,1,0
4.2,-1.113346,1,38,0,0,1,0
4.3,-0.1135935,0,43,0,0,1,0
4.1,-0.1135935,0,43,0,0,0,13
3.4,-0.1135935,0,43,0,0,0,19
3.5,-0.8351366,0,57,0,0,0,0
3.6,-0.8351366,0,57,0,0,0,0
3.7,0.9005994,1,51,0,0,0,0
3,0.9005994,1,51,0,0,0,0
4.6,0.9005994,1,51,0,0,0,0
4,-0.620769,0,45,0,0,1,0
4.8,-0.620769,0,45,0,0,1,0
4.6,-0.620769,0,45,0,0,1,0
3.4,-0.8552412,0,57,0,0,1,29
4.4,-0.8552412,0,57,0,0,1,30
3.6,-0.8552412,0,57,0,0,1,0
3.8,-0.8552412,0,57,0,0,1,0
3.7,-0.8552412,0,57,0,0,1,0
4.7,-0.8552412,0,57,0,0,1,0
4.5,-0.8552412,0,57,0,0,1,0
5,-0.8552412,0,57,0,0,0,0
3.8,-0.8552412,0,57,0,0,1,0
4.1,-0.8552412,0,57,0,0,1,0
4.3,1.065906,1,47,0,0,1,0
4.4,1.065906,1,47,0,0,1,0
4.7,1.065906,1,47,0,0,1,0
3.9,1.065906,1,47,0,0,1,0
4.8,1.144253,1,54,1,0,1,30
4.3,1.144253,1,54,1,0,1,28
4.6,1.144253,1,54,1,0,1,28
3.8,1.144253,1,54,1,0,1,30
5,1.685985,0,58,0,0,1,28
4.9,1.685985,0,58,0,0,1,30
4.6,1.685985,0,58,0,0,1,29
4.6,1.685985,0,58,0,0,1,30
5,1.685985,0,58,0,0,1,30
4.6,1.685985,0,58,0,0,1,30
4.9,1.685985,0,58,0,0,1,0
4,1.684802,0,42,0,0,1,0
3.9,1.684802,0,42,0,0,0,0
4.1,0.6362435,0,33,0,0,1,0
2.9,-1.269975,0,62,0,0,1,0
2.8,-1.269975,0,62,0,0,1,0
2.8,-1.269975,0,62,0,0,1,0
4,-1.269975,0,62,0,0,0,0
3.3,-1.269975,0,62,0,0,1,0
3,-1.269975,0,62,0,0,1,0
3.6,1.681103,1,35,1,0,1,0
3.8,1.681103,1,35,1,0,1,0
3.9,-0.6756103,0,61,0,0,1,0
4.7,-0.0901815,1,52,0,0,1,0
4.7,-0.0901815,1,52,0,0,1,0
3.9,-0.1450257,1,60,0,1,0,0
4.4,-0.1450257,1,60,0,1,0,0
3.6,-0.1450257,1,60,0,1,0,0
4.2,-0.1450257,1,60,0,1,0,0
3.4,-0.1450257,1,60,0,1,0,0
4,-0.1450257,1,60,0,1,0,0
4.2,1.143045,0,32,0,0,1,0
4.4,1.143045,0,32,0,0,0,0
4.5,1.143045,0,32,0,0,1,0
3.2,1.143045,0,32,0,0,1,0
4.3,1.143045,0,32,0,0,0,0
3.3,0.3320507,1,42,1,1,0,0
3.2,0.3320507,1,42,1,1,0,0
4.1,0.3320507,1,42,1,1,1,0
