"","cfdate","faildate","peacekeepers?","badness","delay","censored?"
"116",135,60,1,"white",1,2
"117",140,66,1,"white",5,2
"118",120,66,1,"white",1,2
"119",125,65,1,"white",1,2
"120",112,63,1,"white",5,2
"121",130,70,1,"white",7,2
"122",215,68,0,"white",3,2
"123",98,65,1,"white",1,2
"124",138,66,1,"white",1,1
"125",123,62,1,"white",6,1
"126",105,60,1,"white",1,2
"127",220,76,0,"white",6,2
"128",140,66,1,"white",1,1
"129",173,64,1,"white",1,1
"130",185,72,0,"white",2,2
"131",130,66,1,"white",1,1
"132",135,62,1,"white",1,2
"133",190,66,1,"other",6,2
"134",190,69,0,"black",4,2
"135",135,68,1,"white",6,2
"136",115,67,1,"hispanic",4,1
"137",150,68,0,"hispanic",6,2
"138",150,70,0,"white",6,2
"139",125,62,1,"white",4,2
"140",162,70,0,"white",5,2
"141",137,63,1,"white",2,1
"142",125,66,1,"white",1,2
"143",80,70,1,"white",1,2
"144",160,68,1,"white",1,2
"145",160,70,0,"white",7,2
"146",125,65,1,"white",7,2
"147",110,68,1,"white",4,2
"148",133,66,1,"white",1,2
"149",180,71,0,"white",1,2
"150",135,66,1,"white",7,2
"151",130,62,1,"white",4,2
"152",120,68,1,"white",5,2
"153",150,70,0,"white",4,1
"154",110,61,1,"hispanic",6,1
"155",128,63,1,"white",7,2
"156",185,72,0,"hispanic",1,2
"157",200,64,1,"white",7,2
"158",155,67,0,"white",7,2
"159",135,66,1,"white",2,2
"160",135,68,1,"white",4,2
"161",130,61,1,"white",1,2
"162",132,69,1,"white",1,2
"163",103,62,1,"white",1,2
"164",150,64,1,"white",7,2
"165",130,68,1,"white",1,1
"166",128,60,1,"white",5,2
"167",155,71,0,"white",3,2
"168",155,64,1,"white",1,2
"169",140,67,1,"black",1,1
"170",160,69,0,"white",7,2
"171",185,67,1,"white",1,2
"172",130,68,1,"white",7,2
"173",105,63,1,"white",1,2
"174",145,71,0,"white",7,2
"175",124,64,1,"black",1,2
"176",170,68,0,"white",4,2
"177",126,68,1,"white",6,2
"178",142,66,1,"hispanic",4,1
"179",130,66,1,"white",3,1
"180",130,66,1,"other",2,2
"181",100,60,1,"white",1,2
"182",210,77,0,"white",7,2
"183",150,NA,0,"white",1,1
"184",160,67,1,"white",1,2
"185",140,66,0,"white",1,1
"186",120,62,1,"white",1,1
"187",123,63,1,"white",7,2
"188",118,64,1,"white",6,2
"189",175,72,1,"white",1,2
"190",150,67,1,"white",5,2
"191",116,61,1,"white",7,2
"192",220,64,1,"white",1,1
"193",155,70,0,"other",1,2
"194",125,62,1,"white",1,2
"195",150,63,1,"white",5,2
"196",135,68,0,"white",4,2
"197",158,69,0,"other",1,2
"198",160,64,1,"black",1,1
"199",158,64,1,"white",4,1
"200",185,72,0,"white",5,1
"201",172,72,0,"white",6,2
"202",130,64,1,"white",1,2
"203",150,61,1,"white",1,2
"204",230,74,0,"white",4,1
"205",165,70,0,"white",4,1
"206",115,64,1,"white",1,2
"207",195,71,0,"white",4,1
"208",120,63,1,"white",6,1
"209",999,NA,1,"white",7,2
"210",215,73,0,"white",4,1
"211",135,67,0,"white",4,2
"212",133,64,1,"white",7,2
"213",200,73,0,"black",7,2
"214",211,64,1,"white",1,1
"215",150,63,1,"white",1,2
"216",130,62,1,"white",1,2
"217",140,62,1,"white",1,2
"218",170,70,1,"white",3,2
"219",115,62,1,"white",1,2
"220",175,71,0,"white",1,2
"221",170,71,0,"white",6,1
"222",185,71,0,"white",4,1
"223",169,70,1,"white",1,2
"224",160,67,0,"white",6,2
"225",130,64,1,"white",4,2
"226",112,67,1,"white",3,1
"227",140,62,1,"white",1,2
"228",137,62,1,"hispanic",1,2
"229",170,67,0,"white",7,2
"230",160,66,1,"white",1,2
"231",154,64,1,"white",1,2
"232",185,68,0,"black",1,2
"233",140,62,1,"black",2,2
"234",118,62,1,"black",7,2
"235",148,66,1,"black",1,2
"236",165,68,1,"black",2,2
"237",130,65,1,"hispanic",1,2
"238",160,74,0,"white",5,1
"239",999,NA,1,"other",7,2
"240",185,74,0,"white",3,1
"241",190,68,0,"white",1,2
"242",180,70,0,"white",2,1
"243",175,71,0,"white",1,2
"244",150,68,1,"other",4,2
"245",110,62,1,"white",4,2
"246",240,68,1,"white",7,1
"247",150,62,1,"black",1,2
"248",136,66,1,"white",7,2
"249",170,68,0,"white",1,1
"250",115,60,1,"hispanic",6,1
"251",210,64,1,"black",5,2
"252",164,68,0,"white",1,2
"253",185,72,0,"white",7,2
"254",185,66,1,"white",2,1
"255",150,68,0,"white",1,2
"256",130,68,1,"white",7,1
"257",180,69,1,"white",1,2
"258",170,63,1,"white",2,2
"259",128,64,1,"white",3,2
"260",175,65,1,"white",3,2
"261",147,59,1,"white",1,2
"262",128,61,1,"white",1,2
"263",180,71,0,"white",1,1
"264",172,72,0,"white",1,2
"265",125,66,1,"white",1,1
"266",166,69,0,"white",2,2
"267",175,69,0,"black",1,2
"268",105,63,1,"black",6,2
"269",125,64,1,"hispanic",1,2
"270",999,62,1,"white",1,1
"271",145,60,1,"hispanic",1,2
"272",138,62,1,"white",1,2
"273",160,68,0,"white",1,2
"274",150,70,0,"white",6,2
"275",165,71,0,"white",5,1
"276",209,71,0,"white",4,2
"277",210,68,0,"white",4,2
"278",145,66,1,"white",6,2
"279",140,63,1,"white",1,1
"280",105,60,1,"white",2,1
"281",137,63,1,"white",1,2
"282",150,68,0,"white",1,2
"283",150,70,0,"white",6,2
"284",170,64,1,"white",1,2
"285",143,70,0,"white",7,2
"286",178,66,1,"black",1,2
"287",999,66,1,"white",7,1
"288",180,68,0,"white",6,2
"289",135,61,1,"white",1,2
"290",122,67,1,"white",6,1
"291",180,68,0,"white",2,2
"292",145,66,1,"white",1,2
"293",164,70,0,"white",5,2
"294",150,68,0,"white",1,1
"295",142,66,1,"white",7,1
"296",175,71,0,"white",2,2
"297",175,63,0,"white",1,2
"298",195,65,1,"white",1,2
"299",150,66,1,"white",1,2
"300",110,64,1,"white",6,2
"301",195,70,0,"white",7,1
"302",165,70,0,"white",7,1
"303",102,64,1,"white",1,2
"304",135,64,1,"white",6,2
"305",150,63,1,"white",4,2
"306",158,62,1,"white",1,2
"307",160,65,1,"white",1,2
"308",142,66,1,"white",1,2
"309",200,65,1,"white",1,2
"310",125,60,1,"white",1,2
"311",128,66,1,"white",1,2
"312",160,61,1,"white",7,2
"313",145,72,0,"white",7,2
"314",240,74,0,"white",1,2
"315",185,67,1,"white",1,1
"316",170,66,1,"white",1,2
"317",125,62,1,"white",2,1
"318",115,62,1,"white",1,2
"319",180,72,0,"white",7,2
"320",170,65,1,"white",1,2
"321",150,60,1,"white",1,1
"322",107,64,1,"white",4,1
"323",135,62,1,"white",6,2
"324",130,66,1,"white",5,2
"325",250,64,1,"white",6,2
"326",135,71,0,"white",1,1
"327",130,65,1,"white",1,1
"328",225,73,0,"white",2,2
"329",175,69,0,"white",1,1
"330",175,65,1,"white",1,2
"331",175,64,1,"white",7,2
"332",118,64,1,"white",7,2
"333",999,68,1,"white",1,1
"334",123,64,1,"white",2,2
"335",136,61,1,"white",1,2
"336",228,73,0,"white",2,1
"337",240,67,1,"white",2,2
"338",189,62,1,"white",1,1
"339",180,73,0,"white",4,1
"340",165,63,1,"black",2,2
"341",105,67,0,"other",1,1
"342",140,68,1,"white",4,2
"343",165,72,0,"white",4,2
"344",187,70,0,"white",1,1
"345",188,70,0,"white",4,2
"346",145,60,1,"black",1,2
"347",170,67,0,"black",6,2
"348",125,63,1,"black",1,1
"349",112,66,1,"other",2,2
"350",135,66,1,"white",5,2
"351",185,71,0,"white",4,2
"352",175,69,0,"black",1,2
"353",185,66,1,"black",5,2
"354",170,67,0,"white",7,2
"355",194,76,0,"black",6,2
"356",155,69,0,"white",7,2
"357",145,65,1,"white",3,2
"358",153,68,0,"white",2,1
"359",155,61,1,"white",1,2
"360",120,62,1,"white",1,1
"361",112,62,1,"white",1,1
"362",120,62,1,"white",2,1
"363",163,69,1,"white",1,1
"364",130,62,1,"white",1,2
"365",170,72,0,"white",2,1
"366",122,67,1,"white",3,2
"367",105,61,1,"white",6,1
"368",138,65,1,"white",1,1
"369",170,72,0,"white",6,2
"370",120,66,1,"white",6,2
"371",248,72,0,"white",1,2
"372",138,64,1,"white",2,2
"373",190,71,0,"white",3,2
"374",185,72,0,"white",6,2
"375",130,66,0,"white",5,1
"376",170,68,0,"white",3,1
"377",185,65,1,"white",1,2
"378",128,65,1,"black",7,2
"379",170,62,1,"white",7,2
"380",160,66,1,"hispanic",7,2
"381",135,67,0,"white",4,2
"382",150,67,0,"white",7,2
"383",135,64,1,"white",2,1
"384",185,74,0,"hispanic",7,2
"385",117,63,1,"white",6,2
"386",150,67,1,"white",1,2
"387",190,68,1,"white",1,2
"388",154,64,1,"other",1,2
"389",170,64,1,"black",1,2
"390",140,66,1,"white",1,1
"391",165,66,0,"black",6,2
"392",112,65,1,"white",1,1
"393",180,65,0,"white",3,2
"394",180,72,0,"white",4,2
"395",128,68,1,"white",5,1
"396",170,63,1,"white",3,2
"397",220,70,0,"white",1,2
"398",140,68,1,"white",1,2
"399",190,74,0,"white",7,2
"400",185,63,0,"white",2,2
"401",135,64,1,"white",1,2
"402",132,65,1,"white",1,1
"403",180,68,0,"white",4,1
"404",200,61,1,"white",1,2
"405",130,67,1,"white",3,2
"406",125,67,1,"white",1,1
"407",207,73,0,"white",7,2
"408",105,62,1,"white",1,1
"409",176,70,0,"white",7,2
"410",255,69,1,"white",1,2
"411",200,71,0,"white",1,2
"412",200,65,1,"hispanic",1,2
"413",110,62,1,"hispanic",1,1
"414",148,69,0,"hispanic",1,2
"415",203,77,0,"white",7,2
"416",165,68,1,"white",3,1
"417",110,62,1,"white",1,1
"418",128,64,1,"white",1,2
"419",150,70,0,"hispanic",5,2
"420",150,67,0,"hispanic",4,2
"421",165,70,0,"white",7,2
"422",123,62,1,"white",4,2
"423",170,63,1,"white",3,2
"424",116,62,1,"white",4,1
"425",117,63,1,"white",1,2
"426",160,69,1,"white",1,1
"427",122,64,1,"white",1,1
"428",154,64,1,"white",1,2
"429",185,69,1,"white",4,1
"430",95,59,1,"white",1,2
"431",115,61,1,"white",6,2
"432",125,60,1,"white",1,2
"433",225,72,0,"white",4,2
"434",180,68,0,"white",7,2
"435",999,66,1,"other",7,2
"436",160,63,1,"white",6,2
"437",150,65,1,"white",1,1
"438",200,70,0,"white",1,2
"439",250,72,0,"white",1,2
"440",125,62,1,"black",1,1
"441",148,70,0,"black",1,1
"442",120,60,1,"white",1,2
"443",140,66,1,"black",1,2
"444",160,64,0,"hispanic",6,1
"445",180,71,0,"white",6,2
"446",250,73,0,"black",5,1
"447",180,75,0,"black",7,1
"448",110,62,1,"other",1,2
"449",123,63,1,"white",5,2
"450",150,65,1,"white",7,2
"451",135,70,0,"white",1,2
"452",110,64,1,"white",6,2
"453",168,68,0,"other",1,2
"454",170,68,1,"white",4,2
"455",154,65,1,"white",1,2
"456",150,69,0,"white",7,1
"457",170,64,1,"white",1,2
"458",168,72,0,"white",2,2
"459",160,69,0,"white",2,1
"460",150,64,1,"white",2,2
"461",108,63,1,"hispanic",2,2
"462",137,68,1,"white",6,2
"463",122,68,1,"white",1,2
"464",135,64,1,"white",1,1
"465",130,66,1,"white",1,2
"466",165,70,0,"white",1,2
"467",134,63,1,"white",1,2
"468",180,73,1,"white",1,2
"469",165,69,0,"white",3,2
"470",200,75,0,"white",7,2
"471",210,65,1,"white",2,2
"472",140,64,1,"white",4,2
"473",160,66,1,"white",1,2
"474",112,66,1,"white",6,2
"475",112,64,1,"white",2,2
"476",190,64,1,"white",1,2
"477",140,66,1,"white",5,2
"478",108,64,1,"white",6,2
"479",140,63,1,"white",7,2
"480",125,63,1,"white",4,2
"481",132,67,1,"black",1,2
"482",135,69,1,"white",1,2
"483",170,73,0,"white",6,1
"484",171,72,0,"white",7,1
"485",120,63,1,"white",4,2
"486",196,66,1,"white",2,2
"487",195,72,0,"white",5,2
"488",150,64,1,"white",1,2
"489",175,72,0,"white",6,2
"490",153,63,1,"white",1,1
"491",106,64,1,"white",1,2
"492",145,65,1,"white",4,1
"493",175,62,1,"white",4,1
"494",115,61,1,"white",2,2
"495",145,68,0,"white",7,2
"496",118,62,1,"white",2,2
"497",129,64,1,"white",1,2
"498",999,69,1,"white",1,2
"499",160,66,1,"white",7,2
"500",98,60,1,"white",1,2
"501",123,64,1,"white",7,2
"502",220,65,1,"white",1,2
"503",125,60,1,"white",1,2
"504",215,76,0,"white",7,2
"505",999,72,1,"white",7,2
"506",185,72,0,"white",4,2
"507",145,62,1,"white",7,2
"508",140,62,1,"white",1,2
"509",160,70,0,"white",6,2
"510",205,71,0,"white",3,2
"511",195,74,0,"white",2,2
"512",138,65,1,"white",1,2
"513",160,63,1,"other",1,1
"514",150,67,1,"white",1,1
"515",128,65,1,"white",1,1
"516",145,63,1,"white",1,2
"517",126,65,1,"white",6,1
"518",136,64,1,"white",6,1
"519",140,65,1,"white",1,2
"520",125,63,1,"white",1,2
"521",240,68,1,"white",1,2
"522",140,63,1,"white",2,2
"523",135,70,1,"white",7,2
"524",180,68,0,"white",6,2
"525",180,66,0,"white",1,2
"526",165,67,0,"white",5,2
"527",130,68,0,"white",2,1
"528",135,66,1,"white",1,2
"529",125,65,1,"white",1,1
"530",165,69,0,"white",3,1
"531",145,68,1,"white",1,2
"532",187,66,1,"white",1,2
"533",165,71,0,"hispanic",5,1
"534",125,64,0,"hispanic",7,2
"535",210,74,0,"white",6,2
"536",112,62,1,"white",3,2
"537",200,65,1,"white",1,2
"538",195,69,0,"white",5,2
"539",200,NA,1,"black",1,2
"540",185,72,0,"black",2,2
"541",160,65,0,"white",1,1
"542",221,66,1,"white",1,2
"543",180,70,0,"white",4,2
"544",170,61,1,"white",3,2
"545",110,60,1,"white",1,2
"546",190,70,0,"white",4,2
"547",130,73,1,"white",7,1
"548",160,66,1,"white",1,2
"549",130,57,1,"hispanic",1,2
"550",210,67,0,"white",7,2
"551",180,73,0,"white",3,2
"552",115,65,1,"white",5,2
"553",120,62,1,"white",1,2
"554",165,76,0,"white",1,1
"555",175,70,0,"white",5,2
"556",160,64,1,"white",6,2
"557",130,63,1,"black",4,2
"558",185,67,1,"black",1,2
"559",115,63,1,"black",7,2
"560",190,69,1,"white",4,2
"561",200,67,1,"white",1,1
"562",180,66,1,"black",4,1
"563",140,61,1,"black",7,2
"564",164,70,0,"black",7,1
"565",175,71,0,"white",1,1
"566",135,65,1,"white",1,2
"567",157,70,0,"white",1,2
"568",150,63,1,"white",6,2
"569",116,64,1,"white",7,2
"570",145,68,0,"white",5,2
"571",123,64,1,"white",6,2
"572",140,67,0,"white",4,1
"573",172,66,0,"white",2,2
"574",118,68,1,"white",4,1
"575",135,65,1,"white",1,2
"576",140,67,1,"white",6,2
"577",165,61,1,"white",1,2
"578",210,73,0,"white",6,2
"579",200,63,1,"white",1,2
"580",145,66,1,"white",7,2
"581",200,64,1,"white",1,2
"582",160,71,0,"white",1,2
"583",123,63,1,"white",1,2
"584",180,71,0,"white",5,2
"585",118,63,1,"white",1,1
"586",128,64,1,"white",1,2
"587",170,73,0,"white",7,2
"588",140,65,1,"white",2,2
"589",120,66,0,"white",1,2
"590",120,66,1,"white",1,1
"591",135,60,1,"white",1,2
"592",165,68,1,"white",1,1
"593",140,59,1,"white",1,2
"594",215,70,0,"white",6,1
"595",135,62,1,"white",2,1
"596",165,70,0,"white",7,2
"597",152,72,0,"white",7,2
"598",135,64,1,"white",7,2
"599",200,72,0,"white",2,1
"600",170,66,1,"white",4,2
"601",205,70,0,"white",1,1
"602",120,63,1,"white",3,2
"603",145,69,0,"white",7,1
"604",115,66,1,"white",5,2
"605",175,68,1,"white",1,1
"606",120,64,1,"white",1,1
"607",140,67,1,"white",1,2
"608",130,60,1,"white",1,2
"609",124,63,1,"white",1,2
"610",268,74,0,"white",1,1
"611",198,61,1,"white",1,2
"612",230,73,0,"white",5,2
"613",200,70,0,"white",4,1
"614",200,73,0,"white",4,1
"615",110,62,1,"white",1,2
"616",130,60,1,"white",1,2
"617",160,67,0,"white",6,2
"618",136,64,1,"hispanic",1,2
"619",160,67,0,"white",4,2
"620",165,70,0,"white",1,2
"621",120,64,1,"white",6,2
"622",95,62,1,"white",2,2
"623",175,72,0,"white",1,1
"624",200,66,1,"white",1,1
"625",230,69,0,"white",6,2
"626",999,64,1,"white",1,2
"627",122,63,1,"white",1,2
"628",175,82,0,"white",1,2
"629",150,63,1,"white",1,2
"630",155,68,0,"white",6,2
"631",180,72,0,"white",2,2
"632",210,63,1,"white",2,1
"633",210,63,1,"white",5,1
"634",999,69,1,"white",1,2
"635",120,64,1,"white",2,1
"636",195,71,1,"white",7,1
"637",123,64,1,"black",6,1
"638",135,72,0,"white",5,1
"639",125,62,1,"white",2,1
"640",180,66,1,"white",5,2
"641",200,72,0,"white",1,2
"642",140,66,0,"white",1,1
"643",110,61,1,"white",4,2
"644",165,64,1,"white",1,1
"645",111,62,1,"black",5,2
"646",125,69,1,"white",7,2
"647",145,68,1,"white",1,2
"648",148,66,1,"white",7,1
"649",155,66,1,"white",7,1
"650",170,70,0,"white",7,2
"651",180,68,0,"white",6,2
"652",158,71,0,"white",5,1
"653",125,64,1,"white",2,2
"654",118,61,1,"white",1,2
"655",155,68,1,"white",1,2
"656",174,63,1,"white",1,2
"657",138,65,1,"white",1,2
"658",110,64,1,"white",1,2
"659",130,65,1,"white",7,1
"660",125,64,1,"white",2,2
"661",130,66,0,"black",7,1
"662",124,62,1,"black",1,2
"663",170,71,0,"white",5,2
"664",160,65,1,"black",1,2
"665",190,64,1,"white",1,1
"666",155,66,1,"white",1,2
"667",120,60,1,"black",5,2
"668",156,66,0,"white",5,2
"669",102,61,1,"white",4,1
"670",145,72,0,"hispanic",7,2
"671",145,70,1,"white",6,2
"672",130,63,1,"white",4,2
"673",132,68,1,"white",5,2
"674",120,63,1,"white",5,2
"675",165,70,0,"white",7,1
"676",150,62,1,"white",1,1
"677",280,71,0,"white",4,1
"678",170,70,0,"white",7,1
"679",159,64,1,"white",1,2
"680",115,63,1,"white",2,1
"681",144,65,1,"white",1,1
"682",175,71,0,"white",6,2
"683",128,62,1,"white",5,1
"684",195,73,0,"white",1,2
"685",135,64,1,"white",1,2
"686",220,68,0,"white",5,2
"687",210,76,0,"white",4,2
"688",125,70,1,"white",6,2
"689",196,73,0,"white",1,1
"690",160,70,0,"white",6,2
"691",120,66,1,"white",1,2
"692",999,64,1,"white",4,2
"693",999,60,1,"white",1,2
"694",140,68,0,"white",1,2
"695",180,61,1,"white",1,2
"696",185,65,1,"white",1,1
"697",130,66,0,"white",4,1
"698",132,63,1,"white",5,2
"699",105,63,1,"white",1,2
"700",999,67,1,"white",2,2
"701",170,74,0,"white",1,1
"702",160,66,1,"white",7,2
"703",108,62,1,"white",4,1
"704",180,70,0,"white",6,2
"705",155,68,1,"white",3,1
"706",131,70,1,"white",3,2
"707",190,69,0,"white",7,2
"708",175,70,0,"white",2,2
"709",125,63,1,"white",1,1
"710",135,65,1,"white",5,2
"711",185,69,0,"white",1,2
"712",200,72,0,"white",1,2
"713",120,65,1,"white",2,1
"714",140,68,0,"white",3,1
"715",140,62,1,"white",1,2
"716",185,70,0,"white",1,2
"717",150,66,1,"white",1,1
"718",225,65,0,"white",1,2
"719",185,70,0,"white",4,2
"720",163,66,1,"black",5,2
"721",130,61,1,"white",1,2
"722",170,70,0,"white",4,1
"723",165,66,1,"black",2,2
"724",135,65,1,"white",1,2
"725",160,68,0,"black",7,2
"726",998,68,1,"white",2,1
"727",160,68,0,"white",3,2
"728",120,68,0,"white",3,2
"729",120,63,1,"white",5,2
"730",200,70,0,"white",6,2
"731",195,70,0,"white",1,2
"732",155,65,1,"white",1,2
"733",115,64,1,"white",2,2
"734",150,66,1,"hispanic",1,2
"735",113,63,1,"white",6,2
"736",180,69,0,"white",5,2
"737",135,65,1,"white",5,2
"738",241,77,0,"white",1,2
"739",175,70,0,"white",4,2
"740",120,64,1,"white",7,2
"741",130,64,1,"white",6,2
"742",170,69,0,"white",1,2
"743",180,62,1,"white",1,1
"744",999,64,1,"white",1,2
"745",184,64,1,"white",1,1
"746",125,63,1,"white",2,2
"747",180,58,1,"black",1,2
"748",182,73,0,"black",6,2
"749",182,66,1,"white",6,2
"750",120,64,1,"white",7,2
"751",150,62,1,"white",1,2
"752",123,61,1,"white",7,2
"753",113,64,1,"hispanic",2,2
"754",119,64,1,"white",1,2
"755",190,70,0,"white",1,2
"756",118,62,1,"white",2,2
"757",120,62,1,"white",1,2
"758",150,64,1,"white",1,2
"759",150,64,1,"white",7,2
"760",240,66,1,"black",1,2
"761",150,66,1,"white",6,2
"762",223,69,1,"black",1,2
"763",135,64,1,"white",7,2
"764",132,64,1,"white",1,2
"765",168,62,1,"white",1,2
"766",118,62,1,"white",4,1
"767",193,71,0,"white",5,2
"768",108,59,1,"white",1,2
"769",155,62,1,"white",1,2
"770",185,68,0,"white",2,2
"771",175,68,0,"white",1,1
"772",122,62,1,"white",1,2
"773",160,63,1,"white",1,1
"774",175,69,0,"white",1,2
"775",110,NA,1,"white",2,2
"776",228,67,1,"white",7,2
"777",135,64,1,"white",5,2
"778",135,68,1,"white",1,1
"779",165,70,0,"white",7,1
"780",999,62,1,"white",1,2
"781",150,76,0,"white",6,2
"782",140,69,0,"white",1,1
"783",133,66,1,"white",1,2
"784",98,66,1,"white",1,2
"785",128,64,1,"white",1,1
"786",194,72,0,"other",5,1
"787",145,69,0,"black",1,2
"788",160,69,0,"white",6,2
"789",118,62,1,"black",1,2
"790",200,60,1,"black",1,1
"791",149,66,1,"black",2,2
"792",135,60,1,"white",1,2
"793",170,67,0,"white",2,2
"794",120,67,1,"hispanic",1,2
"795",140,66,0,"white",7,2
"796",999,65,1,"other",1,2
"797",150,70,1,"black",6,2
"798",150,64,1,"black",1,2
"799",168,66,1,"black",1,2
"800",105,60,1,"other",1,2
"801",170,68,0,"white",7,2
"802",150,66,1,"black",1,2
"803",180,73,0,"black",5,1
"804",215,72,0,"white",1,1
"805",145,64,1,"white",5,1
"806",135,67,0,"white",1,1
"807",180,71,0,"black",6,1
"808",221,70,0,"white",7,1
"809",129,66,1,"white",1,2
"810",140,67,1,"white",1,2
"811",155,71,0,"black",1,2
"812",136,63,1,"white",5,2
"813",170,73,0,"white",4,1
"814",155,70,0,"white",7,2
"815",165,70,0,"white",7,2
"816",128,71,1,"white",2,2
"817",110,66,1,"white",2,1
"818",160,75,0,"white",2,1
"819",92,60,1,"white",5,2
"820",230,72,0,"white",7,2
"821",256,70,1,"white",1,2
"822",118,63,1,"black",7,2
"823",230,75,0,"black",4,2
"824",110,60,1,"white",3,1
"825",186,73,0,"black",5,2
"826",165,65,0,"black",1,2
"827",210,65,1,"black",1,2
"828",135,63,1,"white",1,2
"829",209,68,1,"black",3,2
"830",140,67,0,"white",4,2
"831",130,61,1,"white",1,2
"832",135,69,1,"white",5,2
"833",144,64,1,"white",6,1
"834",190,62,1,"white",1,2
"835",150,70,0,"white",5,2
"836",147,68,1,"white",3,1
"837",140,67,0,"white",1,2
"838",130,62,1,"white",1,1
"839",180,64,1,"white",7,1
"840",110,68,1,"white",1,2
"841",200,72,0,"white",6,2
"842",120,68,1,"white",4,2
"843",130,64,1,"white",1,2
"844",130,66,0,"white",7,1
"845",118,64,1,"white",1,1
"846",230,73,0,"white",1,1
"847",210,73,0,"white",4,2
"848",175,69,0,"hispanic",6,2
"849",133,68,1,"white",4,2
"850",125,71,0,"black",1,2
"851",160,63,1,"white",2,2
"852",110,60,1,"white",1,2
"853",205,66,1,"white",1,2
"854",158,66,1,"white",1,1
"855",173,66,0,"white",4,2
"856",210,68,1,"hispanic",1,2
"857",235,70,0,"white",1,2
"858",148,62,1,"white",7,2
"859",142,66,1,"white",4,2
"860",122,63,1,"black",1,2
"861",175,75,0,"white",3,1
"862",125,67,1,"white",2,2
"863",115,68,0,"white",5,2
"864",999,60,1,"black",1,2
