"y.subset" "defects.subset" "poor.subset" "race.subset" "floor.subset" "dist.subset" "bldg.subset"
"599" 0 0.08 1.11392405063291 5 2 22 350
"600" 0 0 1.11392405063291 1 2 22 351
"601" 0 0 2 1 2 22 352
"602" 0 0.135837563451777 2 4 4 22 353
"603" 0 1.08 2.11392405063291 1 2 22 354
"604" 0 1 5 5 4 22 355
"605" 0 0.08 2.11392405063291 1 2 22 356
"606" 0 0 4 4 2 22 357
"607" 0 0.524733547518518 4 1 2 22 358
"608" NA 0.692199017947039 3.11392405063291 1 6 22 359
"609" 0 0 4 1 7 22 360
"610" NA 0 3 1 7 22 360
"611" 0 0.135837563451777 3 1 2 22 361
"612" NA 0.692199017947039 1.11392405063291 1 3 22 362
"613" 1 2 4 1 4 22 363
"614" 0 2 2 5 4 22 364
"615" 1 0 4 1 2 22 365
"616" 1 0.08 4 4 2 22 366
"617" 0 1 5 1 7 22 367
"618" 0 2 6 1 4 23 368
"619" 0 1 4 1 3 23 369
"620" 1 2 4 2 7 23 370
"621" 0 0 3 1 5 23 371
"622" NA 1.25949707169398 2.15270935960591 1 2 24 372
"623" 0 0 1.15270935960591 2 2 24 373
"624" 0 0 2 1 3 24 374
"625" 0 0 2 1 3 24 374
"626" 0 0 1 1 3 24 374
"627" 0 0 4 1 7 24 375
"628" 0 0 4 1 7 24 375
"629" NA 0 2 1 7 24 375
"630" 1 0 3 2 5 24 376
"631" 0 1 3 2 5 24 377
"632" 1 5 2.15270935960591 2 3 24 378
"633" 1 6 3.15270935960591 2 3 24 378
"634" 1 6 1.15270935960591 2 3 24 378
"635" 0 0 4 3 3 24 379
"636" 1 1 6 1 4 24 380
"637" 0 0 6 1 4 24 380
"638" 1 5 6 4 4 24 380
"639" 1 0 2 4 7 24 381
"640" NA 0 3 1 2 24 381
"641" NA 1.23366681339139 3.15270935960591 4 4 24 382
"642" 0 0 3 1 4 24 383
"643" 0 0 5 1 4 24 383
"644" 0 1 3 1 3 24 383
"645" 0 0 3 3 4 24 383
"646" 1 0 2 2 3 24 384
"647" 1 1 2 2 3 24 384
"648" 0 0 4 2 2 24 385
"649" 0 2 1.13821138211382 1 2 25 386
"650" 0 0 3.13821138211382 1 2 25 386
"651" 0 0 1.13821138211382 4 2 25 386
"652" 0 0 3 1 2 25 387
"653" 1 0 1 1 2 25 387
"654" 0 0 1.13821138211382 1 2 25 388
"655" 0 0 2 1 3 25 389
"656" 0 0 2 1 2 25 389
"657" 0 0 2 1 3 25 389
"658" 0 1 3.13821138211382 1 2 25 390
"659" 1 1.01481481481481 2.13821138211382 1 2 25 391
"660" 0 2 6 1 2 25 392
"661" 0 1 3 1 7 25 393
"662" 1 4 4 1 7 25 393
"663" 0 0 1.13821138211382 1 2 25 394
"664" NA 0.530783498531236 1.13821138211382 1 2 25 395
"665" 0 0 3.13821138211382 1 3 25 396
"666" 0 1 4 1 3 25 397
"667" NA 0.58546113656948 1.20693990445059 1 2 25 398
"668" 0 1 6 1 5 25 399
"669" NA 0.333333333333333 4.33333333333333 1 5 25 399
"670" 0 0 5 1 6 25 399
"671" 0 0 5 1 6 25 399
"672" 0 3 5 1 5 25 400
"673" 0 0 4 1 5 25 400
"674" 0 0 3 1 5 25 400
"675" 0 0 6 1 2 25 401
