"y" "defects" "poor" "dist" "bldg"
"301" NA 0.975008036001286 3.74821565828484 38 125
"302" NA 0.975008036001286 3.74821565828484 38 125
"303" 0 0 5 38 127
"304" 0 0 3.74821565828484 39 134
"305" 0 1 3.74821565828484 39 135
"306" 1 0 3 40 136
"307" NA 0.975008036001286 3.74821565828484 40 136
"308" 1 2 3 40 136
"309" 0 0 3 40 136
"310" 0 0.975008036001286 3.74821565828484 40 137
"311" 0 0.975008036001286 2 40 137
"312" 0 0 3.74821565828484 40 138
"313" 0 0 3.74821565828484 40 138
"314" 1 0.975008036001286 3 40 139
"315" 0 0 3.74821565828484 41 140
"316" NA 0.975008036001286 3.74821565828484 41 140
"317" 0 0.975008036001286 3.74821565828484 41 140
"318" 0 1 4 41 141
"319" 0 0.975008036001286 3.74821565828484 41 141
"320" 0 0 3 41 142
"321" NA 0.975008036001286 4 41 143
"322" NA 0.975008036001286 3.74821565828484 41 143
"323" 0 0 3.74821565828484 41 143
"324" 0 0 3 41 143
"325" 0 1 3 41 144
"326" NA 0.975008036001286 3.74821565828484 41 144
"327" 0 0 3 41 144
"328" 0 0 3.74821565828484 41 144
"329" NA 0.975008036001286 3.74821565828484 41 145
"330" 1 5 3 41 146
"331" 1 5 4 41 146
"332" 1 5 3 41 146
"333" 1 4 3 41 146
"334" 0 0 4 42 147
"335" 0 1 3.74821565828484 42 147
"336" 0 0 3.74821565828484 42 147
"337" 0 0.975008036001286 3.74821565828484 42 148
"338" 1 3 3 42 149
"339" 1 0 5 42 149
"340" 1 2 3 42 149
"341" 0 1 3 42 149
"342" 0 0 3 42 150
"343" 0 0 5 42 150
"344" NA 0.975008036001286 3.74821565828484 42 150
"345" NA 0.975008036001286 3.74821565828484 42 150
"346" 0 0 3.74821565828484 43 151
"347" 0 0 3.74821565828484 43 151
"348" NA 0.975008036001286 3.74821565828484 43 152
"349" 0 0.975008036001286 3.74821565828484 43 152
"350" 0 0.975008036001286 3.74821565828484 43 152
"351" 0 0 3.74821565828484 43 152
"352" 1 0 3 43 153
"353" 0 0 3.74821565828484 43 153
"354" 0 0 2 43 153
"355" 0 0 2 43 154
"356" 1 0 3.74821565828484 44 155
"357" 0 0 3.74821565828484 44 156
"358" 0 0 3.74821565828484 44 156
"359" 0 0 2 44 156
"360" 0 0.975008036001286 3 44 157
"361" 0 0.975008036001286 3.74821565828484 44 157
"362" 0 0 3 44 157
"363" NA 0.975008036001286 3.74821565828484 44 157
"364" 1 0 3 44 158
"365" 0 0 3.74821565828484 45 159
"366" 0 0 3.74821565828484 45 159
"367" 0 0 3.74821565828484 45 159
"368" 0 0 3.74821565828484 45 159
"369" NA 0.975008036001286 3.74821565828484 45 160
"370" NA 0.975008036001286 3.74821565828484 45 161
"371" 0 0 3 45 161
"372" 0 0 3.74821565828484 46 162
"373" 0 0 3.74821565828484 46 163
"374" 0 0 3 46 163
"375" 0 0 5 46 164
"376" 0 0 5 46 164
"377" 0 2 4 46 164
"378" 0 0 6 46 164
"379" 0 0 3 46 165
"380" 0 0 3 46 165
"381" 0 1 3 46 165
"382" 0 0 3 46 165
"383" 0 0 3.74821565828484 47 166
"384" 0 0 2 47 166
"385" 0 1 5 47 167
"386" 0 0.975008036001286 3 47 168
"387" 0 0 3 47 168
"388" 1 0 3 47 168
"389" 1 0 3.74821565828484 47 168
"390" 0 0 3.74821565828484 48 169
"391" 0 0 4 48 169
"392" 0 0 3.74821565828484 48 169
"393" 0 2 2 48 169
"394" 0 0 3.74821565828484 48 170
"395" 0 0 3.74821565828484 48 171
"396" 0 0 3.74821565828484 48 172
"397" 0 0 2 48 172
"398" 0 0 3.74821565828484 48 173
"399" 0 0.975008036001286 2 48 174
"400" 0 0 3.74821565828484 49 175
"401" NA 0.975008036001286 3.74821565828484 49 175
"402" 0 0 3.74821565828484 49 175
"403" 0 0 3.74821565828484 49 175
"404" 0 0 3.74821565828484 49 176
"405" 0 0 3.74821565828484 49 176
"406" 0 0 3.74821565828484 49 176
"407" NA 0.975008036001286 3.74821565828484 49 176
"408" 0 0 3.74821565828484 49 177
"409" 0 0 3.74821565828484 49 177
"410" 0 1 3.74821565828484 49 177
"411" 0 0 3.74821565828484 49 177
"412" 0 1 2 49 178
"413" 0 0 3.74821565828484 49 178
"414" 0 0 2 49 178
"415" 0 1 3.74821565828484 49 178
"416" 0 0.975008036001286 3.74821565828484 49 179
"417" 0 0 3.74821565828484 49 180
"418" 0 0 3 49 181
"419" 0 0 3 49 181
"420" 0 1 3.74821565828484 49 181
"421" 0 3 3.74821565828484 49 181
"422" 0 2 3 49 182
"423" 0 1 3.74821565828484 50 183
"424" 0 0 3.74821565828484 50 184
"425" 0 0.975008036001286 3.74821565828484 50 184
"426" 0 1 4 50 184
"427" 0 0 3.74821565828484 50 185
"428" 0 0 4 50 185
"429" 0 0.975008036001286 2 50 186
"430" 0 0 3.74821565828484 50 186
"431" 0 0 3 50 187
"432" 0 0 3.74821565828484 51 188
"433" 0 2 2 51 189
"434" 0 0.975008036001286 3.74821565828484 51 190
"435" 0 0 3.74821565828484 51 191
"436" 0 0 3.74821565828484 52 192
"437" 0 0 3.74821565828484 52 192
"438" 0 0 3.74821565828484 52 192
"439" 0 0 3.74821565828484 52 192
"440" 0 0 3.74821565828484 52 193
"441" 1 0 2 52 194
"442" 1 0 2 52 194
"443" 1 0 2 52 194
"444" 0 0 3.74821565828484 53 195
"445" 0 0 3.74821565828484 53 195
"446" NA 0.975008036001286 3.74821565828484 53 195
"447" 0 1 3.74821565828484 53 195
"448" 0 0 3.74821565828484 54 196
"449" 0 0 3.74821565828484 54 196
"450" NA 0.975008036001286 3.74821565828484 54 196
"451" 0 1 3.74821565828484 54 196
"452" 0 0 3.74821565828484 54 197
"453" 0 0 3.74821565828484 54 197
"454" 0 0 3.74821565828484 54 197
"455" 0 0 3 54 197
"456" 0 0 3.74821565828484 55 198
"457" 0 0 3.74821565828484 55 199
"458" 0 0 2 55 200
"459" 0 0 2 55 200
