"borough" "numunits" "stories" "race" "personrm" "housewgt" "sequenceno" "under6" "cd" "unitflr2" "regext" "totincom2" "subsidy" "housing" "poverty" "povertyx2" "extwin4_2" "extflr5_2" "intcrack2" "inthole2" "intpeel_cat" "intleak2" "duration" "board2" "struct" "old" "help" "rodent2" "foreign" "dilap" "black_Mean" "board2_Mean" "foreign_Mean" "help_Mean" "hispanic_Mean" "old_Mean" "poverty_Mean" "povertyx2_Mean" "pubhous_Mean" "regext_Mean" "struct_Mean" "dilap_Mean" "ownhous_Mean" "duration_Mean" "extwin4_2_Mean" "extflr5_2_Mean" "intcrack2_Mean" "inthole2_Mean" "intleak2_Mean" "vacrate" "bldg"
"84" 1 11 6 2 0.33 171.66205 139474 1 1 4 NA 6384 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 47
"90" 1 11 6 3 0.5 178.84964 621631 1 1 8 0 21300 0 1 0 1 0 0 0 0 0 0 6 0 0 0 0 0 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 51
"108" 1 10 5 3 0.33 168.49764 841661 1 1 4 0 15280 1 2 0 1 0 0 1 1 0 1 22 0 0 1 0 0 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 62
"109" 1 10 5 4 0.75 178.84964 209092 1 1 4 0 13140 1 2 1 1 0 0 1 0 2 1 26 0 0 1 1 1 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 62
"110" 1 10 5 3 0.33 168.49764 596616 1 1 4 0 22000 1 2 0 0 0 0 0 0 0 0 8 0 1 1 1 1 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 62
"154" 1 10 5 3 0.67 178.84964 598779 1 1 6 1 49000 0 2 0 0 0 0 0 0 0 0 24 0 1 1 1 1 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 82
"187" 1 10 6 2 0.33 171.66205 236037 1 1 7 1 7224 0 1 1 1 0 0 0 0 NA 0 25 0 0 0 0 0 0 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 100
"188" 1 10 6 3 0.25 168.49764 96179 1 1 7 1 14000 0 1 0 1 0 0 1 1 2 1 22 0 0 0 0 1 0 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 100
"189" 1 10 6 2 0.25 171.66205 204926 1 1 7 1 7584 0 1 1 1 0 0 0 0 0 0 30 0 0 0 0 1 0 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 100
"190" 1 10 6 2 0.67 170.33447 589876 1 1 7 0 3550 0 1 1 1 0 0 0 0 1 0 7 0 1 0 1 0 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 100
"192" 1 11 5 4 0.5 182.99832 446108 1 1 6 NA 7000 0 1 1 1 0 0 0 0 0 1 3 0 1 0 1 0 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 102
"195" 1 12 6 2 0.67 170.33447 898503 1 1 8 1 33200 0 1 0 0 0 0 0 0 1 0 4 1 0 0 0 0 0 1 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 104
"207" 1 11 6 2 0.75 189.67769 248323 2 1 8 0 3600 0 1 1 1 0 0 0 0 0 0 3 0 1 0 1 0 0 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 110
"244" 1 3 2 2 0.5 199.06643 16408 1 2 2 0 46800 NA 3 0 0 0 0 0 0 0 0 9 0 0 0 1 0 1 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 120
"245" 1 3 2 2 0.75 199.06643 260733 2 2 4 0 30000 0 4 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 120
"246" 1 3 2 2 1.4 173.35316 392791 1 2 2 0 13350 1 4 1 1 0 0 0 0 0 0 3 0 0 0 1 0 0 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 120
"259" 1 7 2 1 0.5 191.49159 182848 1 2 2 NA 0 0 2 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 128
"310" 1 12 6 2 0.5 201.90593 563621 1 2 7 1 0 1 4 1 1 0 0 0 0 0 0 3 1 1 0 NA 0 0 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 159
"311" 1 12 6 2 0.33 189.75237 442768 1 2 7 NA 31343 0 4 0 0 0 0 1 0 2 1 17 0 0 0 0 0 1 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 159
"312" 1 12 6 2 0.75 172.33043 483305 1 2 7 0 15000 1 4 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 159
"340" 1 10 4 2 1 199.06643 796744 2 2 5 1 21000 1 2 0 1 0 0 0 0 0 0 9 0 0 1 1 1 0 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 174
"341" 1 10 4 2 0.5 199.06643 806946 1 2 5 1 129256 0 2 0 0 0 0 0 0 0 0 7 0 1 1 1 1 0 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 174
"342" 1 10 4 3 0.75 130.25673 499835 1 2 5 1 20000 0 2 0 1 0 0 1 0 1 0 2 0 1 1 1 1 0 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 174
"362" 1 11 5 3 0.5 191.49159 207517 1 2 5 1 8000 1 2 1 1 0 0 0 0 0 1 4 0 0 0 0 0 1 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 187
"363" 1 11 5 3 0.75 130.25673 47233 2 2 6 NA 13000 0 2 1 1 0 0 1 0 0 0 7 0 0 0 0 1 0 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 187
"364" 1 11 5 4 0.25 130.25673 651630 1 2 6 NA 20000 NA 2 0 0 0 0 NA NA NA NA 4 0 NA 0 NA NA NA 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 187
"365" 1 11 5 2 0.75 199.06643 209465 2 2 6 1 25000 0 2 0 1 0 0 0 0 0 0 6 1 0 0 1 1 0 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 187
"387" 1 10 4 3 0.33 191.49159 238317 1 2 1 NA 9408 1 2 0 1 0 0 1 0 1 1 27 0 0 1 1 1 1 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 196
"388" 1 10 4 3 0.5 218.46151 42716 1 2 2 1 4900 1 2 1 1 0 0 0 0 0 1 5 0 1 1 0 1 0 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 196
"398" 1 3 1 2 1.5 213.6345 810833 1 2 2 0 42000 1 4 0 1 0 NA 0 0 0 0 24 0 0 1 1 0 1 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 201
"399" 1 3 1 2 0.2 201.90593 531438 1 2 3 0 10782 NA 3 0 1 0 NA 0 0 0 0 8 0 0 1 1 1 1 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 201
"415" 1 12 6 2 0.2 189.75237 156947 1 2 7 1 0 0 1 1 1 NA NA 0 0 0 0 7 0 0 0 0 0 0 NA 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 210
"417" 1 11 5 2 1.33 182.99832 279439 1 2 5 0 33000 0 4 0 1 0 0 0 0 0 1 10 0 1 1 1 1 0 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 212
"450" 1 11 5 3 0.33 182.99832 669769 1 2 4 NA -14260 0 1 1 1 0 0 1 0 0 0 20 0 0 0 0 1 1 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 223
"451" 1 11 5 2 0.25 189.75237 6673 1 2 4 1 56000 0 1 0 0 0 0 0 0 0 1 48 0 1 0 1 0 0 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 223
"495" 1 10 4 6 1 16.44805 927641 1 2 6 0 0 0 4 1 1 1 0 1 1 2 0 7 1 0 1 0 1 1 0 0.38 0.2 0.5 0.58 0.53 0.67 0.48 0.78 0.16 0.62 0.42 0.17 0.08 10.39 0.04 0.13 0.22 0.1 0.29 0.11 1405
"506" 1 1 1 3 0.6 171.05256 995827 1 3 2 0 43500 NA 3 0 0 0 0 0 0 0 0 5 1 1 1 0 0 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 236
"522" 1 5 2 3 1.25 164.73271 894963 3 3 2 1 3240 1 4 1 1 0 0 0 0 0 0 5 0 1 1 1 0 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 243
"533" 1 7 3 2 2 172.33043 886687 1 3 2 0 21000 0 2 0 1 0 0 1 0 0 0 9 0 0 1 1 1 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 248
"534" 1 7 3 2 1 180.68114 574764 1 3 2 1 6500 0 2 1 1 0 0 0 0 0 0 10 0 1 1 1 0 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 248
"535" 1 7 3 7 0.22 176.55067 878330 1 3 5 0 68070 0 2 0 0 0 0 1 1 0 0 5 0 0 1 1 0 0 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 248
"556" 1 7 3 3 0.75 198.2748 143411 2 3 3 1 3984 1 2 1 1 0 0 0 0 0 0 2 1 0 1 1 1 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 259
"557" 1 7 3 3 1.25 175.92482 657444 1 3 4 1 3312 1 2 1 1 0 0 0 0 1 1 10 1 1 1 0 0 0 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 259
"566" 1 12 5 4 0.75 164.73271 243005 2 3 7 1 38000 0 4 0 0 1 1 1 0 0 0 4 0 0 1 0 1 1 1 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 267
"586" 1 10 5 4 0.6 175.92482 732574 1 3 6 NA 5200 NA 2 1 1 0 0 NA NA NA NA 12 0 NA 1 NA NA NA 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 279
"587" 1 10 5 4 0.33 171.47536 90799 1 3 6 1 30000 0 2 0 0 0 0 0 0 0 0 1 0 1 1 NA 1 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 279
"618" 1 5 2 1 0.5 172.33043 209787 1 3 3 0 0 1 4 1 1 0 0 0 0 0 1 10 0 1 1 1 0 0 1 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 297
"683" 1 10 4 1 0.25 171.47536 268862 1 3 6 0 36000 0 2 0 0 0 1 0 0 1 1 22 0 0 1 0 0 0 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 331
"703" 1 11 5 4 0.75 198.2748 465069 1 3 5 NA 40000 0 2 0 0 0 1 0 NA 0 1 1 0 0 1 0 0 1 1 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 342
"705" 1 11 5 4 0.67 185.82033 681863 1 3 6 1 18600 0 2 0 1 0 0 1 1 0 0 26 0 0 1 0 1 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 344
"706" 1 11 5 3 0.2 171.47536 518416 1 3 6 1 12650 1 2 0 1 0 0 0 0 1 0 24 0 0 1 0 0 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 344
"707" 1 11 5 4 1 198.2748 416174 1 3 6 1 32030 0 2 0 0 0 0 0 0 0 1 16 0 0 1 0 1 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 344
"708" 1 11 5 4 0.67 198.2748 475610 1 3 6 1 10500 1 2 1 1 0 0 0 0 0 0 12 0 0 1 1 0 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 344
"709" 1 12 7 4 1 198.2748 592744 1 3 3 NA 3500 0 4 1 1 0 0 0 0 0 0 13 0 1 0 1 0 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 345
"710" 1 12 7 4 0.8 175.92482 249839 1 3 3 1 27500 0 4 0 1 0 0 0 0 0 1 5 1 1 0 1 0 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 345
"711" 1 12 7 4 1.25 164.73271 113987 1 3 4 0 13000 0 4 1 1 0 0 0 0 0 0 2 0 0 0 1 1 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 345
"712" 1 12 7 4 0.75 198.2748 393855 1 3 4 1 24800 0 4 0 1 0 0 0 0 0 1 5 0 0 0 0 0 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 345
"713" 1 12 5 4 1 175.92482 250008 1 3 6 0 92000 0 2 0 0 0 0 1 0 0 1 19 1 0 1 0 1 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 346
"723" 1 11 5 2 1 180.68114 302985 1 3 2 1 24100 0 2 0 1 0 0 0 0 0 1 10 0 0 1 1 1 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 352
"724" 1 11 5 4 2.5 175.92482 577487 2 3 2 1 21050 0 2 1 1 0 0 0 NA 0 1 18 0 1 1 1 1 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 352
"730" 1 12 5 4 1 193.74626 460802 1 3 6 1 102000 0 2 0 0 0 1 1 1 1 1 1 1 0 1 0 1 1 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 358
"735" 1 8 4 3 0.8 16.44805 151884 1 3 2 1 22156 0 4 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 1391
"736" 1 8 4 2 0.8 16.44805 54398 1 3 4 1 18000 0 4 1 1 0 0 0 0 0 0 35 1 1 1 1 0 0 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 1391
"737" 1 8 4 3 0.4 16.44805 173676 1 3 5 1 24000 0 4 0 1 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 1391
"738" 1 8 4 2 0.6 16.44805 282747 1 3 2 0 21000 0 4 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 1391
"742" 1 10 4 2 0.5 16.44805 568987 1 3 2 1 27125 0 4 0 0 1 0 1 1 0 0 26 1 0 1 1 1 0 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 1411
"743" 1 10 4 7 0.67 16.44805 694426 1 3 5 1 13344 1 4 0 1 1 0 1 0 1 1 16 1 0 1 1 0 0 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 1411
"744" 1 10 4 2 1.33 16.44805 708936 3 3 6 0 57520 1 4 0 1 1 0 1 1 1 1 17 1 0 1 0 1 0 0 0.37 0.2 0.59 0.52 0.54 0.84 0.33 0.62 0.03 0.58 0.33 0.14 0.07 9.78 0.07 0.13 0.28 0.15 0.41 0.07 1411
"753" 1 10 3 4 1.33 180.68114 518497 2 4 4 0 6808 1 2 1 1 0 0 1 1 2 1 9 0 0 1 0 1 1 0 0.37 0.13 0.67 0.58 0.58 0.75 0.37 0.67 0.03 0.62 0.33 0.11 0.02 9.76 0.06 0.1 0.26 0.15 0.45 0.05 363
"766" 1 12 5 3 2 189.14281 362864 2 4 4 1 2856 1 2 1 1 0 0 0 1 0 0 18 0 0 1 0 1 0 0 0.37 0.13 0.67 0.58 0.58 0.75 0.37 0.67 0.03 0.62 0.33 0.11 0.02 9.76 0.06 0.1 0.26 0.15 0.45 0.05 369
"817" 1 12 6 2 0.5 164.21931 239350 1 4 7 1 28200 0 1 0 0 0 0 0 0 0 0 24 0 0 0 1 0 0 0 0.37 0.13 0.67 0.58 0.58 0.75 0.37 0.67 0.03 0.62 0.33 0.11 0.02 9.76 0.06 0.1 0.26 0.15 0.45 0.05 404
"825" 1 10 4 3 0.33 251.67973 875726 1 4 3 1 7368 1 2 1 1 1 1 1 0 2 0 2 1 1 1 0 0 1 1 0.37 0.13 0.67 0.58 0.58 0.75 0.37 0.67 0.03 0.62 0.33 0.11 0.02 9.76 0.06 0.1 0.26 0.15 0.45 0.05 410
"826" 1 10 4 2 1.33 172.33043 580187 1 4 3 0 8160 1 2 1 1 1 1 1 1 2 1 2 0 0 1 1 1 0 1 0.37 0.13 0.67 0.58 0.58 0.75 0.37 0.67 0.03 0.62 0.33 0.11 0.02 9.76 0.06 0.1 0.26 0.15 0.45 0.05 410
"833" 1 10 4 4 0.67 251.67973 18764 1 4 2 NA 16000 0 2 0 1 0 1 0 0 0 1 10 0 0 1 0 1 1 0 0.37 0.13 0.67 0.58 0.58 0.75 0.37 0.67 0.03 0.62 0.33 0.11 0.02 9.76 0.06 0.1 0.26 0.15 0.45 0.05 415
"834" 1 10 4 4 0.33 251.67973 172159 1 4 2 1 7200 NA 3 1 1 0 1 0 0 0 1 13 1 0 1 1 1 1 0 0.37 0.13 0.67 0.58 0.58 0.75 0.37 0.67 0.03 0.62 0.33 0.11 0.02 9.76 0.06 0.1 0.26 0.15 0.45 0.05 415
"844" 1 11 4 3 0.67 251.67973 42894 1 4 3 1 35000 0 2 0 0 1 0 1 0 1 1 9 1 0 1 0 1 1 1 0.37 0.13 0.67 0.58 0.58 0.75 0.37 0.67 0.03 0.62 0.33 0.11 0.02 9.76 0.06 0.1 0.26 0.15 0.45 0.05 423
