"y" "defects" "poor" "race" "floor" "dist" "bldg"
"120" 1 0 5 4 5 1 65
"121" 0 2 5 4 5 1 65
"122" 0 1 3 3 6 1 65
"123" 0 0 3 2 7 1 66
"124" 1 0 5 2 7 1 66
"125" 1 5 7 2 7 1 66
"126" 0 0 4 4 7 1 66
"127" 0 0 3 3 4 1 67
"128" 0 0 4 4 4 1 67
"129" 0 1 5 4 4 1 68
"130" 0 1 3 3 4 1 69
"131" 1 3 5 3 2 1 70
"132" 1 0 4 3 3 1 70
"133" 0 0 4 4 7 1 71
"134" 1 4 5 3 7 1 71
"135" 1 0 5 2 7 1 71
"136" 0 1 4 2 7 1 72
"137" NA 0.666666666666667 6.33333333333333 3 7 1 72
"138" 0 1 8 3 7 1 72
"139" 0 0 5 1 7 1 72
"140" 0 1 6 2 6 1 73
"141" 0 1 4 4 6 1 73
"142" 1 4 7 3 6 1 73
"143" 1 6 6 4 6 1 73
"144" 0 5 6 2 5 1 74
"145" 0 0 3 3 3 1 75
"146" 1 2 6 3 3 1 76
"147" 1 1 6 4 3 1 77
"148" 1 1 5 4 4 1 77
"149" 0 2 6 4 2 1 78
"150" 0 0 5 4 2 1 79
"151" 1 4 4 3 2 1 80
"152" 0 0 4 3 6 1 80
"153" 0 1 6 3 6 1 81
"154" 1 0 3 3 6 1 82
"155" 0 1 6 2 8 1 83
"156" 0 0 4 3 8 1 83
"157" 0 5 6 3 8 1 83
"158" 0 0 6 4 8 1 83
"159" 1 1 6 4 6 1 84
"160" 1 7 5 3 6 1 84
"161" 1 3 6 4 6 1 84
"162" 1 5 5 4 4 1 84
"163" 1 1 5 3 6 1 85
"164" 0 1 6 3 6 1 85
"165" 0 1 5 3 6 1 85
"166" 0 2 4 3 6 1 85
"167" 1 5 6 2 4 1 86
"168" 0 1 7 3 4 1 86
"169" 1 4.5 5 2 4 1 86
"170" 1 2.0337552742616 4 3 4 1 87
"171" 1 0 3 3 3 1 88
"172" 1 4 4 4 5 1 88
"173" 0 0 5 4 4 1 88
"174" 1 3 4 3 4 1 89
"175" 0 0 2 2 7 1 90
"176" 0 0 2 2 7 1 91
"177" 0 1 2 4 7 1 92
"178" 0 0 5 3 7 1 92
"179" 1 1 6 4 3 1 93
"180" 1 2 6 4 3 1 94
"181" 1 1 4 4 4 1 95
"182" 0 0 6 4 4 1 96
"183" NA 1.53518554722017 4.32547169811321 4 4 1 97
"184" NA 1.53518554722017 3.32547169811321 3 4 1 97
"185" 1 0 5 3 5 1 98
"186" 1 1.08938447173741 3 3 4 1 99
"187" 0 2 6 2 7 1 100
"188" 1 6 5 3 7 1 100
"189" 1 1 6 2 7 1 100
"190" 0 1 6 2 7 1 100
"191" 1 4.31081081081081 6 3 6 1 101
"192" 0 1 6 4 6 1 102
"193" 1 6 5 4 6 1 103
"194" 1 5 6 3 7 1 103
"195" 0 3 5 2 8 1 104
"196" 0 2 6 4 8 1 105
"197" 0 1 5 2 8 1 105
"198" 1 1 5 3 8 1 106
"199" 1 5 6 3 4 1 107
"200" 0 1 6 4 4 1 107
"201" 0 1 6 3 3 1 107
"202" NA 2.33333333333333 7 4 4 1 107
"203" 0 4 5 3 7 1 108
"204" 1 5 6 3 7 1 108
"205" 0 1 6 4 7 1 108
"206" NA 1.53518554722017 6.32547169811321 2 7 1 109
"207" 0 0 6 2 8 1 110
"208" 0 2 5 2 8 1 111
"209" 0 2 6 4 8 1 112
"210" 0 1 5 2 8 1 112
"211" 1 2 6 4 7 1 113
"212" 0 2 4 4 7 1 113
"213" 1 1 6 3 7 1 113
"214" 0 0 6 3 7 1 113
"215" 0 1 7 4 4 1 114
"216" NA 2.31081081081081 5 2 4 1 115
"217" 1 2.31081081081081 6 3 4 1 115
"218" 1 6 4 4 4 1 116
"219" 1 1 5 3 5 1 117
"220" 0 0 6 3 5 1 118
"221" 0 0 4 4 5 1 118
"222" 1 2 4 3 2 1 467
"223" 0 0 1 3 3 1 1384
"224" 0 1 3 3 1 1 1384
"225" 0 0 2.32547169811321 1 3 1 1385
"226" NA 1.53518554722017 2.58177421912161 2 3 1 1386
"227" 1 4 3 2 2 1 1387
"228" 1 4 6 2 3 1 1388
"229" 1 6 6 2 5 1 1388
"230" 1 2 4 2 5 1 1388
"231" 0 0 4 2 3 1 1389
"232" 1 5 6 3 4 1 1390
"233" 1 3 5 3 2 1 1398
"234" 1 1 3 4 3 1 1398
"235" 1 1 4 3 5 1 1398
"236" 1 0 3 4 2 1 1400
"237" 0 0 2 3 4 1 1400
"238" 1 5 3 2 6 1 1400
"239" NA 2.53518554722017 2.32547169811321 3 5 1 1414
"240" 0 1 5 1 3 2 119
"241" 0 0 5 3 4 2 119
"242" 0 1 5 1 4 2 119
"243" 0 1 6 2 4 2 119
"244" 0 1 1.5 2 2 2 120
"245" 0 0 3 2 4 2 120
"246" 0 1 5 2 2 2 120
"247" 1 0 5 3 3 2 121
"248" 1 3 5 3 4 2 121
"249" 1 1 5 4 2 2 122
"250" 1 2 6 4 2 2 122
"251" 0 2 1.40969162995595 3 4 2 123
"252" 0 0 2 3 2 2 124
"253" 0 0 3 3 2 2 125
"254" 0 0 4 4 3 2 126
"255" 0 0 2.66666666666667 2 4 2 126
"256" 0 2 4 2 2 2 126
"257" 0 0 5 2 3 2 126
"258" NA 2.66307917995035 1.40969162995595 1 2 2 127
"259" 0 1 5 1 2 2 128
"260" 0 2 4 4 2 2 129
"261" 0 0 4 5 6 2 130
"262" 0 1 5 3 6 2 130
"263" 1 0 1 2 5 2 130
"264" 0 2 4 4 6 2 131
"265" 0 1 4 4 6 2 131
"266" 1 1 4 2 2 2 132
"267" 0 0 2 3 3 2 132
"268" 1 2 2 2 2 2 132
"269" 0 2 4 2 6 2 133
"270" 0 3 6 2 6 2 133
"271" 0 1 5 2 6 2 133
"272" 0 3 4 2 6 2 133
"273" 1 6 5 2 2 2 134
"274" 1 1 4 4 2 2 134
"275" 0 7 5 4 3 2 135
"276" 1 5 4 2 3 2 136
"277" 0 3 4 2 6 2 137
"278" NA 2.53180504867622 4.40969162995595 2 6 2 138
"279" 1 5 6 4 7 2 139
"280" 0 3 3 2 6 2 140
"281" 0 1 4 3 6 2 141
"282" 0 0 6 2 6 2 142
"283" 1 1 6 3 6 2 142
"284" 1 1 6 3 6 2 142
"285" 1 0 4.40969162995595 4 2 2 143
"286" 0 0 5 4 2 2 144
"287" 0 0 6 2 3 2 145
"288" 0 5 6 4 5 2 146
"289" 0 1 5 6 5 2 146
"290" 1 6 6 4 6 2 146
"291" 1 5 7 1 2 2 147
"292" 0 2 5 2 2 2 147
"293" 1 3 5 3 3 2 147
"294" 0 0 3 1 2 2 148
"295" 0 1 2 1 3 2 148
"296" 0 2.16793893129771 2 1 2 2 149
"297" 0 1 2.40969162995595 1 2 2 150
"298" 1 1 2 5 3 2 151
"299" 1 1 4 1 1 2 151
"300" 0 0 3 1 2 2 152
"301" 0 0 5 1 3 2 152
"302" 1 6 7 2 2 2 153
"303" 1 5 6 3 2 2 154
"304" 1 3 6 4 3 2 155
"305" 1 6 6 2 3 2 155
"306" 0 1 3 2 5 2 156
"307" 0 0 4 3 5 2 156
"308" NA 1.53180504867622 3.40969162995595 2 5 2 157
"309" 0 0 6 4 5 2 158
"310" 0 0 6 2 7 2 159
"311" 0 5 2 2 7 2 159
"312" 0 1 5 2 7 2 159
"313" 1 0 6 4 2 2 160
"314" 0 1 6 3 2 2 160
"315" 1 1 3 4 2 2 160
"316" 1 1 3 3 2 2 160
"317" 1 5 5 4 3 2 161
"318" 0 2 5 2 3 2 162
"319" NA 3.53180504867622 5.40969162995595 3 2 2 163
"320" 1 1 6 2 5 2 164
"321" 0 1 5 3 1 2 164
"322" 0 0 4 2 2 2 165
"323" 1 0 2 2 3 2 165
"324" 0 3 4 2 5 2 166
"325" 0 1 5 4 5 2 166
"326" 1 0 7 3 5 2 166
"327" 0 0 4 3 3 2 167
"328" 1 0 1 3 2 2 168
"329" 1 0 3 3 4 2 168
"330" 0 1 1 4 2 2 168
"331" 0 1.09756097560976 4 2 6 2 169
"332" 0 1 4 4 5 2 170
"333" 1 2 5 4 4 2 171
"334" 0 1 4 4 4 2 171
"335" NA 2.53180504867622 4.40969162995595 2 4 2 172
"336" 1 0 2 3 7 2 173
"337" 0 1 2 2 7 2 173
"338" 0 0 4 3 7 2 173
"339" NA 0.333333333333333 2 2 7 2 173
"340" 1 1 5 2 5 2 174
"341" 1 0 3 2 5 2 174
"342" 1 2 4 3 5 2 174
"343" 1 5 6 4 4 2 175
"344" 0 3 4 4 5 2 176
"345" 0 4 4 4 4 2 177
"346" 1 6 6 3 5 2 177
"347" 1 0 6 2 2 2 178
"348" 1 5 5 3 3 2 178
"349" 1 6 5 4 3 2 179
"350" 1 6 7 2 3 2 180
"351" 0 1 3.40969162995595 2 2 2 181
"352" 1 2 1.40969162995595 4 2 2 182
"353" 1 1 1.40969162995595 2 2 2 182
"354" 0 2 3.40969162995595 3 2 2 182
"355" 1 1 4 2 2 2 183
"356" 1 4 5 2 3 2 183
"357" 0 3 4 2 3 2 183
"358" 1 0 6 2 3 2 183
"359" 0 1 5 2 4 2 184
"360" 0 0 4 2 4 2 185
"361" 0 2 4 2 5 2 186
"362" 0 2 6 3 5 2 187
"363" 1 2 5 3 6 2 187
"364" NA 1.66666666666667 3.33333333333333 4 6 2 187
"365" 1 1 5 2 6 2 187
"366" 1 7 7 4 4 2 188
"367" 1 6 6 3 5 2 188
"368" 1 1 5 4 5 2 189
"369" 0 0 4 2 6 2 189
"370" 0 0 6 4 6 2 189
"371" 0 0 4 4 2 2 189
"372" 0 0 6 4 2 2 190
"373" 0 0 5 1 3 2 190
"374" 0 1 3.5 1 3 2 191
"375" 0 0 4 1 3 2 191
"376" 1 1 5 2 4 2 191
"377" 1 4 4 3 4 2 192
"378" 1 5 3 3 5 2 193
"379" 0 1 1 2 8 2 194
"380" 0 1 1 2 8 2 194
"381" 0 2 2 2 8 2 194
"382" NA 1.33333333333333 1 2 8 2 194
"383" 1 2 5 4 5 2 195
"384" 1 2 5 3 5 2 195
"385" 1 1 6 4 5 2 195
"386" 1 1 6 3 5 2 195
"387" 1 4 5 3 1 2 196
"388" 1 1 6 3 2 2 196
"389" 1 1 4 3 2 2 197
"390" NA 1 5 4 2 2 197
"391" 0 1 3 4 3 2 198
"392" 1 2 3 2 3 2 198
"393" 1 1 4 3 3 2 198
"394" 1 1 4 4 4 2 198
"395" 0 0 5 4 7 2 199
"396" 0 0 6 4 7 2 199
"397" 0 0.131274131274131 6 4 7 2 200
"398" 0 1.13127413127413 4 2 2 2 201
"399" 1 1.13127413127413 3 2 3 2 201
"400" 1 3 6 4 2 2 202
"401" 1 4 4 3 2 2 203
"402" 0 1 4 3 3 2 204
"403" 1 1 4 4 3.5 2 204
"404" 1 5 4 2 4 2 204
"405" 1 3 6 4 3 2 205
"406" 0 3 5 1 3 2 205
"407" 1 3 4 2 3 2 205
"408" 1 4 5 1 3 2 205
"409" 1 0 4 3 4 2 206
"410" 1 1 5 3 4 2 207
"411" 0 1 5 3 4 2 208
"412" NA 1 5 4 4 2 208
"413" 0 1 6 4 7 2 209
"414" 0 1 7 2 7 2 209
"415" 0 1.34103815762888 6 2 7 2 210
"416" 1 1 7 3 7 2 211
"417" 1 1 3 2 5 2 212
"418" 1 1 5 4 5 2 213
"419" 1 0 5 4 5 2 213
"420" 0 0 7 2 2 2 214
"421" 0 1 4 4 3 2 214
"422" 0 0 5 3 3 2 214
"423" 0 1 4 3 3 2 214
"424" 0 2 7 3 4 2 215
"425" 1 5 5 3 4 2 215
"426" 1 2 7 3 5 2 215
"427" 0 1 6 3 5 2 215
"428" 1 5 7 3 3 2 216
"429" 0 0 6 3 3 2 216
"430" 1 5 4 2 4 2 216
"431" 0 0 6 4 3 2 216
"432" 1 1 6 2 8 2 217
"433" 0 1 5 4 8 2 217
"434" 0 1 6 2 8 2 217
"435" 0 2 6 3 8 2 217
"436" 0 0 6 3 8 2 218
"437" 0 1 6 2 8 2 218
"438" 0 0 6 3 8 2 218
"439" 0 3 5 2 8 2 218
"440" 1 4 5 3 8 2 219
"441" 1 5 6 3 8 2 219
"442" NA 3.66666666666667 6 3 8 2 219
"443" 0 2 6 2 8 2 219
"444" 0 1 4 4 7 2 220
"445" 1 1 4 7 7 2 220
"446" 1 1 6 2 3 2 220
"447" 1 1 6 7 3 2 220
"448" 1 2 5 4 6 2 221
"449" 1 4 4.40969162995595 3 4.23664122137405 2 222
"450" 1 2 6 3 4 2 223
"451" 0 1 4 2 4 2 223
"452" 1 3 7 3 4 2 224
"453" 0 3 6 2 5 2 224
"454" 0 4 6 2 3 2 225
"455" 1 6 6 2 3 2 225
"456" 0 3 7 4 3 2 225
"457" 0 2 6 3 3 2 226
"458" 0 3 5 4 4 2 227
"459" 0 1 7 2 6 2 227
"460" 1 3 7 4 7 2 227
"461" 0 3 6 3 7 2 227
"462" 0 5 7 2 7 2 228
"463" 1 4 7 4 7 2 228
"464" 0 4 5 2 7 2 228
"465" 1 5 6 3 7 2 228
"466" 0 0 4 3 4 2 229
"467" 0 0 4 2 4 2 230
"468" 0 0 4 4 4 2 231
"469" 1 0 4 3 4 2 232
"470" 0 0 4 4 5 2 233
"471" 1 0 5 3 5 2 233
"472" NA 0 4.5 5 5 2 233
"473" 1 4 5 4 4 2 1394
"474" 1 2 5 3 4 2 1395
"475" 0 4 3 2 3 2 1396
"476" 1 5 3 2 4 2 1396
"477" 0 0 2 2 6 2 1396
"478" 1 2 4 4 3 2 1396
"479" 0 1 2 4 5 2 1397
"480" 1 3 5 2 4 2 1397
"481" NA 3.66666666666667 5.33333333333333 3 2 2 1399
"482" 1 6 6 2 3 2 1399
"483" 0 1 3 2 4 2 1399
"484" 1 4 5 3 6 2 1399
"485" 0 0 3 4 2 2 1401
"486" 0 2 5 4 3 2 1401
"487" 0 1 4 2 4 2 1401
"488" 0 1 4 3 5 2 1401
"489" 1 0 2 2 4 2 1402
"490" 1 1 4 2 4 2 1402
"491" NA 0.5 3 2 6 2 1402
"492" 0 4 5 1 2 2 1403
"493" 0 2 5 1 3 2 1403
"494" 1 1 4 3 5 2 1404
"495" 1 6 5 6 6 2 1405
"496" 0 2.57831325301205 3 2 5 2 1406
"497" 0 1 4 2 2 2 1407
"498" 1 6 5 2 3 2 1408
"499" 0 3 5 3 5 2 1408
"500" 1 5 5 2 3 2 1409
"501" 0 2 5 2 2 2 1409
"502" 0 2 4 2 3 2 1410
"503" 0 3 3 2 6 2 1410
"504" NA 1.9482922451796 2.34883720930233 2 2 3 234
"505" 1 1.13278008298755 2.34883720930233 4 2 3 235
"506" 0 0 2.34883720930233 3 2 3 236
"507" 0 0 1.34883720930233 2 7 3 237
"508" NA 0 1.34883720930233 2 7 3 237
"509" NA 0 1.34883720930233 2 7 3 237
"510" 0 0 1.34883720930233 4 7 3 237
"511" 1 0 1.34883720930233 2 8 3 238
"512" 0 0 2.34883720930233 1 8 3 238
"513" 0 4 1.34883720930233 2 8 3 238
"514" 0 0 1.34883720930233 2 8 3 238
"515" 1 2 4 2 4 3 239
"516" 0 0 6 3 4 3 240
"517" 1 0 5 3 4 3 240
"518" 0 1 7 3 5 3 240
"519" NA 0 4 3 2 3 241
"520" 0 0 3 3 3 3 241
"521" 0 0 1.34883720930233 3 3 3 242
"522" 0 0 5 3 2 3 243
"523" 0 0 3 2 7 3 244
"524" 0 0 2 2 7 3 244
"525" 0 0 5 2 7 3 244
"526" 0 0 1.33333333333333 1 7 3 244
"527" NA 1.9482922451796 3.34883720930233 5 2 3 245
"528" 0 5 6 3 4 3 246
"529" 1 2 6 4 5 3 246
"530" 0 3 3 2 5 3 246
"531" 0 1 4 2 2 3 247
"532" 1 1 4 2 2 3 247
"533" 1 2 4 2 2 3 248
"534" 0 0 5 2 2 3 248
"535" 0 3 3 7 5 3 248
"536" 0 1 4 4 3 3 249
"537" 0 1.13278008298755 2 1 2 3 250
"538" 0 1.13278008298755 5 4 3 3 250
"539" 0 1.152466367713 1.34883720930233 2 2 3 251
"540" 1 7 3 2 5 3 252
"541" 1 5 4 4 5 3 252
"542" 1 4 6 7 6 3 252
"543" 1 4 3 4 6 3 252
"544" 1 8 4 2 7 3 253
"545" 1 4 5 4 7 3 254
"546" 1 4.43303571428571 5 3 7 3 255
"547" 0 1 3 2 7 3 256
"548" 1 0 3 4 6 3 256
"549" 0 0 5 4 6 3 256
"550" 0 0 5 1 6 3 256
"551" 1 2 4 4 6 3 257
"552" 1 2 6 4 5 3 257
"553" 0 4 3 1 5 3 258
"554" 0 1 4 2 5 3 258
"555" 1 4 6 3 5 3 258
"556" 1 1 7 3 3 3 259
"557" 0 2 7 3 4 3 259
"558" 1 0.407894736842105 4 4 4 3 260
"559" 0 1 7 2 5 3 261
"560" 0 1 3 2 3 3 262
"561" 0 0 2 2 2 3 263
"562" 0 0 3 4 3 3 263
"563" 1 3.43303571428571 3 2 7 3 264
"564" 1 4 3 5 7 3 265
"565" 1 4 2.34883720930233 3 7 3 266
"566" 1 5 2 4 7 3 267
"567" 1 6 6 2 2 3 268
"568" 0 5 3 2 3 3 268
"569" 1 3 3 2 3 3 268
"570" 1 5.66666666666667 4 2 3 3 268
"571" 1 0 2 3 5 3 269
"572" 1 1 4 2 3 3 269
"573" 0 2 6 4 7 3 270
"574" 0 1 4 2 7 3 270
"575" 0 0 6 2 7 3 270
"576" 0 2 7 1 7 3 270
"577" 0 0 6 2 3 3 271
"578" 0 4 6 4 4 3 272
"579" 1 2 6 3 4 3 273
"580" 0 1 6 2 4 3 274
"581" 0 3 6 2 4 3 275
"582" NA 1.9482922451796 3.34883720930233 2 4 3 276
"583" 0 5 6 2 5 3 277
"584" 0 3 6 2 5 3 277
"585" 1 4.43303571428571 3 2 6 3 278
"586" NA 0 5 4 6 3 279
"587" 1 0 3 4 6 3 279
"588" 1 3 3 4 7 3 280
"589" 0 5.20624947074265 5 2 6 3 281
"590" 0 2 3 2 6 3 282
"591" 0 1 6 2 6 3 282
"592" NA 1.9482922451796 4.34883720930233 2 6 3 283
"593" 1 1 6 4 3 3 284
"594" 0 1 3 4 3 3 284
"595" 0 4 4 1 3 3 284
"596" 1 3 6 2 3 3 285
"597" 0 1 3 1 3 3 286
"598" NA 1 4 2 3 3 287
"599" 0 1 5 4 3 3 287
"600" 0 1 4 2 3 3 287
"601" 1 4 6 4 5 3 288
"602" 1 5 3 4 5 3 288
"603" 0 6.66666666666667 6 3 6 3 288
"604" 1 6 4 2 6 3 288
"605" 0 0 5 2 2 3 289
"606" 0 3 3 2 3 3 289
"607" 1 2 5 4 4 3 290
"608" 1 4 3 4 4 3 291
"609" NA 7 3 4 4 3 292
"610" 0 7 4 4 4 3 292
"611" 1 5 5 2 2 3 293
"612" 1 4 3 2 2 3 293
"613" 1 0 5 4 3 3 294
"614" 1 1 4 2 3 3 295
"615" 1 4 5 2 3 3 295
"616" 1 3 4 2 3 3 295
"617" 1 0 6 3 2 3 296
"618" 0 2 5 1 3 3 297
"619" 0 8 2 4 2 3 298
"620" 1 3 5 4 3 3 299
"621" 1 2 5 4 4 3 299
"622" NA 2 3.33333333333333 2 6 3 299
"623" 1 1 4 4 6 3 299
"624" 0 2 6 2 5 3 300
"625" 0 2 6 2 6 3 300
"626" 0 4 7 3 6 3 300
"627" 1 4 7 3 6 3 300
"628" 1 7 3 4 5 3 301
"629" 1 3.43303571428571 6 4 5 3 302
"630" 1 5 4 4 6 3 303
"631" 1 1 3 4 6 3 304
"632" 1 1 3 2 6 3 304
"633" 0 2 6 4 6 3 304
"634" 0 2 5 4 6 3 304
"635" 1 0.671052631578947 5 2 2 3 305
"636" 1 6 6 4 2 3 306
"637" 0 3 3 4 2 3 307
"638" 1 6 6 2 2 3 308
"639" 0 3 2 2 6 3 309
"640" 1 6 4 3 6 3 310
"641" 1 3 4 4 6 3 310
"642" NA 1 3 4 3 3 311
"643" NA 1 2 3 4 3 311
"644" 0 1 2 2 2 3 311
"645" NA 1 2 3 4 3 311
"646" 1 2 5 2 5 3 312
"647" 0 0 4 3 5 3 312
"648" 0 1 5 2 5 3 312
"649" 0 1 6 2 6 3 312
"650" 1 0 4 2 7 3 313
"651" 0 1 4 3 7 3 313
"652" 0 1 4 3 7 3 313
"653" 1 4 5 3 5 3 313
"654" 1 6.152466367713 4 3 5 3 314
"655" 1 5 3 2 5 3 315
"656" 0 5 6 3 5 3 316
"657" 1 2 5 4 2 3 317
"658" 1 0 6 4 2 3 317
"659" 1 0 6 4 2 3 318
"660" 0 1 7 2 4 3 318
"661" 1 1 5 2 4 3 319
"662" NA 1.9482922451796 4.34883720930233 2 4 3 320
"663" NA 1.9482922451796 3.34883720930233 2 4 3 320
"664" 1 1 6 3 4 3 321
"665" 0 1 4 4 5 3 322
"666" 1 1 4 4 5 3 323
"667" 1 1 3 4 5 3 324
"668" 1 5 4 4 5 3 325
"669" 0 0 5 3 5 3 325
"670" 1 5 5 3 5 3 325
"671" 0 2 6 3 5 3 326
"672" 1 1 6 3 2 3 327
"673" 1 1 5 3 2 3 327
"674" 1 1 5 3 2 3 327
"675" 1 2 7 3 2 3 327
"676" 1 2 3 3 4 3 328
"677" 1 0 4 5 4 3 329
"678" 1 3 3 5 4 3 329
"679" 1 7 4 4 5 3 330
"680" 1 5 3 4 5 3 330
"681" 1 5 3 2 5 3 330
"682" 1 6 3 4 5 3 330
"683" 0 4 3 1 6 3 331
"684" 1 4 3 4 6 3 332
"685" 0 2 4 4 4.43265306122449 3 333
"686" 1 2 6 2 2 3 334
"687" 1 0 4 1 2 3 334
"688" 0 3 5 3 2 3 334
"689" 1 2 6 3 2 3 334
"690" 0 1 3 3 3 3 335
"691" 1 3 3 1 3 3 335
"692" 1 0 4 2 3 3 335
"693" 0 0 3 3 3 3 336
"694" 0 1 6 3 8 3 337
"695" 0 0 4 2 8 3 337
"696" NA 1.9482922451796 6.34883720930233 2 8 3 338
"697" 0 2 6 2 5 3 339
"698" 1 3 3 2 4 3 339
"699" 0 4 3 3 5 3 339
"700" 1 5 5 3 5 3 339
"701" 1 4 4 4 3 3 340
"702" 0 3 5 5 4 3 341
"703" 0 4.152466367713 3 4 5 3 342
"704" 0 4 3 2 6 3 343
"705" 1 3 4 4 6 3 344
"706" 0 2 5 3 6 3 344
"707" 1 2 3 4 6 3 344
"708" 0 1 6 4 6 3 344
"709" 0 0 4 4 3 3 345
"710" 0 1 4 4 3 3 345
"711" 1 1 4 4 4 3 345
"712" 0 2 3 4 4 3 345
"713" 1 3 4 4 6 3 346
"714" 1 1 4 4 3 3 347
"715" 0 2 4 2 2 3 348
"716" 1 6 5 3 2 3 349
"717" 0 3 4 4 3 3 349
"718" 1 4 5 3 4 3 349
"719" 1 5 4 4 5 3 349
"720" 0 0 4 3 5 3 350
"721" 0 1 4 3 5 3 350
"722" 0 0 4 4 5 3 351
"723" 1 2 4 2 2 3 352
"724" 1 1 5 4 2 3 352
"725" 1 2 4 4 3 3 353
"726" 1 3 4 4 3 3 354
"727" 1 1 6 1 5 3 355
"728" 1 5.13278008298755 4 3 6 3 356
"729" 1 2 7 4 6 3 357
"730" 1 6 4 4 6 3 358
"731" 0 1 3 4 2 3 359
