"vote","pid"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
