"","y","dist100","arsenic","educ4","assoc"
"117",1,0.469560012817383,2.29,0.75,1
"118",1,0.242099990844727,1.6,1,1
"119",1,0.432900009155273,0.82,1.25,0
"120",1,0.251469993591309,1.44,2.5,0
"121",1,0.146040000915527,0.97,0,0
"122",0,0.0140100002288818,0.89,2,0
"123",1,0.0821000003814697,1.39,3,0
"124",1,0.188680000305176,0.83,0,0
"125",1,0.234009990692139,0.57,0,0
"126",1,0.185319995880127,1.47,2.25,1
"127",1,0.362869987487793,1.11,2.5,0
"128",1,0.404980010986328,2.38,3,0
"129",0,0.905709991455078,3.97,0,0
"130",1,1.15157997131348,3.51,0.75,1
"131",0,1.12762001037598,3.69,0,1
"132",1,0.934309997558594,2.95,0,1
"133",0,0.972170028686523,3.21,0,0
"134",1,0.883450012207031,3.65,0,1
"135",1,0.411040000915527,4.42,1.25,1
"136",1,0.462400016784668,4.12,0.75,0
"137",1,0.653539962768555,3.62,0.75,1
"138",1,0.437350006103516,3.8,0.5,1
"139",1,0.615709991455078,4.46,1.25,0
"140",1,0.784150009155273,4.04,0,1
"141",1,0.635019989013672,3.32,1.25,0
"142",0,0.692689971923828,2.07,1.25,1
"143",1,0.579290008544922,1.43,1.5,1
"144",1,0.853870010375977,2.3,1.25,0
"145",1,1.10609001159668,1.41,1.25,0
"146",1,1.1148999786377,2.34,0,1
"147",1,1.76197006225586,1.5,0,0
"148",0,1.72108001708984,1.44,0,0
"149",0,1.77802993774414,1.54,0,0
"150",1,0.226709995269775,1.35,0,1
"151",1,0.278810005187988,0.54,1.25,1
"152",1,0.192600002288818,1.17,2,0
"153",0,0.245,1.02,0,0
"154",1,0.0663299989700317,1.11,1.25,0
"155",0,0.0704099988937378,0.52,2.5,0
"156",0,0.303139991760254,0.56,2,1
"157",1,0.219790000915527,0.61,0,1
"158",1,0.104580001831055,2.17,1.25,1
"159",0,0.749990005493164,0.61,1.25,0
"160",1,0.819710006713867,0.96,0.75,1
"161",1,0.921760025024414,0.94,1.25,1
"162",1,1.06608001708984,0.93,0.75,1
"163",0,1.03060997009277,1.02,1,1
"164",0,0.866050033569336,1.24,0,0
"165",0,1.10561996459961,1.42,1.25,0
"166",0,1.22325996398926,1.31,1.25,0
"167",0,1.22018997192383,0.83,0,0
"168",0,0.57632999420166,2.64,0.5,1
"169",0,0.395960006713867,1.84,1.25,0
"170",0,0.39515998840332,2.48,0,0
"171",0,0.215550003051758,1.27,2.5,0
"172",0,0.517480010986328,0.69,0,0
"173",1,0.135209999084473,0.61,1.25,1
"174",0,0.314540004730225,0.89,1.25,0
"175",1,0.894309997558594,0.75,1.25,0
"176",0,0.192639999389648,0.81,0,1
"177",0,0.533629989624023,1.81,2.25,1
"178",0,0.30128999710083,1.25,0,1
"179",1,0.27136999130249,1.12,2.25,1
"180",1,0.287119998931885,0.71,0,1
"181",1,0.206399993896484,2.16,0,1
"182",1,0.3675,1.7,1.25,0
"183",1,0.496800003051758,1.84,1.25,0
"184",0,1.02710998535156,1.26,0,1
"185",0,1.08615997314453,2.53,0,1
"186",0,0.964359970092773,2.95,0,0
"187",0,1.00861000061035,0.62,0,0
"188",1,1.37899993896484,3.01,2.5,0
"189",0,1.24670997619629,2.56,1.25,1
"190",1,1.51065994262695,1.97,2.5,0
"191",0,1.21575996398926,1.2,1.25,1
"192",0,0.328499984741211,0.89,0,0
"193",0,0.0854699993133545,0.52,2.5,0
"194",1,0.279740009307861,2.49,1,0
"195",1,0.294580001831055,1.25,0,0
"196",0,0.196599998474121,1.13,1.25,1
"197",1,0.477089996337891,1.13,3,0
"198",1,0.715230026245117,0.52,2.5,0
"199",1,0.671760025024414,0.88,2.5,1
"200",0,0.699670028686523,3.48,1.25,0
"201",0,0.835719985961914,0.56,2.5,0
"202",0,0.714250030517578,1.35,1.25,0
"203",1,0.714250030517578,1.67,0,0
"204",0,0.714250030517578,1.92,2.5,0
"205",0,1.90287994384766,2.41,1.75,0
"206",0,1.86304992675781,2.36,1.25,0
"207",0,2.18300003051758,2.41,0,0
"208",1,0.535439987182617,1.46,3.5,0
"209",1,0.636020011901855,2,0,0
"210",1,0.674929962158203,1.32,1.25,0
"211",1,0.667360000610352,1.75,1.25,0
"212",1,0.479959983825684,1.84,0,0
"213",0,0.544160003662109,1.72,1.25,0
"214",0,0.94722999572754,1.77,1.25,0
"215",1,0.707740020751953,2.77,1.75,0
"216",1,0.112489995956421,0.73,0,1
"217",1,0.0488000011444092,0.69,0,1
"218",0,0.181429996490479,0.58,1.25,1
"219",1,0.157790002822876,0.52,3,1
"220",1,0.00386999994516373,0.62,1.25,1
"221",1,0.149650001525879,3.33,1.25,1
"222",0,0.246770000457764,0.51,0,0
"223",0,0.175069999694824,1.26,0,1
"224",1,0.228819999694824,0.6,1.25,0
"225",1,0.067960000038147,0.59,1.25,0
"226",1,0.08996000289917,0.66,0,1
"227",1,0.0240899991989136,0.74,0,1
"228",1,0.0930599975585938,0.71,0,1
"229",1,0.21996000289917,0.86,1.75,1
"230",0,0.140769996643066,0.51,2.5,0
"231",1,0.296490001678467,0.58,1.25,1
"232",0,0.113769998550415,0.55,1.25,0
"233",1,0.295410003662109,1.26,0,0
"234",0,0.33367000579834,0.52,2.5,0
"235",0,0.267150001525879,0.83,2.5,0
"236",0,0.211180000305176,0.57,1.25,0
"237",0,0.714820022583008,0.53,0,0
"238",0,0.716370010375977,0.67,0,1
"239",1,0.238309993743896,3.5,1.25,0
"240",1,0.0572800016403198,2.8,3,1
"241",1,0.158149995803833,0.77,1.25,1
"242",1,0.325870018005371,0.74,1.25,1
"243",1,0.401310005187988,0.77,2.5,0
"244",1,0.496380004882812,1.58,0.5,1
"245",1,0.24886999130249,0.8,2.5,0
"246",0,0.476710014343262,0.55,0,1
"247",1,0.565909996032715,0.9,2.5,1
"248",0,0.741169967651367,0.52,2,0
"249",1,0.818489990234375,2.59,0,1
"250",1,0.860940017700195,1.27,2,1
"251",0,0.718059997558594,0.97,3.5,0
"252",0,0.617449989318848,1.47,1,1
"253",0,0.250450000762939,1.03,3,0
"254",0,0.199290008544922,0.93,0.5,1
"255",0,0.501189994812012,0.79,2.5,0
"256",0,0.538160018920898,0.66,1.25,1
"257",0,0.335029983520508,0.85,2.5,1
"258",0,0.583559989929199,0.93,1.25,0
"259",0,0.179540004730225,1.42,3,0
"260",0,0.280270004272461,0.75,1,0
"261",0,0.316679992675781,1.46,2,0
"262",0,0.344370002746582,1.16,1.25,0
"263",0,0.509519996643066,1.17,3.75,0
"264",1,0.607529983520508,0.83,0,1
"265",1,0.748769989013672,1.24,1.25,0
"266",1,0.579599990844727,3.08,1.25,0
"267",1,0.616240005493164,3.59,0,0
"268",1,0.760660018920898,1.96,1.75,0
"269",1,1.05866996765137,1.67,1.25,0
"270",0,1.12675003051758,1.69,0,0
"271",0,1.97134994506836,2.71,1.25,1
"272",0,3.04096984863281,1.27,1.25,1
"273",0,3.39531005859375,1.43,1,0
"274",0,0.702710037231445,1,1.25,0
"275",0,0.927440032958984,0.52,1.25,0
"276",0,0.559210014343262,0.65,2.25,0
"277",0,0.508289985656738,0.7,0,1
"278",0,0.37601001739502,0.51,0,0
"279",0,0.179309997558594,1.02,0,0
"280",1,0.118170003890991,2.05,1.25,0
"281",1,0.187970008850098,0.77,0,1
"282",1,0.175750007629395,1.2,1.25,0
"283",1,0.22443000793457,0.62,1.25,0
"284",1,0.270259990692139,1.31,1.25,1
"285",1,0.171399993896484,1.79,0,0
"286",1,0.254540004730225,0.56,0,0
"287",1,0.45576000213623,0.77,1.25,0
"288",1,0.527610015869141,0.66,0,0
"289",1,0.305410003662109,1.1,0,0
"290",1,0.163990001678467,0.82,1.25,1
"291",1,0.293190002441406,2.22,1.25,0
"292",1,0.360610008239746,2.82,0,1
"293",0,0.226070003509521,0.64,1.5,0
"294",1,0.271410007476807,1.26,1.5,1
"295",1,0.0944699954986572,1.53,1.25,1
"296",1,0.1669700050354,1.8,0,0
"297",1,0.504770011901855,1.24,2,1
"298",0,0.0922399997711182,0.93,1.25,0
"299",1,0.0693100023269653,0.54,1.5,1
"300",1,0.272919998168945,0.82,1.25,0
"301",1,0.252950000762939,0.61,1.25,0
"302",0,0.527120018005371,0.71,1.25,1
"303",1,0.517290000915527,0.81,1,0
"304",1,0.685719985961914,0.65,1,1
"305",1,0.236790008544922,0.68,0,1
"306",1,0.452019996643066,1.26,2.25,1
"307",1,0.0916899967193604,0.92,1.25,0
"308",1,0.16371000289917,1.25,0,1
"309",1,0.194169998168945,1.16,1.25,0
"310",1,0.577929992675781,0.76,1.25,1
"311",1,0.432719993591309,1.2,2.5,0
"312",0,0.198400001525879,0.9,2.25,0
"313",1,0.0517999982833862,0.52,1.25,0
"314",1,0.42685001373291,0.53,2,0
"315",0,0.0516200017929077,0.64,2,1
"316",1,0.389640007019043,1.96,2.5,1
"317",1,0.580979995727539,0.59,2.25,0
"318",1,0.615900001525879,1.48,2.25,0
"319",1,0.325940017700195,1.78,0,0
"320",1,0.301639995574951,1.41,1.25,0
"321",1,0.185219993591309,1.5,1.25,0
"322",1,0.247749996185303,1.86,3,0
"323",1,0.354360008239746,1.6,1.25,1
"324",1,0.313409996032715,0.7,2.5,0
"325",0,0.155710000991821,0.51,1.25,1
"326",1,0.271730003356934,2.48,0,0
"327",1,0.490340003967285,0.63,2.5,0
"328",1,1.35320007324219,1.07,0,1
"329",0,0.377779998779297,0.71,1.75,0
"330",1,0.0377900004386902,1.12,2,1
"331",0,0.491689987182617,0.53,0,0
"332",0,0.507239990234375,0.58,0,1
"333",1,0.262169990539551,1.31,3,0
"334",1,0.209139995574951,1.49,3,0
"335",1,0.0331200003623962,0.86,1.25,0
"336",1,0.357150001525879,0.64,2.5,0
"337",1,0.522919998168945,1.44,0,0
"338",0,0.601459999084473,1.52,1.25,0
"339",1,0.444609985351562,1.27,0,0
"340",0,0.700220031738281,2.17,0,1
"341",0,0.958079986572266,1.73,1.25,0
"342",1,1.21763999938965,1.93,2.25,0
"343",1,1.2756600189209,2.2,1.25,0
"344",1,1.2015299987793,1.6,2,0
"345",1,0.662149963378906,1.65,0,0
"346",0,0.549729995727539,0.81,0,1
"347",0,0.732149963378906,1.86,1.25,0
"348",0,0.333660011291504,1.93,1.25,1
"349",1,0.873140029907227,1.9,1.25,0
"350",0,0.953089981079102,4.06,1.25,0
"351",1,1.28095001220703,4.03,0.75,1
"352",1,1.09777000427246,1.56,2.5,0
"353",0,1.38578994750977,2.53,0,0
"354",0,1.62264007568359,3.41,0,0
"355",0,1.55785995483398,2.21,0,0
"356",0,1.05651000976562,2.92,1.25,0
"357",0,0.939619979858398,2.06,1.25,0
"358",1,0.721019973754883,3.89,1.25,0
"359",1,0.55548999786377,2.88,0,0
"360",0,0.496959991455078,1.39,0,0
"361",1,0.455110015869141,2.07,2.5,0
"362",0,0.505820007324219,1.46,0,0
"363",1,0.812060012817383,1.51,1.25,0
"364",0,0.957710037231445,3.23,1.25,0
"365",1,0.765080032348633,4.21,1.25,0
"366",1,0.566380004882812,2.49,1.25,0
"367",1,0.389819984436035,0.78,0,1
"368",1,0.308369998931885,2.32,0,0
"369",1,0.607190017700195,1.43,1.75,0
"370",1,0.296009998321533,1.71,0,0
"371",1,0.771350021362305,1.99,1.25,0
"372",1,0.95099998474121,2.48,0,0
"373",1,0.503930015563965,4.29,2.5,1
"374",1,0.497210006713867,3.88,0,0
"375",1,0.725299987792969,3.04,0,1
"376",1,0.256770000457764,3.36,2.5,1
"377",1,0.0802400016784668,3.44,2.5,1
"378",0,0.636790008544922,1.38,1.25,0
"379",0,0.53314998626709,1.9,2.5,0
"380",1,0.459780006408691,2.79,0,0
"381",1,0.696179962158203,3.73,2.5,0
"382",1,0.722170028686523,2.04,0,0
"383",1,0.555519981384277,2.09,0,0
"384",1,0.813789978027344,2.63,0,1
"385",1,0.811320037841797,3.3,0,1
"386",1,0.517089996337891,3.25,1.5,0
"387",1,0.557789993286133,1.53,1.25,0
"388",1,0.269729995727539,2.6,1.25,0
"389",1,0.282150001525879,2,0,0
"390",1,0.719609985351562,2.82,0,1
"391",1,0.755260009765625,2.56,0,0
"392",0,0.450699996948242,3.62,0,0
"393",1,0.806800003051758,5.25,0,0
"394",1,0.969400024414062,1.59,0,0
"395",1,1.15327003479004,2.21,0,0
"396",1,1.08546997070312,2.42,0.75,0
"397",1,0.86936996459961,2.36,0,0
"398",1,0.941419982910156,1.22,0,0
"399",1,0.818960037231445,3.93,0,1
"400",0,0.549599990844727,4.93,0,0
"401",1,0.466100006103516,1.91,0,0
"402",1,0.680739974975586,2.33,0,0
"403",1,1.02398002624512,2.18,0,0
"404",1,1.07369003295898,4.77,0,1
"405",1,0.848840026855469,3.79,0,0
"406",1,0.84890998840332,3.48,0,0
"407",0,0.586829986572266,3.02,0,0
"408",1,0.683140029907227,2.71,1.75,1
"409",1,0.387809982299805,2.34,0,0
"410",1,0.817580032348633,3.15,0,1
"411",1,1.02953002929688,2.56,1.25,1
"412",1,1.07480003356934,3.34,3,0
"413",1,1.2009400177002,2.32,2.5,1
"414",1,1.35,3.62,2.5,1
"415",1,0.717730026245117,1.02,0,0
"416",1,0.331969985961914,3.26,0,1
"417",1,0.470120010375977,1.61,1.75,1
"418",1,0.603619995117188,1.16,0,1
"419",0,1.28848999023438,1.01,0,1
"420",0,1.44070999145508,0.67,2.25,1
"421",0,1.10425003051758,3.17,1.25,0
"422",0,1.13009002685547,2.44,0,1
"423",0,0.789759979248047,2.26,1.75,0
"424",1,0.529300003051758,1.65,1.75,1
"425",1,0.140050001144409,3.86,1.25,0
"426",1,0.184769992828369,3.32,1.25,1
"427",1,0.619570007324219,3.19,0,0
"428",1,0.660640029907227,3.42,2.5,1
"429",1,0.603120002746582,1.66,0,0
"430",1,0.749209976196289,3.35,2.25,0
"431",1,0.73838996887207,3.09,0,0
"432",1,0.611720008850098,3.59,0,0
"433",1,0.108090000152588,3.88,0,1
"434",1,0.659029998779297,2.94,2.5,1
"435",1,0.345279998779297,0.95,1.25,1
"436",1,0.639090003967285,2.6,2.25,0
"437",1,0.748489990234375,3.24,2.25,0
"438",1,0.815550003051758,3.32,0,0
"439",1,0.66436996459961,3.26,1.25,0
"440",1,0.604589996337891,3.27,0,0
"441",1,0.434850006103516,3.4,0,0
"442",1,1.1644100189209,2.91,1.25,0
"443",1,0.848740005493164,1.48,2.5,0
"444",1,0.622919998168945,4.35,0,0
"445",1,0.701029968261719,1.87,1.25,0
"446",1,0.605610008239746,3.01,1.25,0
"447",0,0.452120018005371,3.05,0,0
"448",1,0.496980018615723,2.62,2.5,0
"449",1,0.324490013122559,3.26,3,0
"450",1,0.470190010070801,1.92,0,1
"451",1,0.626189994812012,3.44,1.25,0
"452",1,0.301790008544922,2.57,2,0
"453",1,0.476469993591309,2.97,2.25,1
"454",0,0.520989990234375,2.95,2.25,1
"455",1,0.950739974975586,2.28,1.25,0
"456",1,0.807030029296875,3.17,3.5,0
"457",1,0.80427001953125,3.69,1.25,0
"458",0,0.815830001831055,3.08,1.25,1
"459",1,0.473390007019043,2.86,1.25,1
"460",0,0.449500007629395,1.95,1.25,1
"461",1,0.297140007019043,1.78,0,0
"462",0,0.455540008544922,2.2,1.25,0
"463",1,0.315550003051758,1.71,1.25,0
"464",0,0.582239990234375,3.86,0,0
"465",1,0.408349990844727,3.45,1.5,0
"466",1,0.478460006713867,3.97,1.75,0
"467",1,0.0977299976348877,1.39,0,0
"468",0,1.85205001831055,4.81,0,0
"469",1,0.82625,2.08,1,0
"470",0,1.12705001831055,2.49,1.25,1
"471",0,0.980289993286133,1.83,0,1
"472",0,1.12143997192383,1.24,0,1
"473",0,1.33436004638672,1.38,2.5,0
"474",0,1.63552001953125,1.54,0,0
"475",0,0.181469993591309,0.53,0,0
"476",0,0.272450008392334,0.9,1.25,1
"477",0,0.158889999389648,2.04,0.75,1
"478",1,0.0521600008010864,0.61,1.25,0
"479",0,0.112740001678467,0.55,1.5,0
"480",0,0.0922000026702881,0.52,1.25,0
"481",0,0.236760005950928,0.77,0,1
"482",0,0.236760005950928,0.67,0,1
"483",0,0.355029983520508,0.67,1.25,1
"484",0,0.311100006103516,0.64,0,0
"485",0,0.244349994659424,0.57,0,0
"486",1,0.244349994659424,0.76,0,1
"487",1,0.244349994659424,0.75,0,1
"488",1,0.244349994659424,0.9,1.25,1
"489",0,0.244349994659424,0.62,3,1
"490",1,0.235179996490479,2.26,0.5,1
"491",1,0.301359996795654,1.23,0.75,1
"492",0,0.28386999130249,1.21,0,1
"493",1,0.0613600015640259,2.33,2.5,0
"494",0,0.0613600015640259,1.2,0,1
"495",1,0.244349994659424,2.38,3,0
"496",1,0.244349994659424,2.82,3,0
"497",0,0.0613600015640259,3.29,0,1
"498",0,0.0613600015640259,1.52,1.25,1
"499",0,0.557830009460449,0.54,0.75,1
"500",0,0.116079998016357,0.86,1.25,1
"501",1,0.197129993438721,2.3,0,0
"502",1,0.241749992370605,1.67,0,1
"503",0,0.0371499991416931,2.3,1.25,1
"504",1,0.308309993743896,0.86,3.5,0
"505",0,0.125640001296997,0.53,2,1
"506",0,0.125640001296997,1.63,1.25,1
"507",0,0.125640001296997,2.05,1.75,1
"508",0,0.586510009765625,1.71,0,1
"509",0,0.451430015563965,0.54,0,0
"510",1,0.0632800006866455,1.47,0.5,0
"511",1,0.0632800006866455,0.73,1.25,0
"512",1,0.0632800006866455,0.61,3,0
"513",1,0.0632800006866455,0.59,0,1
"514",1,0.24132999420166,0.86,1.25,0
"515",0,0.943470001220703,3.53,1.25,1
"516",0,0.764860000610352,3.68,1.25,0
"517",0,0.572270011901855,0.93,1.5,0
"518",0,0.456100006103516,0.58,3,0
"519",1,0.433819999694824,1.22,0.5,0
"520",0,0.063289999961853,1.24,4,0
"521",0,0.230990009307861,0.59,0,1
"522",0,0.163579998016357,1.67,0,0
"523",0,0.257110004425049,1.16,2.5,1
"524",0,0.474879989624023,1.1,0,1
"525",0,0.0340700006484985,0.72,0.75,0
"526",0,0.0535799980163574,1.01,0,1
"527",0,0.625019989013672,1.08,0.5,1
"528",0,0.278700008392334,1.03,0,1
"529",1,0.48234001159668,0.58,0.5,1
"530",0,0.317819995880127,0.51,3.5,1
"531",1,0.0325200009346008,0.64,1.75,1
"532",1,0.0325200009346008,2.38,3.5,1
"533",0,0.0325200009346008,1.53,1.25,1
"534",1,0.0325200009346008,2.72,2,1
"535",1,0.0325200009346008,3.84,0,0
"536",0,0.0325200009346008,0.92,1.25,1
"537",0,0.0325200009346008,0.64,0,1
"538",0,0.136669998168945,0.56,0.75,1
"539",1,0.21173999786377,0.56,0,1
"540",0,0.127790002822876,3.55,0,0
"541",0,0.503660011291504,0.55,0,1
"542",1,0.294990005493164,0.58,0,1
"543",0,0.343089981079102,0.57,0,0
"544",0,0.04875,0.53,0,1
"545",1,0.157910003662109,0.64,0,0
"546",0,0.161350002288818,0.56,0,1
"547",0,0.0717899990081787,0.71,0,1
"548",0,0.202040004730225,0.75,0,0
"549",0,0.212639999389648,0.69,1.25,0
"550",0,0.327970008850098,0.82,1,1
"551",0,0.27951000213623,0.93,0.75,0
"552",0,0.335779991149902,0.52,0,1
"553",1,0.148050003051758,0.57,0.75,0
"554",0,0.111949996948242,0.69,0,0
"555",0,0.102040004730225,0.51,1.25,0
"556",1,0.211499996185303,0.82,1,1
"557",1,0.158280000686646,0.7,1.25,0
"558",1,0.0856700038909912,0.96,3,1
"559",1,0.147709999084473,0.53,1.25,1
"560",0,0.388400001525879,0.72,1.25,1
"561",0,0.332080001831055,0.68,1.25,1
"562",0,0.0753200006484985,0.81,1.25,1
"563",0,0.387280006408691,0.7,3,1
"564",1,0.0412200021743774,1.04,0.75,1
"565",1,0.24431999206543,2.72,1.5,1
"566",1,0.243589992523193,1.24,1,1
"567",1,0.0819600009918213,0.6,0.75,0
"568",1,0.0390799999237061,0.71,0.5,1
"569",0,0.0900599956512451,2.66,1.25,0
"570",1,0.222210006713867,1.5,0.5,1
"571",1,0.183390007019043,1.83,0.5,1
"572",1,0.141400003433228,0.51,1.25,1
"573",0,0.193969993591309,0.95,3,1
"574",0,0.25007999420166,0.61,0.75,1
"575",0,0.321269989013672,1.13,1,1
"576",1,0.184160003662109,3.26,1,0
"577",1,0.16636999130249,1.17,1,1
"578",1,0.229549999237061,0.68,0.75,1
"579",1,0.152950000762939,0.52,1,1
"580",1,0.233640003204346,0.66,1.25,0
"581",0,0.470260009765625,0.51,1.25,0
"582",0,0.361080017089844,1.21,1,0
"583",0,0.869789962768555,0.59,1,0
"584",1,0.389039993286133,0.99,0,0
"585",1,0.193239994049072,0.66,2.25,1
"586",0,0.0164600002765656,0.51,3,1
"587",1,0.185930004119873,1.15,0,1
"588",0,0.200510005950928,0.68,1.25,1
"589",0,0.118299999237061,0.53,3,1
"590",0,0.333040008544922,0.63,1.25,1
"591",1,0.0802099990844727,2.05,1.25,1
"592",0,0.198159999847412,0.73,0,0
"593",0,0.212679996490479,0.91,1,1
"594",0,0.17492000579834,0.82,1.25,1
"595",0,0.297140007019043,0.67,1,1
"596",1,0.257859992980957,0.85,0.75,0
"597",0,0.238950004577637,0.81,1,0
"598",0,0.11581000328064,0.59,1.25,1
"599",0,0.268500003814697,0.65,2.25,1
"600",0,0.135780000686646,0.53,3.5,1
"601",0,0.257000007629395,0.58,2.5,1
"602",0,0.120699996948242,0.56,2.5,1
"603",0,0.0769399976730347,0.95,2,0
"604",0,0.221550006866455,0.61,2,0
"605",0,0.0882800006866455,0.72,2.25,0
"606",1,0.196439990997314,0.7,3,1
"607",0,0.363930015563965,0.58,2.25,0
"608",0,0.390589981079102,1.03,2,1
"609",1,0.51890998840332,0.67,0,0
"610",1,0.305520000457764,0.57,2,0
"611",0,0.343050003051758,0.85,1.5,1
"612",1,0.403930015563965,0.72,2,1
"613",1,0.168129997253418,0.78,2,1
"614",0,0.261979999542236,0.52,2.5,0
"615",0,0.116999998092651,0.54,1.25,1
"616",0,0.514659996032715,0.61,1,1
"617",1,1.3177099609375,1.1,3,1
"618",1,1.19158996582031,1.07,3,1
"619",1,1.28785995483398,0.65,3,0
"620",1,1.01017997741699,1.25,2.5,1
"621",1,0.999140014648438,1.19,3,1
"622",0,0.904580001831055,1.21,1.25,1
"623",1,0.791959991455078,0.76,3,1
"624",0,0.659599990844727,0.9,2,0
"625",1,0.808939971923828,1.15,3,1
"626",0,0.505299987792969,0.58,1,0
"627",1,0.240249996185303,2.95,0,1
"628",1,0.819830017089844,2.71,0.75,0
"629",0,0.710810012817383,0.96,2,1
"630",1,0.834349975585938,2.34,2,0
"631",1,0.843030014038086,2.37,1.75,0
"632",1,0.0851399993896484,1.34,3,0
