"switch","arsenic","dist","dist100","assoc","educ","educ4"
1,1.86,24.7749996185303,0.247749996185303,0,12,3
1,1.6,35.4360008239746,0.354360008239746,1,5,1.25
1,0.7,31.3409996032715,0.313409996032715,0,10,2.5
0,0.51,15.5710000991821,0.155710000991821,1,5,1.25
1,2.48,27.1730003356934,0.271730003356934,0,0,0
1,0.63,49.0340003967285,0.490340003967285,0,10,2.5
1,1.07,135.320007324219,1.35320007324219,1,0,0
0,0.71,37.7779998779297,0.377779998779297,0,7,1.75
1,1.12,3.77900004386902,0.0377900004386902,1,8,2
0,0.53,49.1689987182617,0.491689987182617,0,0,0
0,0.58,50.7239990234375,0.507239990234375,1,0,0
1,1.31,26.2169990539551,0.262169990539551,0,12,3
1,1.49,20.9139995574951,0.209139995574951,0,12,3
1,0.86,3.31200003623962,0.0331200003623962,0,5,1.25
1,0.64,35.7150001525879,0.357150001525879,0,10,2.5
1,1.44,52.2919998168945,0.522919998168945,0,0,0
0,1.52,60.1459999084473,0.601459999084473,0,5,1.25
1,1.27,44.4609985351562,0.444609985351562,0,0,0
0,2.17,70.0220031738281,0.700220031738281,1,0,0
0,1.73,95.8079986572266,0.958079986572266,0,5,1.25
1,1.93,121.763999938965,1.21763999938965,0,9,2.25
1,2.2,127.56600189209,1.2756600189209,0,5,1.25
1,1.6,120.15299987793,1.2015299987793,0,8,2
1,1.65,66.2149963378906,0.662149963378906,0,0,0
0,0.81,54.9729995727539,0.549729995727539,1,0,0
0,1.86,73.2149963378906,0.732149963378906,0,5,1.25
0,1.93,33.3660011291504,0.333660011291504,1,5,1.25
1,1.9,87.3140029907227,0.873140029907227,0,5,1.25
0,4.06,95.3089981079102,0.953089981079102,0,5,1.25
1,4.03,128.095001220703,1.28095001220703,1,3,0.75
1,1.56,109.777000427246,1.09777000427246,0,10,2.5
0,2.53,138.578994750977,1.38578994750977,0,0,0
0,3.41,162.264007568359,1.62264007568359,0,0,0
0,2.21,155.785995483398,1.55785995483398,0,0,0
0,2.92,105.651000976562,1.05651000976563,0,5,1.25
0,2.06,93.9619979858398,0.939619979858398,0,5,1.25
1,3.89,72.1019973754883,0.721019973754883,0,5,1.25
1,2.88,55.548999786377,0.55548999786377,0,0,0
0,1.39,49.6959991455078,0.496959991455078,0,0,0
1,2.07,45.5110015869141,0.455110015869141,0,10,2.5
0,1.46,50.5820007324219,0.505820007324219,0,0,0
1,1.51,81.2060012817383,0.812060012817383,0,5,1.25
0,3.23,95.7710037231445,0.957710037231445,0,5,1.25
1,4.21,76.5080032348633,0.765080032348633,0,5,1.25
1,2.49,56.6380004882812,0.566380004882812,0,5,1.25
1,0.78,38.9819984436035,0.389819984436035,1,0,0
1,2.32,30.8369998931885,0.308369998931885,0,0,0
1,1.43,60.7190017700195,0.607190017700195,0,7,1.75
1,1.71,29.6009998321533,0.296009998321533,0,0,0
1,1.99,77.1350021362305,0.771350021362305,0,5,1.25
1,2.48,95.0999984741211,0.950999984741211,0,0,0
1,4.29,50.3930015563965,0.503930015563965,1,10,2.5
1,3.88,49.7210006713867,0.497210006713867,0,0,0
1,3.04,72.5299987792969,0.725299987792969,1,0,0
1,3.36,25.6770000457764,0.256770000457764,1,10,2.5
1,3.44,8.02400016784668,0.0802400016784668,1,10,2.5
0,1.38,63.6790008544922,0.636790008544922,0,5,1.25
0,1.9,53.314998626709,0.53314998626709,0,10,2.5
1,2.79,45.9780006408691,0.459780006408691,0,0,0
1,3.73,69.6179962158203,0.696179962158203,0,10,2.5
1,2.04,72.2170028686523,0.722170028686523,0,0,0
1,2.09,55.5519981384277,0.555519981384277,0,0,0
1,2.63,81.3789978027344,0.813789978027344,1,0,0
1,3.3,81.1320037841797,0.811320037841797,1,0,0
1,3.25,51.7089996337891,0.517089996337891,0,6,1.5
1,1.53,55.7789993286133,0.557789993286133,0,5,1.25
1,2.6,26.9729995727539,0.269729995727539,0,5,1.25
1,2,28.2150001525879,0.282150001525879,0,0,0
1,2.82,71.9609985351562,0.719609985351563,1,0,0
1,2.56,75.5260009765625,0.755260009765625,0,0,0
0,3.62,45.0699996948242,0.450699996948242,0,0,0
1,5.25,80.6800003051758,0.806800003051758,0,0,0
1,1.59,96.9400024414062,0.969400024414062,0,0,0
1,2.21,115.327003479004,1.15327003479004,0,0,0
1,2.42,108.546997070312,1.08546997070313,0,3,0.75
1,2.36,86.9369964599609,0.869369964599609,0,0,0
1,1.22,94.1419982910156,0.941419982910156,0,0,0
1,3.93,81.8960037231445,0.818960037231445,1,0,0
0,4.93,54.9599990844727,0.549599990844727,0,0,0
1,1.91,46.6100006103516,0.466100006103516,0,0,0
1,2.33,68.0739974975586,0.680739974975586,0,0,0
1,2.18,102.398002624512,1.02398002624512,0,0,0
1,4.77,107.369003295898,1.07369003295898,1,0,0
1,3.79,84.8840026855469,0.848840026855469,0,0,0
1,3.48,84.890998840332,0.84890998840332,0,0,0
0,3.02,58.6829986572266,0.586829986572266,0,0,0
1,2.71,68.3140029907227,0.683140029907227,1,7,1.75
1,2.34,38.7809982299805,0.387809982299805,0,0,0
1,3.15,81.7580032348633,0.817580032348633,1,0,0
1,2.56,102.953002929688,1.02953002929687,1,5,1.25
1,3.34,107.480003356934,1.07480003356934,0,12,3
1,2.32,120.09400177002,1.2009400177002,1,10,2.5
1,3.62,135,1.35,1,10,2.5
1,1.02,71.7730026245117,0.717730026245117,0,0,0
1,3.26,33.1969985961914,0.331969985961914,1,0,0
1,1.61,47.0120010375977,0.470120010375977,1,7,1.75
1,1.16,60.3619995117188,0.603619995117187,1,0,0
0,1.01,128.848999023438,1.28848999023437,1,0,0
0,0.67,144.070999145508,1.44070999145508,1,9,2.25
0,3.17,110.425003051758,1.10425003051758,0,5,1.25
0,2.44,113.009002685547,1.13009002685547,1,0,0
0,2.26,78.9759979248047,0.789759979248047,0,7,1.75
1,1.65,52.9300003051758,0.529300003051758,1,7,1.75
1,3.86,14.0050001144409,0.140050001144409,0,5,1.25
1,3.32,18.4769992828369,0.184769992828369,1,5,1.25
1,3.19,61.9570007324219,0.619570007324219,0,0,0
1,3.42,66.0640029907227,0.660640029907227,1,10,2.5
1,1.66,60.3120002746582,0.603120002746582,0,0,0
1,3.35,74.9209976196289,0.749209976196289,0,9,2.25
1,3.09,73.838996887207,0.73838996887207,0,0,0
1,3.59,61.1720008850098,0.611720008850098,0,0,0
1,3.88,10.8090000152588,0.108090000152588,1,0,0
1,2.94,65.9029998779297,0.659029998779297,1,10,2.5
1,0.95,34.5279998779297,0.345279998779297,1,5,1.25
1,2.6,63.9090003967285,0.639090003967285,0,9,2.25
1,3.24,74.8489990234375,0.748489990234375,0,9,2.25
1,3.32,81.5550003051758,0.815550003051758,0,0,0
1,3.26,66.4369964599609,0.664369964599609,0,5,1.25
1,3.27,60.4589996337891,0.604589996337891,0,0,0
1,3.4,43.4850006103516,0.434850006103516,0,0,0
1,2.91,116.44100189209,1.1644100189209,0,5,1.25
1,1.48,84.8740005493164,0.848740005493164,0,10,2.5
1,4.35,62.2919998168945,0.622919998168945,0,0,0
1,1.87,70.1029968261719,0.701029968261719,0,5,1.25
1,3.01,60.5610008239746,0.605610008239746,0,5,1.25
0,3.05,45.2120018005371,0.452120018005371,0,0,0
1,2.62,49.6980018615723,0.496980018615723,0,10,2.5
1,3.26,32.4490013122559,0.324490013122559,0,12,3
1,1.92,47.0190010070801,0.470190010070801,1,0,0
1,3.44,62.6189994812012,0.626189994812012,0,5,1.25
1,2.57,30.1790008544922,0.301790008544922,0,8,2
1,2.97,47.6469993591309,0.476469993591309,1,9,2.25
0,2.95,52.0989990234375,0.520989990234375,1,9,2.25
1,2.28,95.0739974975586,0.950739974975586,0,5,1.25
1,3.17,80.7030029296875,0.807030029296875,0,14,3.5
1,3.69,80.427001953125,0.80427001953125,0,5,1.25
0,3.08,81.5830001831055,0.815830001831055,1,5,1.25
1,2.86,47.3390007019043,0.473390007019043,1,5,1.25
0,1.95,44.9500007629395,0.449500007629395,1,5,1.25
1,1.78,29.7140007019043,0.297140007019043,0,0,0
0,2.2,45.5540008544922,0.455540008544922,0,5,1.25
1,1.71,31.5550003051758,0.315550003051758,0,5,1.25
0,3.86,58.2239990234375,0.582239990234375,0,0,0
1,3.45,40.8349990844727,0.408349990844727,0,6,1.5
1,3.97,47.8460006713867,0.478460006713867,0,7,1.75
1,1.39,9.77299976348877,0.0977299976348877,0,0,0
0,4.81,185.205001831055,1.85205001831055,0,0,0
1,2.08,82.625,0.82625,0,4,1
0,2.49,112.705001831055,1.12705001831055,1,5,1.25
0,1.83,98.0289993286133,0.980289993286133,1,0,0
0,1.24,112.143997192383,1.12143997192383,1,0,0
0,1.38,133.436004638672,1.33436004638672,0,10,2.5
0,1.54,163.552001953125,1.63552001953125,0,0,0
0,0.53,18.1469993591309,0.181469993591309,0,0,0
0,0.9,27.2450008392334,0.272450008392334,1,5,1.25
0,2.04,15.8889999389648,0.158889999389648,1,3,0.75
1,0.61,5.21600008010864,0.0521600008010864,0,5,1.25
0,0.55,11.2740001678467,0.112740001678467,0,6,1.5
0,0.52,9.22000026702881,0.0922000026702881,0,5,1.25
0,0.77,23.6760005950928,0.236760005950928,1,0,0
0,0.67,23.6760005950928,0.236760005950928,1,0,0
0,0.67,35.5029983520508,0.355029983520508,1,5,1.25
