Id,As,Lsg,Newstat,Oldstat,Func,Rel,Assn,Ed,Drink,Status,Howknow,Cucard,Survey,Change,Why,Time,Shift,Shtime,Fam,Knnosw,Nosw,Inc,Usenow,Nowsw,Comp,X,Y,Nearest,Distcw,Distpw,cw50,cw100,cw150,pw50,pw100,pw150
185,118,1,0,2,1,1,1,3,23,0,12,1,1,0,,,,,,34,,,,,1,258004.0304,2632158.194,30.406,565.588,30.406,0,0,0,2,19,30
186,77,0,0,2,1,1,1,5,23,0,1,1,1,0,,,,,,4,,,,,1,258011.6731,2632127.41,18.551,593.803,18.551,0,0,0,2,14,32
187,77,2,0,2,1,3,0,0,23,0,2,0,0,0,,,,,,3,,,,,1,258011.5249,2632118.548,24.829,600.482,24.829,0,0,0,4,14,30
200,77,1,0,2,1,1,1,5,1,0,2,1,1,0,,,,,,3,,,,,1,257996.4006,2632118.616,20.871,590.85,20.871,0,0,0,7,15,33
204,73,0,0,1,1,1,1,5,23,0,12,1,1,0,,,,,,4,,,,,1,257936.9077,2631955.433,13.494,695.912,13.494,0,0,0,2,13,26
210,72,0,0,2,1,1,0,8,23,0,2,0,0,0,,,,,,4,,,,,1,257859.8826,2631943.056,28.646,622.057,28.646,0,0,0,1,15,30
211,88,2,0,2,1,1,0,0,23,2,,1,1,0,,,,,,,,,,,1,257865.8941,2631956.991,16.166,625.529,16.166,0,0,0,1,16,31
212,104,0,0,2,1,1,0,5,23,0,2,0,0,0,,,,,,4,,,,,1,257882.0319,2631956.536,27.428,641.527,27.428,0,0,0,1,14,29
221,121,0,0,2,1,1,1,0,23,0,2,1,1,0,,,,,0,14,,,,1,1,258049.8287,2632254.569,15.839,533.514,15.839,0,0,0,7,20,35
226,64,0,0,2,1,1,1,14,23,0,12,1,1,0,,,,,,4,,,,,1,257955.284,2632200.562,29.278,501.57,29.278,0,0,0,2,17,30
227,80,0,0,2,1,1,1,14,23,0,12,1,1,0,,,,,,4,,,,,1,257934.4233,2632192.97,43.944,494.073,43.944,0,0,0,1,15,27
230,56,0,0,3,1,1,0,5,23,1,2,1,1,0,,,,,7,,,,,8,1,257816.1226,2632181.838,50.092,440.472,50.092,0,0,0,0,3,13
232,132,0,0,2,1,1,0,5,23,0,2,0,0,0,,,,,,4,,,,,1,257800.8098,2632170.644,66.88,444.382,66.88,0,0,0,0,3,11
233,52,0,0,2,1,1,0,3,23,0,2,1,1,0,,,,,,4,,,,,1,257796.6272,2632184.749,69.482,429.77,69.482,0,0,0,0,3,9
234,119,1,0,2,1,1,1,5,23,0,12,0,0,0,,,,,,,,,,,1,257771.1172,2632173.542,48.708,430.876,48.708,0,0,0,1,4,6
235,118,1,0,2,1,1,1,12,23,0,2,1,0,0,,,,,,,,,,,1,257768.5498,2632131.848,22.636,469.583,22.636,0,0,0,2,4,13
236,126,1,0,3,1,1,0,5,23,1,2,0,0,0,,,,,,,,,,,1,257746.3913,2632117.814,10.123,476.94,10.123,0,0,0,2,4,12
237,88,0,0,2,1,1,0,8,23,0,2,1,1,0,,,,,,4,,,,,1,257758.6989,2632172.826,42.828,427.554,42.828,0,0,0,2,3,6
238,316,0,0,12,1,1,0,5,23,0,2,0,0,0,,,,,,4,,,,,1,257728.6906,2632116.263,21.089,474.322,21.089,0,0,0,2,4,8
239,212,0,0,2,1,2,0,5,2,0,2,0,0,0,,,,,,4,,,,,1,257793.3987,2632134.017,47.534,475.647,47.534,0,0,0,2,5,15
242,56,0,0,2,1,1,0,5,23,1,2,1,1,0,,,,,,,,,,4,1,258150.3721,2632474.316,12.185,534.164,12.185,0,0,0,5,25,42
245,62,0,0,13,1,1,0,0,23,1,2,1,1,0,,,,,,,,,,8,1,258192.9269,2632468.249,23.559,577.086,23.559,0,0,0,4,21,43
250,78,0,0,0,1,3,0,5,23,0,12,1,1,0,,,,,,4,,,,,1,258159.64,2632632.245,90.921,443.27,90.921,0,0,0,0,2,13
251,102,0,0,2,1,1,1,5,23,0,12,1,1,0,,,,,,4,,,,,1,258123.9924,2632665.159,93.828,410.206,93.828,0,0,0,0,1,10
252,65,0,0,2,1,1,1,9,2,0,12,1,1,0,,,,,,4,,,,,1,258124.7063,2632636.707,82.106,438.614,82.106,0,0,0,0,1,8
266,89,0,0,3,1,1,0,8,23,1,2,1,1,0,,,,,8,,,,,8,1,258082.8358,2632521.06,1.401,459.899,1.401,0,0,0,4,15,24
278,397,0,0,2,1,1,0,0,23,0,12,0,1,0,,,,,,2,,,,,1,257859.6718,2632621.011,90.571,236.681,90.571,0,0,0,0,1,3
280,369,0,0,2,1,3,1,0,23,0,12,0,1,0,,,,,,2,,,,,1,257835.991,2632576.9,112.762,209.344,112.762,0,0,0,0,0,3
282,321,0,0,2,1,3,0,0,23,0,12,0,1,0,,,,,,2,,,,,1,257818.0901,2632573.506,97.217,191.521,97.217,0,0,0,0,1,1
292,207,0,0,0,1,1,1,5,23,0,2,0,0,0,,,,,,4,,,,,1,257681.5263,2632537.195,69.269,69.269,88.629,0,1,1,0,1,1
298,144,1,0,2,1,1,0,0,23,0,2,0,0,0,,,,,,,,,,,1,257621.7413,2632407.444,172.108,172.108,226.602,0,0,0,0,0,0
299,154,0,0,2,1,1,0,0,23,0,12,1,1,0,,,,,,2,,,,,1,257579.0967,2632408.159,177.803,177.803,244.619,0,0,0,0,0,0
321,102,1,0,2,1,1,0,0,23,0,12,1,1,0,,,,,,5,,,,,1,257785.6656,2631986.774,24.5,541.749,24.5,0,0,0,7,15,25
326,52,1,0,3,1,1,0,10,23,1,2,1,1,0,,,,,,,,,,1,1,257838.7466,2632000.29,7.041,592.89,7.041,0,0,0,6,18,31
327,56,0,0,0,1,1,1,8,23,0,3,0,0,0,,,,,0,3,,,,,1,257846.8123,2631944.013,30.314,609.04,30.314,0,0,0,1,14,30
344,61,1,0,0,1,2,0,5,23,0,12,0,0,0,,,,,,1,,,,,1,257284.8717,2631898.763,74.999,164.715,74.999,0,0,0,0,3,9
348,102,4,0,2,1,2,1,4,23,0,12,1,1,0,,,,,,4,,,,,1,257259.6377,2631863.543,103.061,196.239,103.061,0,0,0,0,0,5
349,124,0,0,2,1,1,0,0,23,0,12,1,1,0,,,,,,4,,,,,1,257250.2225,2631879.768,86.605,179.721,86.605,0,0,0,0,1,8
350,142,0,0,1,1,1,0,5,23,0,12,1,1,0,,,,,,5,,,,,1,257235.2266,2631857.119,110.562,202.82,110.562,0,0,0,0,0,1
351,131,1,0,2,1,3,0,5,23,0,12,1,1,0,,,,,,4,,,,,1,257245.717,2631844.201,122.326,215.305,122.326,0,0,0,0,0,4
352,83,0,0,0,1,2,0,0,23,0,12,1,1,0,,,,,,4,,,,,1,257217.9299,2631849.284,122.019,212.457,122.019,0,0,0,0,0,1
353,264,0,0,2,1,1,1,2,23,0,12,1,1,0,,,,,,4,,,,,1,258380.9743,2631944.319,57.633,445.614,57.633,0,0,0,0,2,4
354,184,0,0,2,1,1,0,5,23,0,12,1,1,0,,,,,,4,,,,,1,258403.8593,2631930.64,39.596,424.889,39.596,0,0,0,1,2,6
355,248,2,0,2,1,1,0,0,23,0,2,1,1,0,,,,,,4,,,,,1,258399.1663,2631944.753,39.516,427.509,39.516,0,0,0,1,2,6
356,127,0,0,2,1,1,0,10,23,0,12,0,0,0,,,,,,4,,,,,1,258416.7773,2631951.108,21.555,409.256,21.555,0,0,0,1,4,8
358,69,0,0,3,1,3,0,0,23,1,12,0,0,0,,,,,,,,,,8,1,258421.87,2632154.352,51.748,430.459,51.748,0,0,0,0,7,25
363,89,0,0,2,1,1,0,5,23,0,12,1,1,0,,,,,,1,,,,,1,258473.4203,2631943.883,31.454,354.109,31.454,0,0,0,3,6,12
364,85,2,0,2,0,1,0,12,23,0,2,1,1,0,,,,,,6,,,,,1,258453.8444,2631941.994,17.548,373.743,17.548,0,0,0,2,5,10
372,81,0,0,1,1,1,1,0,23,0,12,1,1,0,,,,,,2,,,,,1,257111.1962,2631504.803,19.264,57.457,19.264,0,1,1,1,4,10
373,181,0,0,12,1,1,1,9,23,0,12,1,1,0,,,,,,12,,,,,1,257119.2941,2631460.713,53.363,53.363,62.915,0,1,1,0,2,5
374,125,0,0,2,1,1,1,0,1,0,12,1,1,0,,,,,,2,,,,,1,257131.1309,2631497.635,30.129,36.287,30.129,1,1,1,1,2,8
381,126,0,0,12,1,2,1,0,23,0,12,0,0,0,,,,,,12,,,,,1,257222.653,2631401.36,102.711,102.711,162.352,0,0,1,0,0,0
382,253,0,0,12,1,1,1,0,23,0,12,1,1,0,,,,,,12,,,,,1,257228.3773,2631398.124,108.616,108.616,168.572,0,0,1,0,0,0
383,295,0,0,12,1,1,0,0,23,0,12,1,1,0,,,,,,2,,,,,1,257233.9914,2631418.714,96.436,96.436,158.027,0,1,1,0,0,0
384,62,0,0,2,1,1,0,0,23,0,12,1,1,0,,,,,,2,,,,,1,257191.3486,2631389.327,100.861,100.861,154.041,0,0,1,0,0,0
386,256,0,0,12,1,1,1,5,23,0,12,1,1,0,,,,,,2,,,,,1,257277.7244,2631361.1,124.671,168.385,124.671,0,0,0,0,0,1
388,120,0,0,12,1,1,1,5,23,0,12,1,1,0,,,,,,2,,,,,1,257282.0914,2631327.6,121.576,166.605,121.576,0,0,0,0,0,1
389,89,0,0,2,1,3,0,0,23,0,12,1,1,0,,,,,,2,,,,,1,257372.1203,2631334.77,32.85,77.229,32.85,0,1,1,1,1,5
392,52,0,0,2,1,2,0,10,23,0,12,0,0,0,,,,,,1,,,,,1,257437.6048,2631358.05,8.547,8.547,36.971,1,1,1,1,4,5
395,113,0,0,12,1,2,1,5,23,0,12,1,1,0,,,,,,1,,,,,1,257465.0379,2631362.208,19.66,19.66,27.517,1,1,1,3,5,5
402,348,0,0,12,1,1,0,5,23,0,12,1,1,0,,,,,,4,,,,,1,257439.608,2631284.884,69.967,72.391,69.967,0,1,1,0,5,6
403,56,0,0,12,1,2,0,10,10,0,12,1,1,0,,,,,,4,,,,,1,257442.0727,2631259.542,83.572,97.525,83.572,0,1,1,0,3,6
406,135,0,0,0,1,2,0,5,23,0,1,1,1,0,,,,,,4,,,,,1,257354.84,2631277.256,71.425,121.171,71.425,0,0,1,0,2,3
408,192,1,0,0,1,2,0,10,23,0,12,1,1,0,,,,,,4,,,,,1,257354.84,2631277.256,71.425,121.171,71.425,0,0,1,0,2,3
409,241,1,0,2,1,1,0,7,23,0,12,1,1,0,,,,,,2,,,,,1,257187.8057,2631178.114,190.288,309.566,190.288,0,0,0,0,0,0
410,236,0,0,1,1,2,0,5,23,0,12,1,1,0,,,,,,2,,,,,1,257196.7917,2631156.541,186.305,319.883,186.305,0,0,0,0,0,0
413,241,0,0,12,1,3,0,0,23,0,12,0,0,0,,,,,,2,,,,,1,257249.0744,2631031.006,218.3,370.03,218.3,0,0,0,0,0,0
419,172,0,0,2,1,2,0,5,23,0,12,0,0,0,,,,,,2,,,,,1,257450.2647,2630784.783,54.416,54.416,88.888,0,1,1,0,1,3
420,177,0,0,2,1,1,0,5,23,0,12,0,0,0,,,,,,12,,,,,1,257419.6059,2630811.336,94.723,94.723,101.569,0,1,1,0,0,3
425,58,1,0,0,1,1,1,5,23,0,12,1,0,0,,,,,,5,,,,,1,257250.8047,2630262.348,18.143,164.908,18.143,0,0,0,6,11,16
436,51,1,0,0,1,3,0,0,23,0,12,0,0,0,,,,,,1,,,,,1,257150.6132,2630237.434,24.677,73.882,24.677,0,1,1,5,15,21
439,126,0,0,0,1,1,1,0,23,0,12,1,1,0,,,,,,2,,,,,1,257126.0542,2630232.49,17.507,57.326,17.507,0,1,1,6,15,20
452,51,0,0,0,1,2,0,10,23,0,12,0,0,0,,,,,,1,,,,,1,257034.3642,2630268.563,14.077,52.191,14.077,0,1,1,4,12,21
461,55,0,0,2,1,1,0,5,23,0,12,1,1,0,,,,,,23,,,,,1,256911.5779,2630295.001,11.377,175.999,11.377,0,0,0,5,10,15
463,52,0,0,0,1,1,0,10,23,0,12,0,0,0,,,,,,1,,,,,1,257025.9773,2630295.482,33.367,64.099,33.367,0,1,1,4,9,18
464,83,1,0,0,1,1,0,10,23,0,12,0,0,0,,,,,,1,,,,,1,257029.8431,2630313.146,26.715,68.817,26.715,0,1,1,1,9,18
472,57,0,0,3,1,2,0,5,23,1,2,1,1,0,,,,,,,,,,8,1,256820.7405,2630209.727,21.118,273.17,21.118,0,0,0,2,5,9
477,53,0,0,2,1,1,0,0,23,0,12,1,1,0,,,,,,4,,,,,1,256674.7817,2630182.261,71.482,210.326,71.482,0,0,0,0,1,6
478,67,0,0,3,1,1,1,0,23,1,2,1,1,0,,,,,,,,,,3,1,256687.0295,2630192.951,71.637,225.996,71.637,0,0,0,0,1,5
495,55,0,0,2,1,1,1,0,23,0,2,0,0,0,,,,,,1,,,,,1,256505.248,2630066.916,47.671,82.641,47.671,0,1,1,1,3,12
497,52,2,0,3,1,1,0,8,23,1,2,1,1,0,,,,,3,,,,,,1,256481.4838,2630078.95,74.117,107.926,74.117,0,0,1,0,2,6
500,97,0,0,12,1,1,0,14,23,0,12,1,1,0,,,,,,4,,,,,1,256460.4057,2630068.778,71.806,118.494,71.806,0,0,1,0,2,5
501,147,0,0,2,1,1,1,4,23,0,12,1,1,0,,,,,,4,,,,,1,256446.4003,2630064.766,61.745,128.662,61.745,0,0,1,0,1,5
502,103,0,0,2,1,1,0,12,23,0,12,1,1,0,,,,,,4,,,,,1,256581.9197,2629986.77,25.045,28.404,25.045,1,1,1,4,10,16
506,93,2,0,3,1,1,1,2,23,1,2,1,1,0,,,,,2,,,,,,1,256570.0155,2629945.971,19.929,60.355,19.929,0,1,1,3,7,15
509,79,2,0,3,1,1,0,10,23,1,2,1,1,0,,,,,0,,,,,,1,256466.2876,2629983.912,50.119,96.821,50.119,0,1,1,0,4,10
511,66,0,0,2,1,1,1,5,23,2,,0,0,0,,,,,,,,,,,1,256486.9708,2629960.479,53.816,86.394,53.816,0,1,1,0,4,12
513,85,0,0,3,1,1,1,10,23,1,2,1,1,0,,,,,,,,,,8,1,256487.3725,2629883.277,33.503,142.587,33.503,0,0,1,2,3,8
515,93,0,0,12,1,1,0,5,23,0,12,1,1,0,,,,,,4,,,,,1,256562.2084,2629865.767,58.356,139.837,58.356,0,0,1,0,3,7
516,142,0,0,2,1,1,0,12,23,0,12,0,0,0,,,,,,4,,,,,1,256439.9504,2630004.669,17.954,120.702,17.954,0,0,1,1,3,8
517,75,0,0,2,1,1,0,4,2,0,2,1,1,0,,,,,,4,,,,,1,256427.0415,2630035.543,28.027,136.923,28.027,0,0,1,1,2,5
518,146,0,0,2,1,1,0,8,23,0,12,1,1,0,,,,,,4,,,,,1,256390.7612,2630010.852,31.668,169.969,31.668,0,0,0,2,2,4
519,116,0,0,2,1,1,0,5,23,0,12,1,1,0,,,,,,4,,,,,1,256388.0943,2630003.879,34.437,172.563,34.437,0,0,0,2,2,4
521,117,0,0,13,1,1,0,15,23,1,2,1,1,0,,,,,6,,,,,8,1,256370.2643,2630004.918,50.952,190.386,50.952,0,0,0,0,2,4
532,169,0,0,12,1,1,0,0,23,0,12,1,1,0,,,,,,4,,,,,1,256313.7088,2630038.004,112.675,249.058,112.675,0,0,0,0,0,2
533,271,0,0,2,1,1,1,5,23,0,12,1,1,0,,,,,,24,,,,,1,256212.0153,2630014.968,197.135,348.76,197.135,0,0,0,0,0,0
534,127,0,0,12,1,1,1,5,23,0,12,2,1,0,,,,,,4,,,,,1,256104.9552,2630026.559,304.097,456.176,304.097,0,0,0,0,0,0
535,143,0,0,12,1,1,0,4,23,0,12,1,1,0,,,,,,4,,,,,1,256070.0432,2630032.687,339.531,491.353,339.531,0,0,0,0,0,0
536,100,0,0,12,1,1,0,5,23,0,12,1,1,0,,,,,,4,,,,,1,256585.8706,2629847.64,70.271,159.956,70.271,0,0,0,0,2,9
537,52,0,0,12,1,2,0,5,23,0,12,1,1,0,,,,,,1,,,,,1,256587.1014,2629819.733,92.744,187.735,92.744,0,0,0,0,2,8
538,65,0,0,0,1,2,0,9,2,0,12,1,1,0,,,,,,14,,,,,1,256610.074,2629790.906,55.921,220.305,55.921,0,0,0,0,3,8
539,70,0,0,2,1,2,1,0,23,0,12,1,1,0,,,,,,14,,,,,1,256606.8291,2629779.88,50.829,230.391,50.829,0,0,0,0,3,7
540,51,0,0,3,1,2,0,0,23,1,12,1,1,0,,,,,,14,,,,1,1,256622.2525,2629777.22,37.601,236.538,37.601,0,0,0,2,5,7
541,102,0,0,12,1,1,0,0,1,0,12,1,1,0,,,,,,1,,,,,1,256637.5021,2629764.221,17.931,253.313,17.931,0,0,0,3,6,6
573,64,0,0,2,1,1,0,6,23,0,12,0,0,0,,,,,,1,,,,,1,256441.5218,2633662.771,22.607,976.51,22.607,0,0,0,2,3,15
589,93,1,0,13,1,1,0,5,23,1,12,1,1,0,,,,,2,,,,,,1,256669.7451,2633460.952,9.224,685.406,9.224,0,0,0,3,5,7
600,71,0,0,0,1,2,1,5,23,0,12,0,0,0,,,,,,4,,,,,1,256637.8021,2633259.266,52.712,673.599,52.712,0,0,0,0,6,10
680,5,0,0,0,1,1,0,1,23,1,1,1,1,0,,,,,,,,,,,1,255461.6727,2632838.086,11.145,365.634,11.145,0,0,0,12,29,68
802,90,0,0,1,1,1,0,9,23,0,1,0,0,0,,,,,,24,,,,,1,260049.7356,2632755.344,19.84,586.103,19.84,0,0,0,6,11,11
810,64,1,0,0,1,1,1,8,23,0,1,1,1,0,,,,,,,,,,,1,260013.768,2632820.393,5.162,654.539,5.162,0,0,0,2,9,12
825,51,1,0,3,1,1,1,5,23,1,2,1,1,0,,,,,2,,,,,8,1,260027.9363,2632393.928,15.571,432.55,15.571,0,0,0,1,4,6
832,71,0,0,0,1,1,0,7,23,0,12,1,1,0,,,,,,3,,,,,1,259339.4451,2632135.553,37.778,226.766,37.778,0,0,0,2,2,2
836,53,0,0,0,1,1,0,0,23,0,12,0,0,0,,,,,,1,,,,,1,259248.0573,2632168.837,49.169,283.268,49.169,0,0,0,1,4,5
837,58,0,0,12,1,1,1,0,23,0,12,1,1,0,,,,,,24,,,,,1,259244.8916,2632162.426,50.724,278.752,50.724,0,0,0,0,5,5
848,152,0,0,2,1,1,0,5,23,0,12,1,1,0,,,,,,4,,,,,1,259107.2658,2632133.691,60.146,314.423,60.146,0,0,0,0,2,4
850,217,0,0,2,1,1,1,0,23,0,12,1,1,0,,,,,,4,,,,,1,259163.9806,2632110.402,70.022,282.568,70.022,0,0,0,0,2,6
851,173,0,0,12,1,1,0,5,23,0,12,1,1,0,,,,,,,,,,,1,259028.4312,2632104.348,95.808,230.739,95.808,0,0,0,0,1,3
857,81,0,0,2,1,1,1,0,23,0,12,1,1,0,,,,,,1,,,,,1,259065.9634,2632072.143,54.973,253.556,54.973,0,0,0,0,1,4
859,186,0,0,0,1,1,0,5,23,0,12,1,1,0,,,,,,5,,,,,1,259023.8709,2632075.43,73.215,214.761,73.215,0,0,0,0,1,2
860,193,2,0,0,1,3,1,5,23,2,,1,1,0,,,,,,,,,,,1,259924.4583,2631944.3,33.366,33.366,226.48,1,1,1,0,0,0
863,406,1,0,2,1,2,0,5,23,0,12,1,1,0,,,,,,4,,,,,1,259729.2596,2631897.492,95.309,166.668,95.309,0,0,0,0,1,1
866,253,0,0,12,1,1,0,0,23,0,12,1,1,0,,,,,,4,,,,,1,259814.5024,2631934.12,138.579,138.579,179.84,0,0,1,0,0,0
867,341,0,0,1,1,1,0,0,23,0,12,1,1,0,,,,,,4,,,,,1,259789.3661,2631935.092,162.264,163.732,162.264,0,0,0,0,0,0
868,221,0,0,12,1,3,0,0,23,0,12,1,1,0,,,,,,4,,,,,1,259773.3081,2631940.344,155.786,180.089,155.786,0,0,0,0,0,0
869,292,0,0,0,1,3,0,5,23,0,12,1,1,0,,,,,,4,,,,,1,259744.4147,2631899.272,105.651,181.918,105.651,0,0,0,0,0,1
870,206,0,0,12,1,1,0,5,23,0,12,1,1,0,,,,,,4,,,,,1,259733.4336,2631892.991,93.962,170.19,93.962,0,0,0,0,1,1
874,139,0,0,2,1,1,0,0,23,0,12,1,1,0,,,,,,1,,,,,1,259724.9586,2631832.927,49.696,165.228,49.696,0,0,0,1,1,1
876,146,0,0,0,1,1,0,0,23,0,12,1,1,0,,,,,,14,,,,,1,259706.5254,2631858.903,50.582,142.659,50.582,0,0,2,0,1,1
879,323,1,0,0,1,3,0,5,23,0,12,1,1,0,,,,,,4,,,,,1,259727.4183,2631899.185,95.771,165.114,95.771,0,0,0,0,1,1
896,138,0,0,2,1,1,0,5,23,0,12,0,0,0,,,,,,2,,,,,1,259612.0629,2631830.001,63.679,63.679,66.95,0,2,2,0,1,1
897,190,2,0,0,1,1,0,10,23,0,12,1,1,0,,,,,,24,,,,,1,259583.0443,2631822.357,53.315,53.315,94.884,0,2,2,0,1,1
913,362,0,0,2,1,1,0,0,23,0,12,1,1,0,,,,,,24,,,,,1,259678.2336,2631772.207,45.07,151.534,45.07,0,0,0,1,1,1
923,493,2,0,2,1,1,0,0,23,0,12,1,1,0,,,,,,1,,,,,1,259509.0518,2631859.414,54.96,54.96,173.923,0,2,2,0,0,0
930,302,0,0,2,1,1,0,0,23,0,12,1,1,0,,,,,,2,,,,,1,259418.6125,2631929.431,58.683,58.683,184.719,0,1,1,0,0,0
942,101,0,0,12,1,1,1,0,23,0,12,1,1,0,,,,,,2,,,,,1,259408.7524,2632072.349,128.849,168.575,128.849,0,0,0,0,0,2
943,67,0,0,2,1,1,1,9,23,0,12,1,1,0,,,,,,2,,,,,1,259436.6078,2632091.831,144.071,196.045,144.071,0,0,0,0,0,1
944,317,0,0,2,1,1,0,5,23,0,12,1,1,0,,,,,,2,,,,,1,259364.0429,2632020.46,110.425,110.425,139.746,0,0,1,0,0,2
945,244,1,0,0,1,1,1,0,23,0,12,1,1,0,,,,,,2,,,,,1,259355.9244,2632022.811,113.009,113.009,134.243,0,0,1,0,0,3
946,226,0,0,2,1,1,0,7,23,0,12,1,1,0,,,,,,2,,,,,1,259378.4508,2631987.533,78.976,78.976,146.98,0,1,1,0,0,1
977,305,0,0,2,1,1,0,0,23,0,12,1,1,0,,,,,,24,,,,,1,259021.3881,2631946.752,45.212,204.868,45.212,0,0,0,1,2,3
984,295,0,0,12,1,1,1,9,23,0,12,1,1,0,,,,,,1,,,,,1,259097.1081,2631921.668,52.099,266.372,52.099,0,0,0,0,2,4
988,308,1,0,0,1,3,1,5,23,0,12,0,0,0,,,,,,1,,,,,1,258832.6003,2631917.763,81.583,81.583,210.271,0,1,1,0,0,0
992,195,1,0,0,1,3,1,5,23,0,12,0,0,0,,,,,,1,,,,,1,258843.3077,2631958.583,44.95,44.95,220.709,1,1,1,0,0,0
994,220,0,0,12,1,1,0,5,23,0,12,1,1,0,,,,,,2,,,,,1,258868.7965,2631999.156,45.554,45.554,198.721,1,1,1,0,0,0
996,386,0,0,0,1,1,0,0,23,0,0,1,1,0,,,,,,2,,,,,1,258874.5187,2632026.393,58.224,58.224,193.976,0,1,1,0,0,0
1001,481,0,0,2,1,1,0,0,2,0,2,1,0,0,,,,,,2,,,,1,1,90.63386,23.77931,185.205,205.725,185.205,0,0,0,0,0,0
1003,249,0,0,2,1,1,1,5,2,0,3,1,1,0,,,,,,1,,,,1,1,258757.3837,2631850.687,112.705,162.103,112.705,0,0,0,0,0,1
1004,183,0,0,12,1,1,1,0,23,0,12,1,2,0,,,,,,1,,,,1,1,258793.9355,2631790.242,98.029,210.615,98.029,0,0,0,0,1,1
1005,124,0,0,1,1,1,1,0,23,0,1,1,1,0,,,,,,1,,,,1,1,258794.2271,2631817.939,112.144,183.181,112.144,0,0,0,0,0,1
1006,138,0,0,1,1,1,0,10,23,0,3,1,1,0,,,,,,1,,,,1,1,258834.5311,2631778.67,133.436,220.426,133.436,0,0,0,0,0,1
1007,154,0,0,1,1,1,0,0,23,0,1,1,1,0,,,,,,3,,,,3,1,258855.495,2631812.855,163.552,188.728,163.552,0,0,0,0,0,0
1010,53,2,0,1,1,1,0,0,23,0,1,1,1,0,,,,,,,1,,,,1,257005.1459,2632456.385,18.147,238.044,18.147,0,0,0,5,13,17
1011,90,0,0,1,1,1,1,5,23,0,3,0,1,0,,,,,,2,,,,2,1,256983.7674,2632519.165,27.245,255.333,27.245,0,0,0,2,7,15
1012,204,0,0,1,1,1,1,3,1,0,13,1,1,0,,,,,,1,,,,1,1,256984.6583,2632491.264,15.889,238.584,15.889,0,0,0,3,11,17
1018,55,0,0,12,1,1,0,6,23,0,13,0,0,0,,,,,,4,,,,8,1,257062.1519,2632460.783,11.274,291.869,11.274,0,0,0,5,13,15
1021,52,0,0,12,1,1,0,5,23,0,3,0,0,0,,,,,,1,,,,1,1,257030.8669,2632429.544,9.22,251.706,9.22,0,0,0,5,12,17
1024,77,0,0,12,1,1,1,0,23,0,13,1,1,0,,,,,,1,,,,1,1,90.61569,23.78399,23.676,246.77,23.676,0,0,0,2,7,17
1025,67,0,0,12,1,1,1,0,23,0,12,1,1,0,,,,,,1,,,,8,1,90.61569,23.78399,23.676,246.77,23.676,0,0,0,2,7,17
1026,67,0,0,12,1,2,1,5,23,0,12,1,1,0,,,,,,1,,,,1,1,257014.7989,2632353.172,35.503,223.024,35.503,0,0,0,1,7,20
1027,64,0,0,1,1,1,0,0,23,0,13,1,1,0,,,,,,5,,,,5,1,257014.2868,2632363.153,31.11,222.841,31.11,0,0,0,2,7,19
1029,57,0,0,12,1,1,0,0,23,0,12,0,1,0,,,,,,5,,,,5,1,256929.6538,2632393.57,24.435,144.341,24.435,0,0,1,1,10,20
