Age	Male	Year	Deaths	Population	Rate
38	0	2009	245	334351	73.3
38	0	2010	213	335859	63.4
38	0	2011	240	341310	70.3
38	0	2012	208	343334	60.6
38	0	2013	258	354601	72.8
38	1	1999	529	259833	203.6
38	1	2000	496	263423	188.3
38	1	2001	547	274949	198.9
38	1	2002	523	291378	179.5
38	1	2003	543	305206	177.9
38	1	2004	537	302526	177.5
38	1	2005	520	301787	172.3
38	1	2006	553	317063	174.4
38	1	2007	533	324754	164.1
38	1	2008	549	353213	155.4
38	1	2009	493	348946	141.3
38	1	2010	442	350047	126.3
38	1	2011	480	356593	134.6
38	1	2012	476	362087	131.5
38	1	2013	499	379701	131.4
39	0	1999	219	225725	97.0
39	0	2000	257	237103	108.4
39	0	2001	239	247625	96.5
39	0	2002	272	258476	105.2
39	0	2003	252	272867	92.4
39	0	2004	245	283033	86.6
39	0	2005	267	281428	94.9
39	0	2006	239	285404	83.7
39	0	2007	231	297919	77.5
39	0	2008	239	306432	78.0
39	0	2009	240	330164	72.7
39	0	2010	247	334555	73.8
39	0	2011	236	338661	69.7
39	0	2012	250	340674	73.4
39	0	2013	261	343638	76.0
39	1	1999	550	240054	229.1
39	1	2000	528	254380	207.6
39	1	2001	546	267310	204.3
39	1	2002	567	275148	206.1
39	1	2003	563	290768	193.6
39	1	2004	552	305000	181.0
39	1	2005	557	302658	184.0
39	1	2006	585	301981	193.7
39	1	2007	514	316717	162.3
39	1	2008	517	324551	159.3
39	1	2009	528	352756	149.7
39	1	2010	522	349696	149.3
39	1	2011	509	353818	143.9
39	1	2012	497	355578	139.8
39	1	2013	531	361942	146.7
40	0	1999	246	222788	110.4
40	0	2000	247	233993	105.6
40	0	2001	266	239742	111.0
40	0	2002	261	250827	104.1
40	0	2003	278	261609	106.3
40	0	2004	275	276036	99.6
40	0	2005	256	286608	89.3
40	0	2006	284	285200	99.6
40	0	2007	252	289026	87.2
40	0	2008	266	301739	88.2
40	0	2009	295	310187	95.1
40	0	2010	264	332546	79.4
40	0	2011	264	336999	78.3
40	0	2012	272	338039	80.5
40	0	2013	277	341009	81.2
40	1	1999	521	241017	216.2
40	1	2000	590	255391	231.0
40	1	2001	608	254986	238.4
40	1	2002	612	268183	228.2
40	1	2003	594	275601	215.5
40	1	2004	579	291886	198.4
40	1	2005	641	306617	209.1
40	1	2006	627	304613	205.8
40	1	2007	579	303800	190.6
40	1	2008	586	318884	183.8
40	1	2009	556	326824	170.1
40	1	2010	510	354463	143.9
40	1	2011	536	351548	152.5
40	1	2012	569	352462	161.4
40	1	2013	519	355247	146.1
41	0	1999	254	205021	123.9
41	0	2000	246	211035	116.6
41	0	2001	275	240877	114.2
41	0	2002	298	242060	123.1
41	0	2003	264	252814	104.4
41	0	2004	267	263221	101.4
41	0	2005	334	277611	120.3
41	0	2006	288	288020	100.0
41	0	2007	267	286153	93.3
41	0	2008	291	289652	100.5
41	0	2009	295	301852	97.7
41	0	2010	281	305050	92.1
41	0	2011	293	332731	88.1
41	0	2012	280	336418	83.2
41	0	2013	317	338315	93.7
41	1	1999	556	216577	256.7
41	1	2000	551	222652	247.5
41	1	2001	646	260274	248.2
41	1	2002	632	256001	246.9
41	1	2003	617	268860	229.5
41	1	2004	603	276703	217.9
41	1	2005	642	293343	218.9
41	1	2006	677	308262	219.6
41	1	2007	628	306050	205.2
41	1	2008	613	305440	200.7
41	1	2009	572	320459	178.5
41	1	2010	515	322316	159.8
41	1	2011	546	353706	154.4
41	1	2012	592	350021	169.1
41	1	2013	574	352062	163.0
42	0	1999	266	198406	134.1
42	0	2000	280	209457	133.7
42	0	2001	267	219967	121.4
42	0	2002	285	243483	117.1
42	0	2003	318	244521	130.1
42	0	2004	279	255217	109.3
42	0	2005	313	265859	117.7
42	0	2006	323	280342	115.2
42	0	2007	254	290668	87.4
42	0	2008	274	288757	94.9
42	0	2009	309	292106	105.8
42	0	2010	268	301965	88.8
42	0	2011	299	311250	96.1
42	0	2012	323	332118	97.3
42	0	2013	324	336573	96.3
42	1	1999	580	208285	278.5
42	1	2000	593	220869	268.5
42	1	2001	558	231487	241.1
42	1	2002	651	261090	249.3
42	1	2003	678	256286	264.5
42	1	2004	697	269465	258.7
42	1	2005	662	277446	238.6
42	1	2006	698	294171	237.3
42	1	2007	667	308759	216.0
42	1	2008	676	306654	220.4
42	1	2009	642	305903	209.9
42	1	2010	592	318153	186.1
42	1	2011	612	329744	185.6
42	1	2012	618	352229	175.5
42	1	2013	645	349655	184.5
43	0	1999	247	193615	127.6
43	0	2000	267	198470	134.5
43	0	2001	289	210429	137.3
43	0	2002	328	222209	147.6
43	0	2003	366	245546	149.1
43	0	2004	319	246437	129.4
43	0	2005	337	257272	131.0
43	0	2006	340	267982	126.9
43	0	2007	351	282270	124.3
43	0	2008	323	292547	110.4
43	0	2009	348	290417	119.8
43	0	2010	331	291676	113.5
43	0	2011	338	304373	111.0
43	0	2012	347	310598	111.7
43	0	2013	380	332068	114.4
43	1	1999	556	198363	280.3
43	1	2000	611	205195	297.8
43	1	2001	616	220079	279.9
43	1	2002	665	232404	286.1
43	1	2003	642	261608	245.4
43	1	2004	630	257076	245.1
43	1	2005	708	270420	261.8
43	1	2006	708	278669	254.1
43	1	2007	718	295241	243.2
43	1	2008	685	310065	220.9
43	1	2009	681	307844	221.2
43	1	2010	661	305674	216.2
43	1	2011	644	321023	200.6
43	1	2012	649	328304	197.7
43	1	2013	675	351551	192.0
44	0	1999	251	181697	138.1
44	0	2000	295	191031	154.4
44	0	2001	298	204292	145.9
44	0	2002	296	212061	139.6
44	0	2003	322	223377	144.2
44	0	2004	329	246273	133.6
44	0	2005	334	247000	135.2
44	0	2006	315	257591	122.3
44	0	2007	347	267717	129.6
44	0	2008	399	281515	141.7
44	0	2009	371	291161	127.4
44	0	2010	391	288248	135.6
44	0	2011	341	293700	116.1
44	0	2012	380	303708	125.1
44	0	2013	388	310444	125.0
44	1	1999	597	186964	319.3
44	1	2000	639	196564	325.1
44	1	2001	671	210252	319.1
44	1	2002	686	220194	311.5
44	1	2003	688	231746	296.9
44	1	2004	742	260743	284.6
44	1	2005	774	256028	302.3
44	1	2006	733	269082	272.4
44	1	2007	741	276690	267.8
44	1	2008	707	292903	241.4
44	1	2009	718	307016	233.9
44	1	2010	717	303861	236.0
44	1	2011	644	307513	209.4
44	1	2012	672	319658	210.2
44	1	2013	683	327616	208.5
45	0	1999	300	175262	171.2
45	0	2000	312	186603	167.2
45	0	2001	298	194372	153.3
45	0	2002	362	206056	175.7
45	0	2003	340	213690	159.1
45	0	2004	322	225003	143.1
45	0	2005	331	248087	133.4
45	0	2006	400	248899	160.7
45	0	2007	346	259383	133.4
45	0	2008	350	269506	129.9
45	0	2009	454	283173	160.3
45	0	2010	373	292368	127.6
45	0	2011	374	289483	129.2
45	0	2012	412	293039	140.6
45	0	2013	407	303483	134.1
45	1	1999	615	179611	342.4
45	1	2000	597	193110	309.2
45	1	2001	673	198707	338.7
45	1	2002	682	210747	323.6
45	1	2003	702	220265	318.7
45	1	2004	702	231962	302.6
45	1	2005	793	261040	303.8
45	1	2006	773	256366	301.5
45	1	2007	805	269124	299.1
45	1	2008	753	276815	272.0
45	1	2009	747	292786	255.1
45	1	2010	710	306588	231.6
45	1	2011	719	304843	235.9
45	1	2012	711	306262	232.2
45	1	2013	753	318831	236.2
46	0	1999	272	164671	165.2
46	0	2000	306	170882	179.1
46	0	2001	340	190293	178.7
46	0	2002	305	195931	155.7
46	0	2003	346	207401	166.8
46	0	2004	388	214864	180.6
46	0	2005	375	226264	165.7
46	0	2006	400	249351	160.4
46	0	2007	376	249950	150.4
46	0	2008	393	260309	151.0
46	0	2009	429	270211	158.8
46	0	2010	466	279782	166.6
46	0	2011	418	292484	142.9
46	0	2012	408	288712	141.3
46	0	2013	402	292732	137.3
46	1	1999	675	164810	409.6
46	1	2000	650	171440	379.1
46	1	2001	685	195929	349.6
46	1	2002	714	199063	358.7
46	1	2003	795	210656	377.4
46	1	2004	752	220287	341.4
46	1	2005	763	232130	328.7
46	1	2006	833	261105	319.0
46	1	2007	825	256213	322.0
46	1	2008	821	268910	305.3
46	1	2009	830	276383	300.3
46	1	2010	812	286530	283.4
46	1	2011	808	307195	263.0
46	1	2012	775	303412	255.4
46	1	2013	850	305291	278.4
47	0	1999	274	153043	179.0
47	0	2000	320	163567	195.6
47	0	2001	357	176045	202.8
47	0	2002	355	191847	185.0
47	0	2003	388	197499	196.5
47	0	2004	386	209017	184.7
47	0	2005	384	216713	177.2
47	0	2006	456	228315	199.7
47	0	2007	432	251579	171.7
47	0	2008	419	252316	166.1
47	0	2009	481	262760	183.1
47	0	2010	475	271632	174.9
47	0	2011	439	283633	154.8
47	0	2012	471	291800	161.4
47	0	2013	460	288562	159.4
47	1	1999	604	150799	400.5
47	1	2000	666	161760	411.7
47	1	2001	736	176549	416.9
47	1	2002	722	196634	367.2
47	1	2003	808	199476	405.1
47	1	2004	796	211432	376.5
47	1	2005	812	221301	366.9
47	1	2006	796	233443	341.0
47	1	2007	887	262399	338.0
47	1	2008	879	257705	341.1
47	1	2009	851	270486	314.6
47	1	2010	850	276550	307.4
47	1	2011	888	291898	304.2
47	1	2012	872	305680	285.3
47	1	2013	875	302427	289.3
48	0	1999	335	148005	226.3
48	0	2000	299	153226	195.1
48	0	2001	363	167202	217.1
48	0	2002	382	177118	215.7
48	0	2003	356	192740	184.7
48	0	2004	388	198095	195.9
48	0	2005	384	209507	183.3
48	0	2006	419	217134	193.0
48	0	2007	458	228417	200.5
48	0	2008	474	251383	188.6
48	0	2009	471	251797	187.1
48	0	2010	464	257447	180.2
48	0	2011	520	272024	191.2
48	0	2012	488	282949	172.5
48	0	2013	506	291659	173.5
48	1	1999	620	146660	422.7
48	1	2000	685	152015	450.6
48	1	2001	719	164020	438.4
48	1	2002	741	176389	420.1
48	1	2003	809	195748	413.3
48	1	2004	789	198444	397.6
48	1	2005	852	210051	405.6
48	1	2006	826	219585	376.2
48	1	2007	921	231055	398.6
48	1	2008	871	259451	335.7
48	1	2009	923	254255	363.0
48	1	2010	900	263261	341.9
48	1	2011	953	277348	343.6
48	1	2012	982	290409	338.1
48	1	2013	1032	304739	338.7
49	0	1999	344	143809	239.2
49	0	2000	345	150527	229.2
49	0	2001	329	156598	210.1
49	0	2002	378	168582	224.2
49	0	2003	407	178513	228.0
49	0	2004	386	194140	198.8
49	0	2005	464	199714	232.3
49	0	2006	463	211356	219.1
49	0	2007	444	219001	202.7
49	0	2008	489	230410	212.2
49	0	2009	536	253545	211.4
49	0	2010	488	254735	191.6
49	0	2011	470	261882	179.5
49	0	2012	540	271287	199.1
49	0	2013	564	282616	199.6
49	1	1999	629	139891	449.6
49	1	2000	680	148106	459.1
49	1	2001	737	153992	478.6
49	1	2002	755	164298	459.5
49	1	2003	807	176404	457.5
49	1	2004	834	195984	425.5
49	1	2005	860	198808	432.6
49	1	2006	932	210556	442.6
49	1	2007	891	220056	404.9
49	1	2008	902	231669	389.3
49	1	2009	977	260191	375.5
49	1	2010	935	255345	366.2
49	1	2011	1008	266583	378.1
49	1	2012	943	275891	341.8
49	1	2013	964	289519	333.0
50	0	1999	317	141489	224.0
50	0	2000	329	149430	220.2
50	0	2001	374	151763	246.4
50	0	2002	408	157462	259.1
50	0	2003	413	169229	244.0
50	0	2004	393	178945	219.6
50	0	2005	482	194479	247.8
50	0	2006	462	199967	231.0
50	0	2007	458	211378	216.7
50	0	2008	502	218869	229.4
50	0	2009	501	229973	217.9
50	0	2010	532	248733	213.9
50	0	2011	523	253244	206.5
50	0	2012	594	261052	227.5
50	0	2013	581	270894	214.5
50	1	1999	631	137805	457.9
50	1	2000	664	145874	455.2
50	1	2001	734	149122	492.2
50	1	2002	768	153949	498.9
50	1	2003	811	163778	495.2
50	1	2004	858	175668	488.4
50	1	2005	967	194914	496.1
50	1	2006	930	197571	470.7
50	1	2007	950	208875	454.8
50	1	2008	923	218050	423.3
50	1	2009	978	229217	426.7
50	1	2010	975	253608	384.5
50	1	2011	1012	254499	397.6
50	1	2012	1039	265195	391.8
50	1	2013	1109	274829	403.5
51	0	1999	363	128518	282.5
51	0	2000	374	134569	277.9
51	0	2001	415	152870	271.5
51	0	2002	384	153138	250.8
51	0	2003	411	158960	258.6
51	0	2004	447	170904	261.6
51	0	2005	493	180950	272.5
51	0	2006	483	196909	245.3
51	0	2007	502	202630	247.7
51	0	2008	493	214393	230.0
51	0	2009	509	222124	229.2
51	0	2010	532	227124	234.2
51	0	2011	615	252417	243.6
51	0	2012	582	252512	230.5
51	0	2013	605	260768	232.0
51	1	1999	638	122397	521.3
51	1	2000	680	128802	527.9
51	1	2001	790	148188	533.1
51	1	2002	771	150048	513.8
51	1	2003	813	154952	524.7
51	1	2004	858	165105	519.7
51	1	2005	903	177418	509.0
51	1	2006	958	197196	485.8
51	1	2007	1033	200103	516.2
51	1	2008	966	211972	455.7
51	1	2009	1041	221559	469.9
51	1	2010	994	225457	440.9
51	1	2011	1162	255631	454.6
51	1	2012	1084	253127	428.2
51	1	2013	1159	263921	439.1
52	0	1999	352	128893	273.1
52	0	2000	409	131612	310.8
52	0	2001	426	138263	308.1
52	0	2002	426	153598	277.3
52	0	2003	449	153672	292.2
52	0	2004	456	159258	286.3
52	0	2005	490	171073	286.4
52	0	2006	505	181106	278.8
52	0	2007	539	196823	273.9
52	0	2008	575	202350	284.2
52	0	2009	568	213876	265.6
52	0	2010	569	222869	255.3
52	0	2011	587	232301	252.7
52	0	2012	639	251711	253.9
52	0	2013	631	252174	250.2
52	1	1999	680	122665	554.4
52	1	2000	681	125324	543.4
52	1	2001	710	133247	532.8
52	1	2002	821	148078	554.4
52	1	2003	842	149499	563.2
52	1	2004	846	154090	549.0
52	1	2005	958	163814	584.8
52	1	2006	979	175693	557.2
52	1	2007	1041	194674	534.7
52	1	2008	946	197118	479.9
52	1	2009	1137	208280	545.9
52	1	2010	1050	219103	479.2
52	1	2011	1096	231499	473.4
52	1	2012	1176	254209	462.6
52	1	2013	1178	251730	468.0
53	0	1999	353	106652	331.0
53	0	2000	412	122649	335.9
53	0	2001	444	133656	332.2
53	0	2002	471	139279	338.2
53	0	2003	458	154646	296.2
53	0	2004	413	154706	267.0
53	0	2005	526	160460	327.8
53	0	2006	513	172430	297.5
53	0	2007	510	182470	279.5
53	0	2008	508	198309	256.2
53	0	2009	623	203897	305.5
53	0	2010	603	211640	284.9
53	0	2011	579	221385	261.5
53	0	2012	641	231508	276.9
53	0	2013	708	251374	281.7
53	1	1999	603	100818	598.1
53	1	2000	715	116192	615.4
53	1	2001	745	126478	589.0
53	1	2002	775	133805	579.2
53	1	2003	876	148629	589.4
53	1	2004	860	150207	572.5
53	1	2005	938	154919	605.5
53	1	2006	966	164859	586.0
53	1	2007	991	176886	560.2
53	1	2008	1009	196214	514.2
53	1	2009	1118	198726	562.6
53	1	2010	1090	205750	529.8
53	1	2011	1162	217206	535.0
53	1	2012	1145	230048	497.7
53	1	2013	1276	252782	504.8
54	0	1999	396	109662	361.1
54	0	2000	356	111450	319.4
54	0	2001	444	127951	347.0
54	0	2002	453	134779	336.1
54	0	2003	479	140522	340.9
54	0	2004	466	156093	298.5
54	0	2005	491	156426	313.9
54	0	2006	548	162434	337.4
54	0	2007	564	174675	322.9
54	0	2008	549	185166	296.5
54	0	2009	579	201374	287.5
54	0	2010	633	205609	307.9
54	0	2011	625	214799	291.0
54	0	2012	671	220696	304.0
54	0	2013	708	231222	306.2
54	1	1999	653	102200	638.9
54	1	2000	637	104630	608.8
54	1	2001	756	120611	626.8
54	1	2002	798	126790	629.4
54	1	2003	872	134044	650.5
54	1	2004	924	148835	620.8
54	1	2005	900	150575	597.7
54	1	2006	996	155337	641.2
54	1	2007	1055	165258	638.4
54	1	2008	1129	177381	636.5
54	1	2009	1080	196742	548.9
54	1	2010	1060	197905	535.6
54	1	2011	1222	208519	586.0
54	1	2012	1217	215600	564.5
54	1	2013	1262	228636	552.0
55	0	1999	378	99440	380.1
55	0	2000	390	105595	369.3
55	0	2001	448	113346	395.2
55	0	2002	453	128708	352.0
55	0	2003	527	135451	389.1
55	0	2004	547	141107	387.6
55	0	2005	523	156682	333.8
55	0	2006	544	157031	346.4
55	0	2007	574	162821	352.5
55	0	2008	594	174994	339.4
55	0	2009	658	185228	355.2
55	0	2010	617	199098	309.9
55	0	2011	617	205861	299.7
55	0	2012	685	214215	319.8
55	0	2013	703	220408	319.0
55	1	1999	655	92208	710.4
55	1	2000	721	98870	729.2
55	1	2001	756	105116	719.2
55	1	2002	845	120121	703.5
55	1	2003	890	125818	707.4
55	1	2004	873	132651	658.1
55	1	2005	932	146924	634.3
55	1	2006	986	148359	664.6
55	1	2007	1011	152552	662.7
55	1	2008	1145	161918	707.1
55	1	2009	1115	173309	643.4
55	1	2010	1141	189650	601.6
55	1	2011	1179	197733	596.3
55	1	2012	1331	206765	643.7
55	1	2013	1317	214358	614.4
56	0	1999	433	99212	436.4
56	0	2000	442	100365	440.4
56	0	2001	414	108009	383.3
56	0	2002	443	114110	388.2
56	0	2003	528	129412	408.0
56	0	2004	555	136056	407.9
56	0	2005	537	141735	378.9
56	0	2006	533	157438	338.5
56	0	2007	620	157687	393.2
56	0	2008	621	163468	379.9
56	0	2009	635	175588	361.6
56	0	2010	654	182141	359.1
56	0	2011	674	200768	335.7
56	0	2012	753	205288	366.8
56	0	2013	709	213893	331.5
56	1	1999	671	89798	747.2
56	1	2000	685	90734	755.0
56	1	2001	696	101164	688.0
56	1	2002	848	105289	805.4
56	1	2003	917	120354	761.9
56	1	2004	905	126194	717.1
56	1	2005	924	133293	693.2
56	1	2006	1040	147879	703.3
56	1	2007	1044	149393	698.8
56	1	2008	1105	153863	718.2
56	1	2009	1121	163495	685.6
56	1	2010	1176	170997	687.7
56	1	2011	1313	191133	687.0
56	1	2012	1328	196054	677.4
56	1	2013	1364	205661	663.2
57	0	1999	400	86055	464.8
57	0	2000	446	95890	465.1
57	0	2001	455	102269	444.9
57	0	2002	443	108454	408.5
57	0	2003	496	114287	434.0
57	0	2004	525	129404	405.7
57	0	2005	540	135917	397.3
57	0	2006	572	141500	404.2
57	0	2007	592	156913	377.3
57	0	2008	637	156955	405.8
57	0	2009	635	162434	390.9
57	0	2010	644	171923	374.6
57	0	2011	697	185553	375.6
57	0	2012	742	200182	370.7
57	0	2013	805	204842	393.0
57	1	1999	634	76637	827.3
57	1	2000	695	85116	816.5
57	1	2001	721	91832	785.1
57	1	2002	788	100890	781.0
57	1	2003	866	104748	826.7
57	1	2004	904	119530	756.3
57	1	2005	944	125340	753.2
57	1	2006	957	132269	723.5
57	1	2007	1053	146480	718.9
57	1	2008	1092	147805	738.8
57	1	2009	1156	151974	760.7
57	1	2010	1172	159407	735.2
57	1	2011	1306	173510	752.7
57	1	2012	1314	189534	693.3
57	1	2013	1352	194930	693.6
58	0	1999	380	84908	447.5
58	0	2000	444	86756	511.8
58	0	2001	475	97452	487.4
58	0	2002	491	102701	478.1
58	0	2003	537	108749	493.8
58	0	2004	562	114493	490.9
58	0	2005	607	129566	468.5
58	0	2006	657	136082	482.8
58	0	2007	625	141515	441.6
58	0	2008	664	156887	423.2
58	0	2009	668	156805	426.0
58	0	2010	685	160265	427.4
58	0	2011	756	173784	435.0
58	0	2012	751	184920	406.1
58	0	2013	793	199700	397.1
58	1	1999	710	77046	921.5
58	1	2000	762	78484	970.9
58	1	2001	746	86789	859.6
58	1	2002	835	91564	911.9
58	1	2003	789	100539	784.8
58	1	2004	823	104281	789.2
58	1	2005	961	118967	807.8
58	1	2006	1077	124698	863.7
58	1	2007	1035	131501	787.1
58	1	2008	1142	145538	784.7
58	1	2009	1171	146712	798.2
58	1	2010	1243	149391	832.0
58	1	2011	1236	161205	766.7
58	1	2012	1395	171944	811.3
58	1	2013	1465	188364	777.7
59	0	1999	445	80830	550.5
59	0	2000	451	84260	535.2
59	0	2001	515	89333	576.5
59	0	2002	499	97811	510.2
59	0	2003	566	102963	549.7
59	0	2004	543	108944	498.4
59	0	2005	587	114640	512.0
59	0	2006	611	129705	471.1
59	0	2007	649	136091	476.9
59	0	2008	686	141498	484.8
59	0	2009	702	156703	448.0
59	0	2010	713	156443	455.8
59	0	2011	769	161757	475.4
59	0	2012	764	173148	441.2
59	0	2013	874	184439	473.9
59	1	1999	661	71508	924.4
59	1	2000	714	75378	947.2
59	1	2001	763	79296	962.2
59	1	2002	828	86259	959.9
59	1	2003	895	90772	986.0
59	1	2004	819	99540	822.8
59	1	2005	956	103087	927.4
59	1	2006	1051	117436	895.0
59	1	2007	1045	122800	851.0
59	1	2008	1104	129348	853.5
59	1	2009	1137	142897	795.7
59	1	2010	1201	143322	838.0
59	1	2011	1223	149343	818.9
59	1	2012	1440	159766	901.3
59	1	2013	1413	170739	827.6
60	0	1999	473	81223	582.3
60	0	2000	441	83449	528.5
60	0	2001	518	84419	613.6
60	0	2002	581	89159	651.6
60	0	2003	544	97367	558.7
60	0	2004	544	102216	532.2
60	0	2005	574	107907	531.9
60	0	2006	637	113363	561.9
60	0	2007	688	127819	538.3
60	0	2008	724	133809	541.1
60	0	2009	706	138727	508.9
60	0	2010	787	151163	520.6
60	0	2011	759	156483	485.0
60	0	2012	770	161062	478.1
60	0	2013	834	172626	483.1
60	1	1999	711	71677	991.9
60	1	2000	767	73961	1037.0
60	1	2001	752	75057	1001.9
60	1	2002	828	78471	1055.2
60	1	2003	873	84994	1027.1
60	1	2004	950	89152	1065.6
60	1	2005	992	97605	1016.3
60	1	2006	909	100828	901.5
60	1	2007	1042	114474	910.3
60	1	2008	1164	119419	974.7
60	1	2009	1188	125404	947.3
60	1	2010	1279	137025	933.4
60	1	2011	1292	143915	897.8
60	1	2012	1363	147952	921.2
60	1	2013	1472	158477	928.8
61	0	1999	475	73860	643.1
61	0	2000	553	77275	715.6
61	0	2001	552	84790	651.0
61	0	2002	554	85021	651.6
61	0	2003	532	90005	591.1
61	0	2004	583	98481	592.0
61	0	2005	564	103698	543.9
61	0	2006	652	109767	594.0
61	0	2007	645	115524	558.3
61	0	2008	747	130578	572.1
61	0	2009	772	136973	563.6
61	0	2010	774	139609	554.4
61	0	2011	735	152692	481.4
61	0	2012	849	155790	545.0
61	0	2013	832	160543	518.2
61	1	1999	767	64641	1186.6
61	1	2000	760	67708	1122.5
61	1	2001	818	74263	1101.5
61	1	2002	910	74936	1214.4
61	1	2003	895	78498	1140.2
61	1	2004	881	85296	1032.9
61	1	2005	1002	89802	1115.8
61	1	2006	933	98741	944.9
61	1	2007	1034	102328	1010.5
61	1	2008	1147	116595	983.7
61	1	2009	1202	122053	984.8
61	1	2010	1219	124810	976.7
61	1	2011	1317	137135	960.4
61	1	2012	1422	142538	997.6
61	1	2013	1490	146617	1016.3
62	0	1999	509	71192	715.0
62	0	2000	520	75093	692.5
62	0	2001	575	78868	729.1
62	0	2002	581	85022	683.4
62	0	2003	622	85167	730.3
62	0	2004	600	90101	665.9
62	0	2005	679	98585	688.7
62	0	2006	658	103876	633.4
62	0	2007	691	109876	628.9
62	0	2008	657	115590	568.4
62	0	2009	784	130568	600.5
62	0	2010	794	135899	584.3
62	0	2011	816	141139	578.2
62	0	2012	855	152036	562.4
62	0	2013	950	155160	612.3
62	1	1999	844	61988	1361.6
62	1	2000	779	65344	1192.2
62	1	2001	806	68812	1171.3
62	1	2002	882	73856	1194.2
62	1	2003	897	74473	1204.5
62	1	2004	951	78043	1218.6
62	1	2005	973	84851	1146.7
62	1	2006	1064	89398	1190.2
62	1	2007	1040	98411	1056.8
62	1	2008	1086	102030	1064.4
62	1	2009	1237	116359	1063.1
62	1	2010	1248	121216	1029.6
62	1	2011	1258	126072	997.8
62	1	2012	1438	135877	1058.3
62	1	2013	1426	141189	1010.0
63	0	1999	552	71063	776.8
63	0	2000	580	72117	804.2
63	0	2001	617	76378	807.8
63	0	2002	612	79123	773.5
63	0	2003	653	85277	765.7
63	0	2004	667	85476	780.3
63	0	2005	679	90519	750.1
63	0	2006	678	99095	684.2
63	0	2007	678	104474	649.0
63	0	2008	716	110531	647.8
63	0	2009	813	116285	699.1
63	0	2010	861	127158	677.1
63	0	2011	881	136079	647.4
63	0	2012	951	140536	676.7
63	0	2013	958	151296	633.2
63	1	1999	819	60535	1352.9
63	1	2000	846	61167	1383.1
63	1	2001	899	65748	1367.3
63	1	2002	861	68359	1259.5
63	1	2003	925	73334	1261.4
63	1	2004	947	73931	1280.9
63	1	2005	973	77508	1255.4
63	1	2006	976	84340	1157.2
63	1	2007	1086	88822	1222.7
