"","post_test","pre_test","grade","treatment","supp","pair_id"
"159",103.8,82,2,0,NA,63
"160",93.4,73.8,2,0,NA,64
"161",103.1,81.1,2,0,NA,65
"162",101.2,78.8,2,0,NA,66
"163",83.6,63.2,2,0,NA,67
"164",103,77.6,2,0,NA,68
"165",88.5,65.9,2,0,NA,69
"166",97.8,68.9,2,0,NA,70
"167",103.6,78.8,2,0,NA,71
"168",105.8,88.4,2,0,NA,72
"169",99.6,86.5,2,0,NA,73
"170",104.8,89.5,2,0,NA,74
"171",86,55.9,2,0,NA,75
"172",85.3,52.6,2,0,NA,76
"173",102.9,95.3,3,0,NA,77
"174",110.4,103.6,3,0,NA,78
"175",115.3,108.1,3,0,NA,79
"176",114.7,109.1,3,0,NA,80
"177",110.2,98.9,3,0,NA,81
"178",98.3,87.4,3,0,NA,82
"179",101.9,92.5,3,0,NA,83
"180",100.8,89,3,0,NA,84
"181",111.6,100.6,3,0,NA,85
"182",105.4,94,3,0,NA,86
"183",116.2,111.8,4,0,NA,87
"184",115.7,112.1,4,0,NA,88
"185",118,113.9,4,0,NA,89
"186",110.9,106.3,4,0,NA,90
"187",113.4,110.8,4,0,NA,91
"188",111.2,107.5,4,0,NA,92
"189",113.3,110,4,0,NA,93
"190",115.9,111.6,4,0,NA,94
"191",115.2,109.8,4,0,NA,95
"192",110,102.6,4,0,NA,96
